"Number of students entered for an International Baccalaureate standard and higher level components by institution, subject and grade achieved",,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,No results
Surrey,125388,Box Hill School,Independent School,IBO Standard level component,History,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,125388,Box Hill School,Independent School,IBO Higher level component,History,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,125388,Box Hill School,Independent School,IBO Standard level component,Management Studies / Science,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,125388,Box Hill School,Independent School,IBO Higher level component,Management Studies / Science,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,125388,Box Hill School,Independent School,IBO Standard level component,Mathematical Studies,21,0,0,1,5,5,8,2,0
Surrey,125388,Box Hill School,Independent School,IBO Standard level component,Mathematics (Further),12,0,1,5,3,2,1,0,0
Surrey,125388,Box Hill School,Independent School,IBO Higher level component,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,125388,Box Hill School,Independent School,IBO Standard level component,Other Languages,15,0,0,3,4,2,4,2,0
Surrey,125388,Box Hill School,Independent School,IBO Higher level component,Other Languages,19,0,0,0,0,1,11,7,0
Surrey,125388,Box Hill School,Independent School,IBO Higher level component,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,125388,Box Hill School,Independent School,IBO Standard level component,Psychology,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,125388,Box Hill School,Independent School,IBO Higher level component,Psychology,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,125388,Box Hill School,Independent School,IBO Standard level component,Theatre Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,125388,Box Hill School,Independent School,IBO Higher level component,Theatre Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,125388,Box Hill School,Independent School,IBO Standard level component,Untranslated Literature,7,0,0,0,3,3,1,0,0
Surrey,125388,Box Hill School,Independent School,IBO Higher level component,Untranslated Literature,26,0,0,0,8,16,2,0,0
Surrey,125388,Box Hill School,Independent School,IBO Standard level component,Visual Arts,6,0,0,1,2,2,1,0,0
Surrey,125388,Box Hill School,Independent School,IBO Higher level component,Visual Arts,7,0,0,0,0,4,3,0,0
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Standard level component,Biology,8,0,0,0,4,0,3,1,0
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Higher level component,Biology,10,0,0,3,3,2,1,1,0
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Higher level component,Chemistry,9,0,2,3,1,1,1,1,0
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Standard level component,Film Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Higher level component,Film Studies,9,0,0,1,1,5,1,1,0
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Higher level component,Geography,6,0,0,0,3,1,2,0,0
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Higher level component,History,8,0,0,0,1,5,2,0,0
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Standard level component,Information & Communications Technology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Higher level component,Information & Communications Technology,6,0,0,1,2,1,2,0,0
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Higher level component,Management Studies / Science,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Standard level component,Mathematical Studies,16,0,1,3,3,5,2,2,0
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Standard level component,Mathematics (Further),6,1,1,1,0,3,0,0,0
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Standard level component,Other Languages,20,0,0,3,5,5,6,1,0
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Higher level component,Other Languages,7,0,0,0,0,4,3,0,0
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Standard level component,Physics,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Higher level component,Physics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Standard level component,Psychology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Standard level component,Untranslated Literature,11,0,0,0,2,6,2,1,0
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Higher level component,Untranslated Literature,14,0,0,0,5,3,5,1,0
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,IBO Higher level component,Visual Arts,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Standard level component,Biology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Higher level component,Biology,8,0,0,0,0,3,4,1,0
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Standard level component,Chemistry,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Higher level component,Chemistry,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Standard level component,Economics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Higher level component,Geography,7,0,0,0,2,2,3,0,0
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Standard level component,History,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Higher level component,History,6,0,0,0,0,4,2,0,0
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Higher level component,Logic/ Philosophy,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Standard level component,Mathematical Studies,8,0,0,1,3,1,3,0,0
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Standard level component,Mathematics (Further),9,0,0,2,2,3,2,0,0
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Higher level component,Mathematics (Further),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Standard level component,Other Languages,11,0,0,0,4,2,2,3,0
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Higher level component,Other Languages,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Standard level component,Physics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Higher level component,Physics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Standard level component,Untranslated Literature,9,0,0,0,1,5,3,0,0
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Higher level component,Untranslated Literature,10,0,0,0,5,3,2,0,0
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Standard level component,Visual Arts,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,IBO Higher level component,Visual Arts,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126107,Christ's Hospital,Independent School,IBO Standard level component,Biology,6,0,0,0,0,4,2,0,0
West Sussex,126107,Christ's Hospital,Independent School,IBO Higher level component,Biology,9,0,0,0,1,6,2,0,0
West Sussex,126107,Christ's Hospital,Independent School,IBO Higher level component,Chemistry,13,0,0,0,2,4,6,1,0
West Sussex,126107,Christ's Hospital,Independent School,IBO Higher level component,Classics (General),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126107,Christ's Hospital,Independent School,IBO Standard level component,Economics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126107,Christ's Hospital,Independent School,IBO Higher level component,Economics,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126107,Christ's Hospital,Independent School,IBO Standard level component,Geography,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126107,Christ's Hospital,Independent School,IBO Higher level component,Geography,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126107,Christ's Hospital,Independent School,IBO Standard level component,Logic/ Philosophy,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126107,Christ's Hospital,Independent School,IBO Higher level component,Logic/ Philosophy,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126107,Christ's Hospital,Independent School,IBO Standard level component,Mathematical Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126107,Christ's Hospital,Independent School,IBO Standard level component,Mathematics (Further),11,0,0,0,6,3,1,1,0
West Sussex,126107,Christ's Hospital,Independent School,IBO Higher level component,Mathematics (Further),10,0,1,4,4,1,0,0,0
West Sussex,126107,Christ's Hospital,Independent School,IBO Standard level component,Other Classical Languages,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126107,Christ's Hospital,Independent School,IBO Standard level component,Other Languages,13,0,0,0,4,3,5,1,0
West Sussex,126107,Christ's Hospital,Independent School,IBO Higher level component,Other Languages,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126107,Christ's Hospital,Independent School,IBO Higher level component,Physics,7,0,0,2,1,2,2,0,0
West Sussex,126107,Christ's Hospital,Independent School,IBO Standard level component,Untranslated Literature,17,0,0,0,1,8,5,3,0
West Sussex,126107,Christ's Hospital,Independent School,IBO Higher level component,Untranslated Literature,10,0,0,0,0,5,3,2,0
West Sussex,126107,Christ's Hospital,Independent School,IBO Standard level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126107,Christ's Hospital,Independent School,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126133,Ardingly College,Independent School,IBO Standard level component,Biology,11,0,0,0,0,3,3,5,0
West Sussex,126133,Ardingly College,Independent School,IBO Higher level component,Biology,12,0,0,0,1,1,6,4,0
West Sussex,126133,Ardingly College,Independent School,IBO Standard level component,Chemistry,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126133,Ardingly College,Independent School,IBO Higher level component,Chemistry,13,0,0,1,0,5,3,4,0
West Sussex,126133,Ardingly College,Independent School,IBO Higher level component,Classics (General),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126133,Ardingly College,Independent School,IBO Standard level component,Economics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126133,Ardingly College,Independent School,IBO Higher level component,Economics,17,0,0,0,0,6,9,1,1
West Sussex,126133,Ardingly College,Independent School,IBO Higher level component,Geography,8,0,0,0,1,1,4,2,0
West Sussex,126133,Ardingly College,Independent School,IBO Standard level component,History,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126133,Ardingly College,Independent School,IBO Higher level component,History,12,0,0,0,0,3,7,2,0
West Sussex,126133,Ardingly College,Independent School,IBO Standard level component,Logic/ Philosophy,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126133,Ardingly College,Independent School,IBO Higher level component,Logic/ Philosophy,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126133,Ardingly College,Independent School,IBO Standard level component,Mathematical Studies,11,0,0,0,1,5,1,4,0
West Sussex,126133,Ardingly College,Independent School,IBO Standard level component,Mathematics (Further),19,0,0,0,3,6,8,2,0
West Sussex,126133,Ardingly College,Independent School,IBO Higher level component,Mathematics (Further),6,0,0,0,3,2,0,1,0
West Sussex,126133,Ardingly College,Independent School,IBO Standard level component,Other Languages,21,0,0,0,0,5,10,6,0
West Sussex,126133,Ardingly College,Independent School,IBO Higher level component,Other Languages,8,0,0,0,0,1,3,3,1
West Sussex,126133,Ardingly College,Independent School,IBO Standard level component,Physics,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126133,Ardingly College,Independent School,IBO Higher level component,Physics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126133,Ardingly College,Independent School,IBO Standard level component,Psychology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126133,Ardingly College,Independent School,IBO Higher level component,Theatre Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126133,Ardingly College,Independent School,IBO Standard level component,Untranslated Literature,21,0,0,0,0,1,14,6,0
West Sussex,126133,Ardingly College,Independent School,IBO Higher level component,Untranslated Literature,24,0,0,0,3,4,13,4,0
West Sussex,126133,Ardingly College,Independent School,IBO Higher level component,Visual Arts,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Standard level component,Biology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Higher level component,Biology,8,0,0,0,0,4,2,2,0
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Higher level component,Chemistry,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Higher level component,Classics (General),2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Standard level component,Geography,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Higher level component,Geography,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Standard level component,History,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Higher level component,History,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Standard level component,Logic/ Philosophy,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Higher level component,Logic/ Philosophy,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Standard level component,Mathematical Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Standard level component,Mathematics (Further),4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Higher level component,Mathematics (Further),3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Standard level component,Other Languages,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Higher level component,Other Languages,6,0,0,0,0,2,3,1,0
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Standard level component,Psychology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Standard level component,Untranslated Literature,8,0,0,0,0,4,3,1,0
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Higher level component,Untranslated Literature,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126136,Hurstpierpoint College,Independent School,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126137,Worth School,Independent School,IBO Standard level component,Biology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126137,Worth School,Independent School,IBO Higher level component,Biology,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126137,Worth School,Independent School,IBO Higher level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126137,Worth School,Independent School,IBO Standard level component,Economics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126137,Worth School,Independent School,IBO Higher level component,Economics,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126137,Worth School,Independent School,IBO Standard level component,Geography,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126137,Worth School,Independent School,IBO Standard level component,History,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126137,Worth School,Independent School,IBO Higher level component,History,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126137,Worth School,Independent School,IBO Higher level component,Logic/ Philosophy,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126137,Worth School,Independent School,IBO Standard level component,Mathematical Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126137,Worth School,Independent School,IBO Standard level component,Mathematics (Further),4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126137,Worth School,Independent School,IBO Higher level component,Mathematics (Further),4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126137,Worth School,Independent School,IBO Standard level component,Other Languages,6,0,0,0,0,0,3,3,0
West Sussex,126137,Worth School,Independent School,IBO Higher level component,Other Languages,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126137,Worth School,Independent School,IBO Standard level component,Physics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126137,Worth School,Independent School,IBO Higher level component,Physics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Sussex,126137,Worth School,Independent School,IBO Standard level component,Untranslated Literature,8,0,0,0,0,2,4,2,0
West Sussex,126137,Worth School,Independent School,IBO Higher level component,Untranslated Literature,6,0,0,0,0,2,3,1,0
Wiltshire,126516,Marlborough College,Independent School,IBO Standard level component,Biology,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126516,Marlborough College,Independent School,IBO Higher level component,Biology,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126516,Marlborough College,Independent School,IBO Standard level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126516,Marlborough College,Independent School,IBO Higher level component,Chemistry,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126516,Marlborough College,Independent School,IBO Higher level component,Classics (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126516,Marlborough College,Independent School,IBO Standard level component,Economics,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126516,Marlborough College,Independent School,IBO Higher level component,Economics,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126516,Marlborough College,Independent School,IBO Higher level component,Geography,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126516,Marlborough College,Independent School,IBO Standard level component,History,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126516,Marlborough College,Independent School,IBO Higher level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126516,Marlborough College,Independent School,IBO Standard level component,Logic/ Philosophy,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126516,Marlborough College,Independent School,IBO Higher level component,Logic/ Philosophy,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126516,Marlborough College,Independent School,IBO Standard level component,Mathematical Studies,8,0,0,0,2,1,4,1,0
Wiltshire,126516,Marlborough College,Independent School,IBO Standard level component,Mathematics (Further),4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126516,Marlborough College,Independent School,IBO Higher level component,Mathematics (Further),4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126516,Marlborough College,Independent School,IBO Standard level component,Other Languages,8,0,0,0,1,2,2,3,0
Wiltshire,126516,Marlborough College,Independent School,IBO Higher level component,Other Languages,7,0,0,0,1,1,0,5,0
Wiltshire,126516,Marlborough College,Independent School,IBO Standard level component,Untranslated Literature,6,0,0,0,1,3,1,1,0
Wiltshire,126516,Marlborough College,Independent School,IBO Higher level component,Untranslated Literature,10,0,0,0,2,2,3,3,0
Wiltshire,126516,Marlborough College,Independent School,IBO Standard level component,Visual Arts,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126516,Marlborough College,Independent School,IBO Higher level component,Visual Arts,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126522,Warminster School,Independent School,IBO Standard level component,Biology,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126522,Warminster School,Independent School,IBO Higher level component,Biology,11,0,0,5,3,3,0,0,0
Wiltshire,126522,Warminster School,Independent School,IBO Standard level component,Chemistry,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126522,Warminster School,Independent School,IBO Higher level component,Chemistry,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126522,Warminster School,Independent School,IBO Standard level component,Economics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126522,Warminster School,Independent School,IBO Higher level component,Economics,10,0,0,0,3,4,3,0,0
Wiltshire,126522,Warminster School,Independent School,IBO Standard level component,Geography,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126522,Warminster School,Independent School,IBO Higher level component,Geography,6,0,0,1,2,0,3,0,0
Wiltshire,126522,Warminster School,Independent School,IBO Standard level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126522,Warminster School,Independent School,IBO Higher level component,History,6,0,0,0,1,3,2,0,0
Wiltshire,126522,Warminster School,Independent School,IBO Standard level component,Mathematical Studies,8,0,0,3,2,1,1,1,0
Wiltshire,126522,Warminster School,Independent School,IBO Standard level component,Mathematics (Further),12,0,1,3,4,3,1,0,0
Wiltshire,126522,Warminster School,Independent School,IBO Higher level component,Mathematics (Further),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126522,Warminster School,Independent School,IBO Higher level component,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126522,Warminster School,Independent School,IBO Standard level component,Other Languages,9,0,0,0,0,3,5,1,0
Wiltshire,126522,Warminster School,Independent School,IBO Higher level component,Other Languages,9,0,0,0,1,1,5,2,0
Wiltshire,126522,Warminster School,Independent School,IBO Standard level component,Physics,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126522,Warminster School,Independent School,IBO Higher level component,Physics,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wiltshire,126522,Warminster School,Independent School,IBO Standard level component,Untranslated Literature,16,0,0,1,4,4,5,2,0
Wiltshire,126522,Warminster School,Independent School,IBO Higher level component,Untranslated Literature,11,0,0,0,0,2,9,0,0
Wiltshire,126522,Warminster School,Independent School,IBO Higher level component,Visual Arts,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Islington,130409,City and Islington College,General Further Education College,IBO Standard level component,Biology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Islington,130409,City and Islington College,General Further Education College,IBO Higher level component,Biology,13,0,0,1,3,4,5,0,0
Islington,130409,City and Islington College,General Further Education College,IBO Higher level component,Chemistry,12,0,4,2,3,1,1,0,1
Islington,130409,City and Islington College,General Further Education College,IBO Standard level component,History,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Islington,130409,City and Islington College,General Further Education College,IBO Higher level component,History,6,0,0,2,2,1,1,0,0
Islington,130409,City and Islington College,General Further Education College,IBO Standard level component,Mathematical Studies,14,0,0,3,5,5,1,0,0
Islington,130409,City and Islington College,General Further Education College,IBO Standard level component,Mathematics (Further),7,0,3,2,1,1,0,0,0
Islington,130409,City and Islington College,General Further Education College,IBO Standard level component,Other Languages,20,0,0,1,5,9,4,1,0
Islington,130409,City and Islington College,General Further Education College,IBO Higher level component,Other Languages,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Islington,130409,City and Islington College,General Further Education College,IBO Higher level component,Psychology,14,0,0,0,3,4,6,0,1
Islington,130409,City and Islington College,General Further Education College,IBO Standard level component,Sociology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Islington,130409,City and Islington College,General Further Education College,IBO Higher level component,Sociology,6,0,0,0,0,2,3,1,0
Islington,130409,City and Islington College,General Further Education College,IBO Standard level component,Untranslated Literature,10,0,0,0,3,6,1,0,0
Islington,130409,City and Islington College,General Further Education College,IBO Higher level component,Untranslated Literature,11,0,0,0,2,4,5,0,0
Islington,130409,City and Islington College,General Further Education College,IBO Standard level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Islington,130409,City and Islington College,General Further Education College,IBO Higher level component,Visual Arts,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wandsworth,130422,St Francis Xavier Sixth Form College,Further Education Sector Institution,IBO Higher level component,Biology,6,0,0,0,0,4,2,0,0
Wandsworth,130422,St Francis Xavier Sixth Form College,Further Education Sector Institution,IBO Higher level component,Chemistry,6,0,0,0,2,2,2,0,0
Wandsworth,130422,St Francis Xavier Sixth Form College,Further Education Sector Institution,IBO Higher level component,History,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wandsworth,130422,St Francis Xavier Sixth Form College,Further Education Sector Institution,IBO Standard level component,Mathematical Studies,10,0,0,0,3,2,3,2,0
Wandsworth,130422,St Francis Xavier Sixth Form College,Further Education Sector Institution,IBO Higher level component,Music,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wandsworth,130422,St Francis Xavier Sixth Form College,Further Education Sector Institution,IBO Standard level component,Other Languages,10,0,0,0,4,1,4,1,0
Wandsworth,130422,St Francis Xavier Sixth Form College,Further Education Sector Institution,IBO Standard level component,Psychology,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wandsworth,130422,St Francis Xavier Sixth Form College,Further Education Sector Institution,IBO Higher level component,Psychology,7,0,0,0,1,4,2,0,0
Wandsworth,130422,St Francis Xavier Sixth Form College,Further Education Sector Institution,IBO Standard level component,Untranslated Literature,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
