"Number of students entered for an International Baccalaureate standard and higher level components by institution, subject and grade achieved",,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,No results
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Higher level component,Design & Technology,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Standard level component,Economics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Higher level component,Economics,13,0,0,0,3,5,3,2,0
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Higher level component,Film Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Standard level component,Geography,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Higher level component,Geography,6,0,0,1,1,1,1,2,0
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Standard level component,History,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Higher level component,History,11,0,0,0,2,7,2,0,0
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Standard level component,Information & Communications Technology,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Higher level component,Information & Communications Technology,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100974,George Green's School,Voluntary Controlled School,IBO Standard level component,Management Studies / Science,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
