"Number of students entered for vocationally related qualifications (VRQ) by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number entered ,Grade A*,Grade A,Grade B,Grade C,Grade D,Grade E,No Result
Bradford,107350,Buttershaw Business and Enterprise College,Foundation School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),22,0,1,2,8,4,2,5
Bradford,107350,Buttershaw Business and Enterprise College,Foundation School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),13,0,0,7,4,1,0,1
Calderdale,107565,Ryburn Valley High School,Foundation School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,12,0,3,6,3,0,0,0
Kirklees,107783,St John Fisher Catholic High School,Voluntary Aided School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),29,0,1,9,12,4,1,2
Kirklees,107783,St John Fisher Catholic High School,Voluntary Aided School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),14,0,1,9,4,0,0,0
Leeds,108083,Benton Park School,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),17,0,3,6,4,4,0,0
Leeds,108083,Benton Park School,Community School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),11,0,3,4,3,1,0,0
Leeds,108114,Woodhouse Grove School,Independent School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),38,0,9,8,11,2,0,8
Leeds,108114,Woodhouse Grove School,Independent School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),13,0,5,7,1,0,0,0
Gateshead,108405,Charles Thorp Comprehensive School,Community School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,108524,Walbottle Campus,Community School,CACHE Level 3 Certificate in Child Care and Education,Childcare Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,108524,Walbottle Campus,Community School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Tyneside,108645,Longbenton Community College,Foundation School,CACHE Level 3 Certificate in Child Care and Education,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Tyneside,108645,Longbenton Community College,Foundation School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Tyneside,108647,"Seaton Burn College, A Specialist Business and Enterprise School",Foundation School,CACHE Level 3 Diploma in Child Care and Education,Childcare Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,109296,Patchway Community College,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),6,0,0,2,4,0,0,0
South Gloucestershire,109296,Patchway Community College,Community School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,109318,Hanham High School,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,109320,Mangotsfield School,Community School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),7,0,0,2,3,1,1,0
South Gloucestershire,109320,Mangotsfield School,Community School,IFS Level 3 Diploma in Financial Studies (QCF),Finance / Accounting (General),6,0,0,3,2,1,0,0
Central Bedfordshire,109669,Sandy Upper School,Foundation School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Central Bedfordshire,109705,Manshead School,Voluntary Aided School,IFS Level 3 Certificate in Financial Studies (QCF),Finance / Accounting (General),64,0,4,16,14,6,2,22
