"Number of students entered for an International Baccalaureate diploma by institution, subject and grade achieved",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Grade achieved,,,,,,,,,,,,,,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Number entered,Grade 45,Grade 44,Grade 43,Grade 42,Grade 41,Grade 40,Grade 39,Grade 38,Grade 37,Grade 36,Grade 35,Grade 34,Grade 33,Grade 32,Grade 31,Grade 30,Grade 29,Grade 28,Grade 27,Grade 26,Grade 25,Grade 24,No results
Kent,118789,Tunbridge Wells Girls' Grammar School,Foundation School,International Baccalaureate,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118931,Dover Grammar School for Boys,Foundation School,International Baccalaureate,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118952,Sevenoaks School,Independent School,International Baccalaureate,219,9,23,16,24,19,16,25,13,17,13,10,8,6,2,7,4,1,0,1,0,0,0,5
Kent,118991,Cobham Hall,Independent School,International Baccalaureate,14,0,0,0,0,0,0,1,0,1,1,1,3,2,0,2,1,0,0,1,0,0,0,1
Kent,119001,Kent College (Canterbury),Independent School,International Baccalaureate,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lancashire,119818,Rossall School,Independent School,International Baccalaureate,26,0,0,0,0,0,1,0,1,1,0,4,0,0,2,2,2,1,3,2,2,1,2,2
Rutland,120322,Oakham School,Independent School,International Baccalaureate,51,1,1,1,1,2,1,5,6,4,3,3,3,4,4,2,6,0,1,2,0,0,0,1
Norfolk,121222,Gresham's School,Independent School,International Baccalaureate,39,1,0,1,1,0,2,3,1,3,2,5,2,2,2,3,3,2,2,2,1,0,0,1
York,121673,Huntington School,Community School,International Baccalaureate,8,0,0,0,1,0,0,0,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1
North Yorkshire,121730,Scarborough College,Independent School,International Baccalaureate,22,0,0,0,0,0,1,0,1,2,0,2,2,0,1,0,1,1,3,3,0,3,0,2
North Yorkshire,121743,Queen Ethelburga's College,Independent School,International Baccalaureate,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Oxfordshire,123290,Headington School,Independent School,International Baccalaureate,17,1,1,2,2,3,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Oxfordshire,123292,St Edward's School,Independent School,International Baccalaureate,29,1,1,1,1,2,2,3,3,3,2,2,2,0,3,0,1,0,0,0,2,0,0,0
Shropshire,123600,Ellesmere College,Independent School,International Baccalaureate,13,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,2,3,1,0,0,0,0,3
Somerset,123914,Taunton School,Independent School,International Baccalaureate,36,0,1,1,0,2,0,0,1,1,3,1,2,3,3,2,4,3,2,3,1,1,0,2
Surrey,125340,Charterhouse,Independent School,International Baccalaureate,23,0,0,0,1,5,1,1,4,0,3,2,1,2,2,0,0,0,0,0,0,0,0,1
Surrey,125365,King Edward's School,Independent School,International Baccalaureate,52,0,0,1,2,3,2,4,3,3,3,2,2,3,3,5,2,5,2,1,2,2,2,0
Surrey,125388,Box Hill School,Independent School,International Baccalaureate,31,0,1,0,1,1,1,0,1,1,1,1,3,0,3,2,3,2,2,4,3,0,0,1
Warwickshire,125755,St Benedict's Catholic High School,Voluntary Aided School,International Baccalaureate,21,0,0,0,0,3,0,1,0,1,0,0,2,2,2,0,1,1,0,2,1,1,0,4
West Sussex,126092,Steyning Grammar School,Voluntary Controlled School,International Baccalaureate,17,0,0,0,0,0,1,1,0,2,0,1,0,2,2,3,1,1,0,1,0,0,1,1
West Sussex,126107,Christ's Hospital,Independent School,International Baccalaureate,22,0,1,0,1,1,1,0,1,1,2,1,0,3,3,2,0,1,1,2,0,0,0,1
West Sussex,126133,Ardingly College,Independent School,International Baccalaureate,36,0,1,1,2,1,5,5,3,0,2,7,5,0,2,0,0,1,1,0,0,0,0,0
West Sussex,126136,Hurstpierpoint College,Independent School,International Baccalaureate,12,0,0,1,0,1,0,2,3,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0
West Sussex,126137,Worth School,Independent School,International Baccalaureate,10,0,0,2,1,0,1,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0
Wiltshire,126516,Marlborough College,Independent School,International Baccalaureate,15,0,0,2,1,1,0,0,0,3,1,1,2,0,1,0,2,0,1,0,0,0,0,0
Wiltshire,126522,Warminster School,Independent School,International Baccalaureate,21,0,0,0,0,1,0,1,0,2,0,0,1,2,2,2,0,1,2,1,3,0,0,3
Islington,130409,City and Islington College,General Further Education College,International Baccalaureate,20,0,0,0,0,0,0,0,0,0,2,3,3,0,2,1,0,0,1,1,1,0,0,6
Wandsworth,130422,St Francis Xavier Sixth Form College,Further Education Sector Institution,International Baccalaureate,10,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,1,2,0,2,0,0,0,0
Richmond upon Thames,130454,Richmond-upon-Thames College,Tertiary College,International Baccalaureate,52,0,0,1,2,0,2,1,4,4,1,6,0,4,8,2,3,3,3,3,0,2,0,3
Liverpool,130487,The City of Liverpool College,General Further Education College,International Baccalaureate,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,International Baccalaureate,7,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,2
"Bristol, City of",130563,St Brendan's Sixth Form College,Further Education Sector Institution,International Baccalaureate,16,0,0,0,1,0,0,0,1,0,1,1,1,2,0,0,0,1,2,1,1,1,0,3
Cambridgeshire,130610,Cambridge Regional College,General Further Education College,International Baccalaureate,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cornwall,130629,Truro and Penwith College,Tertiary College,International Baccalaureate,32,0,0,0,2,2,2,2,1,4,3,3,4,0,2,2,1,1,1,1,0,0,1,0
Devon,130645,Exeter College,Tertiary College,International Baccalaureate,36,0,0,0,0,0,3,4,2,4,3,3,2,1,3,2,2,3,0,0,0,2,0,2
Brighton and Hove,130663,City College Brighton and Hove,General Further Education College,International Baccalaureate,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
East Sussex,130665,Sussex Coast College Hastings,General Further Education College,International Baccalaureate,27,0,0,0,0,0,0,1,0,3,1,3,2,6,2,1,3,2,0,0,2,1,0,0
Brighton and Hove,130668,Varndean College,Sixth Form Centre / Consortia,International Baccalaureate,45,0,1,1,4,4,5,2,3,3,4,4,0,2,3,2,4,1,1,1,0,0,0,0
East Sussex,130670,Bexhill College,Sixth Form Centre / Consortia,International Baccalaureate,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Essex,130680,The Sixth Form College Colchester,Sixth Form Centre / Consortia,International Baccalaureate,44,0,0,0,0,3,2,1,3,1,1,4,3,3,5,1,3,3,1,3,1,0,1,5
Nottingham,130787,Bilborough College,Sixth Form Centre / Consortia,International Baccalaureate,28,0,0,0,0,1,2,1,0,4,1,5,1,0,1,2,3,1,2,0,0,0,0,4
Oxfordshire,130789,The Henley College,Sixth Form Centre / Consortia,International Baccalaureate,23,0,0,0,0,0,0,0,0,0,3,3,2,1,0,1,2,1,5,1,1,1,0,2
Somerset,130803,Bridgwater College,Tertiary College,International Baccalaureate,16,0,0,0,0,0,1,1,0,1,0,0,1,1,2,3,1,0,1,1,1,1,0,1
Liverpool,131065,North Liverpool Academy,Sponsored Academy,International Baccalaureate,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Westminster,131262,Westminster Academy,Sponsored Academy,International Baccalaureate,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,131411,CATS Canterbury,Independent School,International Baccalaureate,20,0,0,0,0,0,0,0,0,0,0,2,1,1,0,4,1,2,1,1,0,3,1,3
Leeds,131898,David Young Community Academy,Sponsored Academy,International Baccalaureate,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,1,2,5
Oxfordshire,133430,"St Clare's, Oxford",Independent School,International Baccalaureate,116,4,6,5,3,7,5,3,14,8,9,8,9,6,5,4,5,3,7,0,4,0,0,1
Islington,134314,St Mary Magdalene Academy,Sponsored Academy,International Baccalaureate,31,0,0,0,1,0,0,4,2,3,1,2,1,2,1,2,2,2,0,2,1,2,1,2
Wandsworth,135316,Ashcroft Technology Academy,Sponsored Academy,International Baccalaureate,7,0,0,1,0,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Oxfordshire,135365,North Oxfordshire Academy,Sponsored Academy,International Baccalaureate,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sandwell,135599,RSA Academy,Sponsored Academy,International Baccalaureate,17,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,3,1,1,1,2,0,0,3
