"Number of students passing a BTEC extended diploma by institution, subject and grade achieved",,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Triple Distinction Star,Double Distinction Star Distinction,Distinction Star Double Distinction,Triple Distinction,Double Distinction Merit,Distinction Double Merit,Triple Merit,Double Merit Pass,Merit Double Pass,Triple Pass
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 Extended Diploma,Engineering Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 Extended Diploma,Speech & Drama,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101247,All Saints Catholic School and Technology College,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Engineering Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101247,All Saints Catholic School and Technology College,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Speech & Drama,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101360,St Mary's CofE High School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Speech & Drama,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101360,St Mary's CofE High School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Brent,101558,Copland Community School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Business Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Brent,101564,Newman Catholic College,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Business Studies,12,1,1,1,2,1,3,2,0,1,0
Croydon,101819,Edenham High School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,7,1,1,1,0,0,2,0,0,0,2
Croydon,101837,Whitgift School,Independent School,Pearson BTEC Level 3 Extended Diploma,Sports / Movement Science,7,2,2,1,1,0,0,1,0,0,0
Croydon,101849,BRIT School for Performing Arts and Technology,City Technology College,Pearson BTEC Level 3 Extended Diploma,Acting Skills,65,44,8,10,1,1,1,0,0,0,0
Croydon,101849,BRIT School for Performing Arts and Technology,City Technology College,Pearson BTEC Level 3 Extended Diploma,Acting: Music Theatre,72,30,12,7,10,9,2,2,0,0,0
Croydon,101849,BRIT School for Performing Arts and Technology,City Technology College,Pearson BTEC Level 3 Extended Diploma,Art & Design,40,12,2,8,6,6,5,1,0,0,0
Croydon,101849,BRIT School for Performing Arts and Technology,City Technology College,Pearson BTEC Level 3 Extended Diploma,Dance: General,46,31,6,6,0,2,1,0,0,0,0
Croydon,101849,BRIT School for Performing Arts and Technology,City Technology College,Pearson BTEC Level 3 Extended Diploma,Multimedia,67,15,9,6,8,13,3,8,3,1,1
Croydon,101849,BRIT School for Performing Arts and Technology,City Technology College,Pearson BTEC Level 3 Extended Diploma,Music Studies (General),38,26,0,2,4,1,4,1,0,0,0
Croydon,101849,BRIT School for Performing Arts and Technology,City Technology College,Pearson BTEC Level 3 Extended Diploma,Speech & Drama,54,9,11,8,5,11,3,3,1,3,0
Ealing,101928,Villiers High School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Applied Sciences,8,4,0,1,2,1,0,0,0,0,0
Ealing,101930,Dormers Wells High School,Community School,Pearson BTEC Level 3 Extended Diploma,Acting Skills,8,0,0,2,1,1,2,2,0,0,0
Ealing,101930,Dormers Wells High School,Community School,Pearson BTEC Level 3 Extended Diploma,Business Studies,6,0,0,1,1,0,2,2,0,0,0
Ealing,101930,Dormers Wells High School,Community School,Pearson BTEC Level 3 Extended Diploma,Health Studies,7,2,0,1,0,1,3,0,0,0,0
Ealing,101932,Acton High School,Community School,Pearson BTEC Level 3 Extended Diploma,Business Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101940,Greenford High School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Applied Sciences,13,2,6,3,2,0,0,0,0,0,0
Ealing,101940,Greenford High School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Business Studies,11,5,2,1,1,1,1,0,0,0,0
Enfield,102048,Enfield County School,Community School,Pearson BTEC Level 3 Extended Diploma,Health Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Enfield,102049,Chace Community School,Community School,Pearson BTEC Level 3 Extended Diploma,Business Studies,10,1,3,2,0,2,1,0,1,0,0
Enfield,102049,Chace Community School,Community School,Pearson BTEC Level 3 Extended Diploma,Health Studies,9,2,2,3,2,0,0,0,0,0,0
Enfield,102050,Lea Valley High School,Community School,Pearson BTEC Level 3 Extended Diploma,Business Studies,26,20,3,1,1,1,0,0,0,0,0
Enfield,102050,Lea Valley High School,Community School,Pearson BTEC Level 3 Extended Diploma,Computer Appreciation / Introduction,6,0,1,3,1,1,0,0,0,0,0
Enfield,102050,Lea Valley High School,Community School,Pearson BTEC Level 3 Extended Diploma,Multimedia,8,4,2,1,1,0,0,0,0,0,0
Enfield,102050,Lea Valley High School,Community School,Pearson BTEC Level 3 Extended Diploma,Sports / Movement Science,8,5,0,1,1,1,0,0,0,0,0
Enfield,102053,St Anne's Catholic High School for Girls,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Enfield,102056,Broomfield School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Business Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Harrow,102239,Whitmore High School,Community School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,20,7,3,1,7,2,0,0,0,0,0
Hillingdon,102449,Abbotsfield School,Foundation School,Pearson BTEC Level 3 Extended Diploma,Sports Studies,6,1,0,1,1,2,1,0,0,0,0
Hounslow,102545,Gunnersbury Catholic School,Voluntary Aided School,Pearson BTEC Level 3 Extended Diploma,Business Studies,13,2,4,4,3,0,0,0,0,0,0
