"Number of students entered for vocationally related qualifications (VRQ) by institution, subject and grade achieved",,,,,,,,,,,
,,,,,,,Grade achieved,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number entered ,Distinction *,Distinction,Merit,Pass,No results
Essex,130674,Colchester Institute,General Further Education College,UAL Level 3 Award in Drawing (QCF),Graphic Arts,2,Supp,Supp,Supp,Supp,Supp
Essex,130674,Colchester Institute,General Further Education College,City & Guilds Level 3 Diploma in Women's Hairdressing (QCF),Hairdressing Services,15,0,0,0,15,0
Essex,130674,Colchester Institute,General Further Education College,City & Guilds Level 3 Diploma In Aromatherapy (QCF),Holistic Therapies,1,Supp,Supp,Supp,Supp,Supp
Essex,130674,Colchester Institute,General Further Education College,City & Guilds Level 3 NVQ Diploma in Hospitality Supervision and Leadership (QCF),Hospitality Management,1,Supp,Supp,Supp,Supp,Supp
Essex,130674,Colchester Institute,General Further Education College,City & Guilds Level 3 Diploma In Massage (QCF),Massage Techniques (Personal Health),1,Supp,Supp,Supp,Supp,Supp
Essex,130674,Colchester Institute,General Further Education College,City & Guilds Level 3 NVQ Diploma in Beauty Therapy - Massage (QCF),Massage Techniques (Personal Health),1,Supp,Supp,Supp,Supp,Supp
Essex,130674,Colchester Institute,General Further Education College,City & Guilds Level 3 Diploma In Reflexology (QCF),Reflexology,2,Supp,Supp,Supp,Supp,Supp
Essex,130674,Colchester Institute,General Further Education College,ISMM Level 3 Award In Prospecting for new business (QCF),Sales Promotion,1,Supp,Supp,Supp,Supp,Supp
Essex,130674,Colchester Institute,General Further Education College,ISMM Level 3 Award In Understanding influences on buyer behaviour (QCF),Sales Promotion,1,Supp,Supp,Supp,Supp,Supp
Essex,130674,Colchester Institute,General Further Education College,NCFE Level 3 Certificate in Travel Services (QCF),Tourism,4,Supp,Supp,Supp,Supp,Supp
Essex,130674,Colchester Institute,General Further Education College,IMIAL Level 3 Diploma in Vehicle Accident Repair Paint Principles (QCF),Vehicle Body Maintenance / Repair,4,Supp,Supp,Supp,Supp,Supp
Essex,130674,Colchester Institute,General Further Education College,ABC Level 3 Diploma in Fabrication and Welding Practice (QCF),Welding (General),4,Supp,Supp,Supp,Supp,Supp
Essex,130676,Harlow College,Tertiary College,VTCT Level 3 NVQ Diploma in Beauty Therapy General (QCF),Beauty Therapy,14,0,0,0,14,0
Essex,130676,Harlow College,Tertiary College,City & Guilds Level 3 Diploma for the Children and Young People's Workforce (QCF),Childcare Skills,1,Supp,Supp,Supp,Supp,Supp
Essex,130676,Harlow College,Tertiary College,City & Guilds Level 3 Award for IT Users (ITQ) (QCF),Computer Appreciation / Introduction,30,0,0,0,30,0
Essex,130676,Harlow College,Tertiary College,City & Guilds Level 3 Certificate in ICT Systems and Principles (QCF),Computer Architecture / Systems,2,Supp,Supp,Supp,Supp,Supp
Essex,130676,Harlow College,Tertiary College,Cskills Awards Level 3 Diploma in Site Carpentry (Construction) (QCF),Construction Carpentry / Shopfitting / Erection,4,Supp,Supp,Supp,Supp,Supp
Essex,130676,Harlow College,Tertiary College,City & Guilds Level 3 Diploma In Advanced Professional Cookery (Kitchen and Larder) (QCF),Food Preparation (General),15,0,0,0,15,0
Essex,130676,Harlow College,Tertiary College,City & Guilds Level 3 Award in Bridal Hair Styling (QCF),Hairdressing Services,2,Supp,Supp,Supp,Supp,Supp
Essex,130676,Harlow College,Tertiary College,City & Guilds Level 3 Diploma in Women's Hairdressing (QCF),Hairdressing Services,7,0,0,0,7,0
Essex,130676,Harlow College,Tertiary College,VTCT Level 3 Certificate in Indian Head Massage (QCF),Massage Techniques (Personal Health),15,0,0,0,15,0
Essex,130676,Harlow College,Tertiary College,VTCT Level 3 NVQ Diploma in Beauty Therapy Massage (QCF),Massage Techniques (Personal Health),1,Supp,Supp,Supp,Supp,Supp
Essex,130676,Harlow College,Tertiary College,City & Guilds Level 3 Diploma in ICT Professional Competence (QCF),Systems / Network Management,2,Supp,Supp,Supp,Supp,Supp
Essex,130677,Epping Forest College,Tertiary College,ITEC Level 3 Diploma in Anatomy and Physiology,Anatomy (Human),1,Supp,Supp,Supp,Supp,Supp
Essex,130677,Epping Forest College,Tertiary College,City & Guilds Level 3 Diploma in Hair and Media Make-up (QCF),Beauty Care / Services,13,0,0,0,13,0
Essex,130677,Epping Forest College,Tertiary College,City & Guilds Level 3 NVQ Diploma in Beauty Therapy - General (QCF),Beauty Therapy,23,0,0,0,23,0
Essex,130677,Epping Forest College,Tertiary College,VTCT Level 3 Diploma in Beauty Therapy Treatments (QCF),Beauty Therapy,1,Supp,Supp,Supp,Supp,Supp
Essex,130677,Epping Forest College,Tertiary College,CACHE Level 3 Diploma for The Children and Young People's Workforce (QCF),Childcare Skills,14,0,0,0,14,0
Essex,130677,Epping Forest College,Tertiary College,City & Guilds Level 3 NVQ Diploma in Hairdressing (QCF),Hairdressing Services,6,0,0,0,6,0
Essex,130677,Epping Forest College,Tertiary College,City & Guilds Level 3 Diploma For Legal Secretaries (QCF),Legal Secretarial Work,20,0,8,11,1,0
Essex,130677,Epping Forest College,Tertiary College,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
Essex,130677,Epping Forest College,Tertiary College,City & Guilds Level 3 Award in the Principles of Coaching Sport (QCF),Sports Coaching,24,0,0,0,24,0
Essex,130677,Epping Forest College,Tertiary College,CYQ Level 3 Diploma in Personal Training and Instruction (QCF),Sports Fitness / Body Training,10,0,0,0,10,0
Essex,130677,Epping Forest College,Tertiary College,IMIAL Level 3 Diploma in Light Vehicle Maintenance and Repair Principles (QCF),Vehicle Maintenance / Repair,18,0,0,0,18,0
Essex,130677,Epping Forest College,Tertiary College,ABC Level 3 Award in Visual Art (QCF),Visual Arts,1,Supp,Supp,Supp,Supp,Supp
Essex,130677,Epping Forest College,Tertiary College,OCR Level 3 Award in Text Processing (Business Professional) (QCF),Word Processing,19,0,0,0,19,0
Essex,130677,Epping Forest College,Tertiary College,OCR Level 3 Certificate in Text Processing (Business Professional) (QCF),Word Processing,1,Supp,Supp,Supp,Supp,Supp
Essex,130679,Chelmsford College,General Further Education College,McDonald's Level 3 Diploma in Shift Management (QCF),Administrative Management,1,Supp,Supp,Supp,Supp,Supp
Essex,130679,Chelmsford College,General Further Education College,OCR Level 3 Award for Creative iMedia (QCF),Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp
Essex,130679,Chelmsford College,General Further Education College,Cskills Awards Level 3 Diploma in Site Carpentry (Construction) (QCF),Construction Carpentry / Shopfitting / Erection,2,Supp,Supp,Supp,Supp,Supp
Essex,130679,Chelmsford College,General Further Education College,City & Guilds Level 3 NVQ Diploma in Hairdressing (QCF),Hairdressing Services,4,Supp,Supp,Supp,Supp,Supp
Essex,130679,Chelmsford College,General Further Education College,ILM Level 3 Award in Leadership and Management (QCF),Leadership,1,Supp,Supp,Supp,Supp,Supp
Essex,130679,Chelmsford College,General Further Education College,CMI Level 3 Award in First Line Management (QCF),Supervisory Skills,1,Supp,Supp,Supp,Supp,Supp
Essex,130680,The Sixth Form College Colchester,Sixth Form Centre / Consortia,ILM Level 3 Award in Leadership and Management (QCF),Leadership,1,Supp,Supp,Supp,Supp,Supp
Essex,130680,The Sixth Form College Colchester,Sixth Form Centre / Consortia,1st4sport Level 3 Award in the Principles of Coaching Sport (QCF),Sports Coaching,21,0,0,0,21,0
Essex,130680,The Sixth Form College Colchester,Sixth Form Centre / Consortia,Active IQ Level 3 Certificate in Personal Training (QCF),Sports Fitness / Body Training,1,Supp,Supp,Supp,Supp,Supp
Essex,130681,SEEVIC College,Sixth Form Centre / Consortia,McDonald's Level 3 Diploma in Shift Management (QCF),Administrative Management,2,Supp,Supp,Supp,Supp,Supp
Essex,130681,SEEVIC College,Sixth Form Centre / Consortia,OCR Level 3 Award in Administration (Business Professional) (QCF),Administrative Management,23,0,0,0,23,0
Essex,130681,SEEVIC College,Sixth Form Centre / Consortia,OCR Level 3 Certificate in Administration (Business Professional) (QCF),Administrative Management,23,0,0,0,23,0
Essex,130681,SEEVIC College,Sixth Form Centre / Consortia,OCR Level 3 Diploma in Administration (Business Professional) (QCF),Administrative Management,23,0,0,0,23,0
Essex,130681,SEEVIC College,Sixth Form Centre / Consortia,CACHE Level 3 Diploma for The Children and Young People's Workforce (QCF),Childcare Skills,5,Supp,Supp,Supp,Supp,Supp
Essex,130681,SEEVIC College,Sixth Form Centre / Consortia,City & Guilds Level 3 Diploma for the Children and Young People's Workforce (QCF),Childcare Skills,2,Supp,Supp,Supp,Supp,Supp
Essex,130681,SEEVIC College,Sixth Form Centre / Consortia,OCR Level 3 Award in IT User Skills (ITQ) (QCF),Computer Appreciation / Introduction,23,0,0,0,23,0
Essex,130681,SEEVIC College,Sixth Form Centre / Consortia,HABC  Level 3 Award In First Aid at Work (QCF),First Aid,1,Supp,Supp,Supp,Supp,Supp
Essex,130681,SEEVIC College,Sixth Form Centre / Consortia,Active IQ Level 3 Certificate in Personal Training (QCF),Sports Fitness / Body Training,1,Supp,Supp,Supp,Supp,Supp
Essex,130681,SEEVIC College,Sixth Form Centre / Consortia,OCR Level 3 Award in Text Processing (Business Professional) (QCF),Word Processing,21,0,0,0,21,0
Essex,130681,SEEVIC College,Sixth Form Centre / Consortia,OCR Level 3 Certificate in Text Processing (Business Professional) (QCF),Word Processing,21,0,0,0,21,0
Essex,130681,SEEVIC College,Sixth Form Centre / Consortia,OCR Level 3 Diploma in Text Processing (Business Professional) (QCF),Word Processing,8,0,0,0,8,0
Thurrock,130682,Palmer's College,Further Education Sector Institution,City & Guilds Level 3 Diploma For Legal Secretaries (QCF),Legal Secretarial Work,24,0,6,12,6,0
Thurrock,130682,Palmer's College,Further Education Sector Institution,City & Guilds Level 3 Certificate In Knowledge of Policing (QCF),Police Services,1,Supp,Supp,Supp,Supp,Supp
Thurrock,130682,Palmer's College,Further Education Sector Institution,OCR Level 3 Award in Text Processing (Business Professional) (QCF),Word Processing,33,0,0,0,33,0
Thurrock,130682,Palmer's College,Further Education Sector Institution,OCR Level 3 Certificate in Text Processing (Business Professional) (QCF),Word Processing,33,0,0,0,33,0
Thurrock,130682,Palmer's College,Further Education Sector Institution,OCR Level 3 Diploma in Text Processing (Business Professional) (QCF),Word Processing,23,0,0,0,23,0
Gloucestershire,130683,Gloucestershire College,General Further Education College,City & Guilds Level 3 Diploma in Hair and Media Make-up (QCF),Beauty Care / Services,6,0,0,0,6,0
Gloucestershire,130683,Gloucestershire College,General Further Education College,City & Guilds Level 3 Diploma in Body and Spa Therapy (QCF),Beauty Therapy,10,0,0,0,10,0
Gloucestershire,130683,Gloucestershire College,General Further Education College,City & Guilds Level 3 NVQ Diploma in Beauty Therapy - General (QCF),Beauty Therapy,7,0,0,0,7,0
Gloucestershire,130683,Gloucestershire College,General Further Education College,CACHE Level 3 Diploma for The Children and Young People's Workforce (QCF),Childcare Skills,36,0,0,0,36,0
Gloucestershire,130683,Gloucestershire College,General Further Education College,Cskills Awards Level 3 Diploma in Site Carpentry (Construction) (QCF),Construction Carpentry / Shopfitting / Erection,11,0,0,0,11,0
Gloucestershire,130683,Gloucestershire College,General Further Education College,EAL Level 3 Diploma In Electrical Installation (QCF),Energy Engineering,8,0,0,0,8,0
Gloucestershire,130683,Gloucestershire College,General Further Education College,City & Guilds Level 3 Diploma In Advanced Professional Cookery (Kitchen and Larder) (QCF),Food Preparation (General),5,Supp,Supp,Supp,Supp,Supp
Gloucestershire,130683,Gloucestershire College,General Further Education College,City & Guilds Level 3 NVQ Diploma in Professional Cookery  (QCF),Food Preparation (General),7,0,0,0,7,0
Gloucestershire,130683,Gloucestershire College,General Further Education College,City & Guilds Level 3 NVQ Diploma in Hairdressing (QCF),Hairdressing Services,19,0,0,0,19,0
Gloucestershire,130683,Gloucestershire College,General Further Education College,City & Guilds Level 3 NVQ Diploma in Hospitality Supervision and Leadership (QCF),Hospitality Management,1,Supp,Supp,Supp,Supp,Supp
Gloucestershire,130683,Gloucestershire College,General Further Education College,City & Guilds Level 3 Diploma in Nail Technology (QCF),Manicure,2,Supp,Supp,Supp,Supp,Supp
Gloucestershire,130683,Gloucestershire College,General Further Education College,OCR Level 3 Award in Supporting Teaching and Learning in Schools (QCF),School Support Work / Helpers,1,Supp,Supp,Supp,Supp,Supp
Gloucestershire,130683,Gloucestershire College,General Further Education College,OCR Level 3 Certificate in Supporting Teaching and Learning in Schools (QCF),School Support Work / Helpers,1,Supp,Supp,Supp,Supp,Supp
Gloucestershire,130683,Gloucestershire College,General Further Education College,OCR Level 3 Diploma in Specialist Support for Teaching and Learning in Schools (QCF),School Support Work / Helpers,1,Supp,Supp,Supp,Supp,Supp
Gloucestershire,130683,Gloucestershire College,General Further Education College,IMIAL Level 3 Diploma in Light Vehicle Maintenance and Repair Principles (QCF),Vehicle Maintenance / Repair,5,Supp,Supp,Supp,Supp,Supp
Gloucestershire,130686,Cirencester Tertiary College,Tertiary College,UAL Level 3 Diploma in Art & Design (QCF),Art & Design,1,Supp,Supp,Supp,Supp,Supp
Gloucestershire,130686,Cirencester Tertiary College,Tertiary College,ABC Level 3 Award in Broadcasting (QCF),Film / Video / Television Production,2,Supp,Supp,Supp,Supp,Supp
Gloucestershire,130686,Cirencester Tertiary College,Tertiary College,ABC  Level 3 Award In Journalism (QCF),Journalism (General),8,0,0,0,6,2
Gloucestershire,130686,Cirencester Tertiary College,Tertiary College,ABC Level 3 Award in Writing Skills for Journalism,Journalism (General),10,0,0,0,10,0
Gloucestershire,130686,Cirencester Tertiary College,Tertiary College,Pearson Edexcel Level 3 Diploma in Creative and Digital Media (QCF),Multimedia,4,Supp,Supp,Supp,Supp,Supp
Gloucestershire,130686,Cirencester Tertiary College,Tertiary College,apt awards Level 3 Award In Progression (QCF),Self Development,10,0,0,0,10,0
Gloucestershire,130686,Cirencester Tertiary College,Tertiary College,NOCN Level 3 Award in Progression (QCF),Self Development,18,0,0,0,18,0
Gloucestershire,130686,Cirencester Tertiary College,Tertiary College,TCL Level 3 Certificate in the Arts (QCF),Speech & Drama,2,Supp,Supp,Supp,Supp,Supp
Gloucestershire,130686,Cirencester Tertiary College,Tertiary College,CMI Level 3 Award in First Line Management (QCF),Supervisory Skills,14,0,0,0,14,0
Gloucestershire,130687,Hartpury College,Agriculture and Horticulture College,IMIAL  Level 3 Subsidiary Diploma in Land-based Technology (QCF),Farm Machinery: Operation / Maintenance / Repair,1,Supp,Supp,Supp,Supp,Supp
Gloucestershire,130687,Hartpury College,Agriculture and Horticulture College,Sports Leaders UK Level 3 Certificate in Higher Sports Leadership (QCF),Sports Leadership,61,0,0,0,61,0
Gloucestershire,130687,Hartpury College,Agriculture and Horticulture College,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance (QCF),Sports Studies,6,0,0,0,6,0
Gloucestershire,130687,Hartpury College,Agriculture and Horticulture College,1st4sport Level 3 Certificate in Understanding Sports Performance (QCF),Sports Studies,6,0,0,0,6,0
Gloucestershire,130687,Hartpury College,Agriculture and Horticulture College,Pearson Edexcel Level 3 NVQ Diploma in Achieving Excellence in Sports Performance (QCF),Sports Studies,13,0,0,0,13,0
Hampshire,130688,Basingstoke College of Technology,General Further Education College,"ABC Level 3 Foundation Diploma in Art, Design and Media",Art & Design,20,0,4,6,10,0
Hampshire,130688,Basingstoke College of Technology,General Further Education College,City & Guilds Level 3 Certificate in Artificial Nail Structures (QCF),Beauty Care / Services,2,Supp,Supp,Supp,Supp,Supp
Hampshire,130688,Basingstoke College of Technology,General Further Education College,City & Guilds Level 3 Diploma in Hair and Media Make-up (QCF),Beauty Care / Services,14,0,0,0,14,0
Hampshire,130688,Basingstoke College of Technology,General Further Education College,City & Guilds Level 3 NVQ Diploma in Beauty Therapy - General (QCF),Beauty Therapy,8,0,0,0,8,0
Hampshire,130688,Basingstoke College of Technology,General Further Education College,CACHE Level 3 Diploma for The Children and Young People's Workforce (QCF),Childcare Skills,4,Supp,Supp,Supp,Supp,Supp
Hampshire,130688,Basingstoke College of Technology,General Further Education College,Cskills Awards Level 3 Diploma in Site Carpentry (Construction) (QCF),Construction Carpentry / Shopfitting / Erection,7,0,0,0,7,0
Hampshire,130688,Basingstoke College of Technology,General Further Education College,ABC Level 3 Diploma in Fashion Retail (QCF),Fashion Retailing,21,0,12,9,0,0
Hampshire,130688,Basingstoke College of Technology,General Further Education College,City & Guilds Level 3 Diploma In Advanced Professional Cookery (Kitchen and Larder) (QCF),Food Preparation (General),8,0,0,0,8,0
Hampshire,130688,Basingstoke College of Technology,General Further Education College,City & Guilds Level 3 Diploma In Food and Beverage Service Supervision (QCF),Food Service,5,Supp,Supp,Supp,Supp,Supp
Hampshire,130688,Basingstoke College of Technology,General Further Education College,City & Guilds Level 3 Diploma in Women's Hairdressing (QCF),Hairdressing Services,15,0,0,0,15,0
Hampshire,130688,Basingstoke College of Technology,General Further Education College,ILM Level 3 Award in Leadership and Management (QCF),Leadership,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130688,Basingstoke College of Technology,General Further Education College,City & Guilds Level 3 Diploma in Nail Technology (QCF),Manicure,15,0,0,0,15,0
Hampshire,130688,Basingstoke College of Technology,General Further Education College,City & Guilds Level 3 NVQ Diploma in Beauty Therapy - Massage (QCF),Massage Techniques (Personal Health),9,0,0,0,9,0
Hampshire,130688,Basingstoke College of Technology,General Further Education College,City & Guilds Level 3 Diploma in Barbering (QCF),Men's Hairdressing,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130688,Basingstoke College of Technology,General Further Education College,Pearson Edexcel Level 3 Diploma in Specialist Support for Teaching and Learning in Schools (QCF),School Support Work / Helpers,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130688,Basingstoke College of Technology,General Further Education College,City & Guilds Level 3 Diploma in Light Vehicle Maintenance and Repair Principles (QCF),Vehicle Maintenance / Repair,36,0,0,0,36,0
Hampshire,130689,Farnborough College of Technology,General Further Education College,VTCT Level 3 Diploma in Beauty Therapy Treatments (QCF),Beauty Therapy,38,0,0,0,38,0
Hampshire,130689,Farnborough College of Technology,General Further Education College,Cskills Awards Level 3 Diploma in Site Carpentry (Construction) (QCF),Construction Carpentry / Shopfitting / Erection,6,0,0,0,6,0
Hampshire,130689,Farnborough College of Technology,General Further Education College,Cskills Awards Level 3 NVQ Diploma in Wood Occupations (Construction) (QCF),Construction Carpentry / Shopfitting / Erection,4,Supp,Supp,Supp,Supp,Supp
Hampshire,130689,Farnborough College of Technology,General Further Education College,City & Guilds Level 3 Diploma In Advanced Professional Cookery (Kitchen and Larder) (QCF),Food Preparation (General),9,0,0,0,9,0
Hampshire,130689,Farnborough College of Technology,General Further Education College,VTCT Level 3 Award in Bridal Hairstyling (QCF),Hairdressing Services,2,Supp,Supp,Supp,Supp,Supp
Hampshire,130689,Farnborough College of Technology,General Further Education College,VTCT Level 3 NVQ Diploma in Hairdressing (QCF),Hairdressing Services,5,Supp,Supp,Supp,Supp,Supp
Hampshire,130689,Farnborough College of Technology,General Further Education College,CYQ Level 3 Award in Employment Awareness in Active Leisure and Learning (QCF),Leisure Studies,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130689,Farnborough College of Technology,General Further Education College,NULL,Manufacturing Engineering,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130689,Farnborough College of Technology,General Further Education College,Pearson Edexcel Level 3 NVQ Extended Diploma in Mechanical Manufacturing Engineering (QCF),Manufacturing Engineering,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130689,Farnborough College of Technology,General Further Education College,Pearson Edexcel Level 3 NVQ Diploma in Achieving Excellence in Sports Performance (QCF),Sports Studies,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130690,Brockenhurst College,Tertiary College,Cskills Awards Level 3 Diploma in Bricklaying (Construction) (QCF),Brickwork/Masonry,2,Supp,Supp,Supp,Supp,Supp
Hampshire,130690,Brockenhurst College,Tertiary College,Cskills Awards Level 3 Diploma in Bench Joinery (Construction) (QCF),Construction Carpentry / Shopfitting / Erection,2,Supp,Supp,Supp,Supp,Supp
Hampshire,130690,Brockenhurst College,Tertiary College,Cskills Awards Level 3 Diploma in Site Carpentry (Construction) (QCF),Construction Carpentry / Shopfitting / Erection,7,0,0,0,7,0
Hampshire,130690,Brockenhurst College,Tertiary College,Cskills Awards Level 3 NVQ Diploma in Wood Occupations (Construction) (QCF),Construction Carpentry / Shopfitting / Erection,3,Supp,Supp,Supp,Supp,Supp
Hampshire,130690,Brockenhurst College,Tertiary College,City & Guilds Level 3 Diploma In Electrical Installations (Buildings and Structures) (QCF),Electrical installation (Buildings / Construction),7,0,0,0,7,0
Hampshire,130690,Brockenhurst College,Tertiary College,CYQ Level 3 Award in Instructing Outdoor Fitness (QCF),Fitness Trainer Training,19,0,0,0,19,0
Hampshire,130690,Brockenhurst College,Tertiary College,City & Guilds Level 3 NVQ Diploma in Professional Cookery (Preparation and Cooking) (QCF),Food Preparation (General),1,Supp,Supp,Supp,Supp,Supp
Hampshire,130690,Brockenhurst College,Tertiary College,"CYQ Level 3 Award In  Adapting Exercise for Independently Active, Older People (QCF)",Health Studies,20,0,0,0,20,0
Hampshire,130690,Brockenhurst College,Tertiary College,CYQ Level 3 Award In Adapting Exercise for Ante Natal and Post Natal Clients   (QCF),Health Studies,18,0,0,0,18,0
Hampshire,130690,Brockenhurst College,Tertiary College,CYQ Level 3 Award In Programming and Supervising Exercise with Disabled Clients  (QCF),Health Studies,19,0,0,0,19,0
Hampshire,130690,Brockenhurst College,Tertiary College,ILM Level 3 Award in Leadership and Management (QCF),Leadership,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130690,Brockenhurst College,Tertiary College,CYQ Level 3 Award in Employment Awareness in Active Leisure and Learning (QCF),Leisure Studies,20,0,0,0,20,0
Hampshire,130690,Brockenhurst College,Tertiary College,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130690,Brockenhurst College,Tertiary College,CYQ Level 3 Award in Business Skills for the Fitness Professional (QCF),Small Business Management,18,0,0,0,18,0
Hampshire,130690,Brockenhurst College,Tertiary College,CYQ Level 3 Certificate in Personal Training (QCF),Sports Fitness / Body Training,20,0,0,0,20,0
Hampshire,130690,Brockenhurst College,Tertiary College,CYQ Level 3 Certificate In Sports Massage (Soft Tissue Therapy)  (QCF),Sports Massage,20,0,0,0,20,0
Hampshire,130690,Brockenhurst College,Tertiary College,Pearson Edexcel Level 3 NVQ Diploma in Achieving Excellence in Sports Performance (QCF),Sports Studies,33,0,0,0,33,0
Hampshire,130690,Brockenhurst College,Tertiary College,City & Guilds Level 3 Award In Travel and Tourism (QCF),Tourism,7,0,0,0,7,0
Hampshire,130690,Brockenhurst College,Tertiary College,ABC Level 3 Award in Visual Art (QCF),Visual Arts,10,0,0,0,9,1
Hampshire,130691,Alton College,Sixth Form Centre / Consortia,City & Guilds Level 3 Diploma for the Children and Young People's Workforce (QCF),Childcare Skills,4,Supp,Supp,Supp,Supp,Supp
Hampshire,130691,Alton College,Sixth Form Centre / Consortia,Active IQ Level 3 Diploma In Fitness Instructing and Personal Training  (QCF),Fitness Trainer Training,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130691,Alton College,Sixth Form Centre / Consortia,ILM Level 3 Award in Leadership and Management (QCF),Leadership,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130691,Alton College,Sixth Form Centre / Consortia,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,5,Supp,Supp,Supp,Supp,Supp
Hampshire,130691,Alton College,Sixth Form Centre / Consortia,Active IQ Level 3 Certificate in Personal Training (QCF),Sports Fitness / Body Training,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130692,Eastleigh College,General Further Education College,OCR Level 3 Award in Administration (Business Professional) (QCF),Administrative Management,7,0,0,0,7,0
Hampshire,130692,Eastleigh College,General Further Education College,OCR Level 3 Certificate in Administration (Business Professional) (QCF),Administrative Management,7,0,0,0,7,0
Hampshire,130692,Eastleigh College,General Further Education College,OCR Level 3 Diploma in Administration (Business Professional) (QCF),Administrative Management,7,0,0,0,7,0
Hampshire,130692,Eastleigh College,General Further Education College,VTCT Level 3 Award in Tanning Treatments (QCF),Beauty Therapy,6,0,0,0,6,0
Hampshire,130692,Eastleigh College,General Further Education College,VTCT Level 3 Diploma in Beauty Therapy Treatments (QCF),Beauty Therapy,7,0,0,0,7,0
Hampshire,130692,Eastleigh College,General Further Education College,VTCT Level 3 Diploma in Spa and Body Treatments (QCF),Beauty Therapy,8,0,0,0,8,0
Hampshire,130692,Eastleigh College,General Further Education College,VTCT Level 3 Certificate in Preparing to Set up a New Business (QCF),Business Start-up,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130692,Eastleigh College,General Further Education College,Cskills Awards Level 3 Diploma in Site Carpentry (Construction) (QCF),Construction Carpentry / Shopfitting / Erection,4,Supp,Supp,Supp,Supp,Supp
Hampshire,130692,Eastleigh College,General Further Education College,VTCT Level 3 Award in Lash Extensions (QCF),Facial Care,6,0,0,0,6,0
Hampshire,130692,Eastleigh College,General Further Education College,City & Guilds  Level 3 Diploma in Floristry (QCF),Floristry,2,Supp,Supp,Supp,Supp,Supp
Hampshire,130692,Eastleigh College,General Further Education College,HABC Level 3 Award in Supervising Food Safety in Catering (QCF),Food Hygiene,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130692,Eastleigh College,General Further Education College,City & Guilds Level 3 Diploma in Advanced Professional Cookery (QCF),Food Preparation (General),4,Supp,Supp,Supp,Supp,Supp
Hampshire,130692,Eastleigh College,General Further Education College,City & Guilds Level 3 Diploma In Food and Beverage Service Supervision (QCF),Food Service,3,Supp,Supp,Supp,Supp,Supp
Hampshire,130692,Eastleigh College,General Further Education College,VTCT Level 3 NVQ Diploma in Hairdressing (QCF),Hairdressing Services,10,0,0,0,10,0
Hampshire,130692,Eastleigh College,General Further Education College,VTCT Level 3 Award in Designing Physical Activity Programmes for Antenatal and Postnatal Clients (QCF),Physical Education,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130692,Eastleigh College,General Further Education College,City & Guilds Level 3 Diploma In Plumbing Studies (QCF),Plumbing (Building Work),17,0,0,0,17,0
Hampshire,130692,Eastleigh College,General Further Education College,CYQ Level 3 Certificate in Personal Training (QCF),Sports Fitness / Body Training,3,Supp,Supp,Supp,Supp,Supp
Hampshire,130692,Eastleigh College,General Further Education College,VTCT Level 3 Certificate in Sports Massage Therapy  (QCF),Sports Massage,11,0,0,0,11,0
Hampshire,130692,Eastleigh College,General Further Education College,"VTCT Level 3 Diploma in Theatrical, Special Effects and Hair and Media Make-Up (QCF)",Theatrical Makeup,9,0,0,0,9,0
Hampshire,130692,Eastleigh College,General Further Education College,ABC Level 3 Award in Visual Art (QCF),Visual Arts,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130692,Eastleigh College,General Further Education College,OCR Level 3 Award in Text Processing (Business Professional) (QCF),Word Processing,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130693,Fareham College,General Further Education College,NCFE Level 3 Diploma for Entry to the Uniformed Services (QCF),Armed Forces,19,0,0,0,19,0
Hampshire,130693,Fareham College,General Further Education College,"ABC Level 3 Foundation Diploma in Art, Design and Media",Art & Design,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130693,Fareham College,General Further Education College,City & Guilds Level 3 Award in Micro Dermabrasion (QCF),Beauty Care / Services,7,0,0,0,7,0
Hampshire,130693,Fareham College,General Further Education College,City & Guilds Level 3 Award in Permanent Lashes (QCF),Beauty Care / Services,1,Supp,Supp,Supp,Supp,Supp
Hampshire,130693,Fareham College,General Further Education College,City & Guilds Level 3 Diploma in Hair and Media Make-up (QCF),Beauty Care / Services,5,Supp,Supp,Supp,Supp,Supp
