"Number of students entered for vocationally related qualifications (VRQ) by institution, subject and grade achieved",,,,,,,,,,,
,,,,,,,Grade achieved,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number entered ,Distinction *,Distinction,Merit,Pass,No results
Birmingham,103533,St Thomas Aquinas Catholic School,Voluntary Aided School,NOCN Level 3 Award in General Religious Education (QCF),Religious Education,7,0,0,0,7,0
Birmingham,103537,St Edmund Campion Catholic School & Sixth Form Centre,Voluntary Aided School,NOCN Level 3 Award in General Religious Education (QCF),Religious Education,37,0,0,0,37,0
Birmingham,103550,Great Barr School,Foundation School,ASDAN Level 3 Certificate in Personal Effectiveness,Self Development,12,0,0,0,12,0
Birmingham,103560,Bishop Challoner Catholic College,Voluntary Aided School,NOCN Level 3 Award in General Religious Education (QCF),Religious Education,96,0,0,0,96,0
Birmingham,103562,King's Norton Boys' School,Foundation School,Pearson EDI Level 3 Diploma for the Children and Young People's Workforce (QCF),Childcare Skills,1,Supp,Supp,Supp,Supp,Supp
Birmingham,103562,King's Norton Boys' School,Foundation School,RSL Level 3 Subsidiary Diploma for Music Practitioners (QCF),Music performance: Group,1,Supp,Supp,Supp,Supp,Supp
Birmingham,103567,Edgbaston High School for Girls,Independent School,OCR Level 3 Certificate for Young Enterprise (QCF),Small Business Management,7,0,0,2,5,0
Coventry,103727,Barr's Hill School and Community College,Foundation School,ILM Level 3 Award in Leadership and Management (QCF),Leadership,1,Supp,Supp,Supp,Supp,Supp
Coventry,103727,Barr's Hill School and Community College,Foundation School,RSL Level 3 Certificate For Music Practitioners (QCF),Music performance: Group,3,Supp,Supp,Supp,Supp,Supp
Coventry,103727,Barr's Hill School and Community College,Foundation School,RSL Level 3 Extended Certificate For Music Practitioners (QCF),Music performance: Group,3,Supp,Supp,Supp,Supp,Supp
Coventry,103727,Barr's Hill School and Community College,Foundation School,RSL Level 3 Subsidiary Diploma For Music Practitioners (QCF),Music performance: Group,1,Supp,Supp,Supp,Supp,Supp
Coventry,103728,Stoke Park School and Community Technology College,Foundation School,ASDAN Level 3 Award in Community Volunteering (QCF),Community Work,1,Supp,Supp,Supp,Supp,Supp
Coventry,103728,Stoke Park School and Community Technology College,Foundation School,ASDAN Level 3 Award of Personal Effectiveness (QCF),Self Development,32,0,0,0,32,0
Coventry,103733,Lyng Hall School,Foundation School,ASDAN Level 3 Certificate in Community Volunteering (QCF),Community Work,16,0,0,0,16,0
Coventry,103736,President Kennedy School and Community College,Community School,ASDAN Level 3 Award of Personal Effectiveness (QCF),Self Development,38,0,0,0,38,0
