"Number of students passing a double award OCR Cambridge technical diploma or technical subsidiary diploma level 3 by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Double Star,Star Distinction,Double Distinction,Distinction Merit,Double Merit,Merit Pass,Double Pass
Kent,118882,Aylesford School - Sports College,Foundation School,OCR Cambridge Technical Diploma at Level 3,Health Studies,10,5,4,0,1,0,0,0
Kent,118903,Hugh Christie Technology College,Foundation School,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118903,Hugh Christie Technology College,Foundation School,OCR Cambridge Technical Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118903,Hugh Christie Technology College,Foundation School,OCR Cambridge Technical Diploma at Level 3,Sports Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118918,St Anselm's Catholic School,Voluntary Aided School,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lancashire,119744,Carr Hill High School and Sixth Form Centre,Community School,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lancashire,119744,Carr Hill High School and Sixth Form Centre,Community School,OCR Cambridge Technical Diploma at Level 3,Health Studies,8,5,0,1,0,0,1,1
Lancashire,119748,Carnforth High School,Community School,OCR Cambridge Technical Subsidiary Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leicestershire,120236,Charnwood College (Upper),Foundation School,OCR Cambridge Technical Diploma at Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leicester,120297,The City of Leicester College,Community School,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,10,0,1,1,3,3,1,1
North Yorkshire,121666,Thirsk School & Sixth Form College,Community School,OCR Cambridge Technical Diploma at Level 3,Health Studies,10,6,2,2,0,0,0,0
North Yorkshire,121710,Northallerton College,Voluntary Controlled School,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,12,9,0,1,0,1,1,0
Northumberland,122356,Queen Elizabeth High School,Community School,OCR Cambridge Technical Diploma at Level 3,Sports Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Northumberland,122363,James Calvert Spence College - Acklington Road,Community School,OCR Cambridge Technical Subsidiary Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,124391,Paulet High School,Community School,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,7,1,0,0,1,0,2,3
Staffordshire,124399,Moorside High School,Community School,OCR Cambridge Technical Diploma at Level 3,Health Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,124430,Thomas Alleyne's High School,Community School,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Staffordshire,124459,Blessed Robert Sutton Catholic Sports College,Voluntary Aided School,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Stoke-on-Trent,124465,St Thomas More Catholic College,Voluntary Aided School,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,6,0,1,1,4,0,0,0
Suffolk,124804,Newmarket College,Community School,OCR Cambridge Technical Diploma at Level 3,Health Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Suffolk,124818,Stowmarket High School,Community School,OCR Cambridge Technical Diploma at Level 3,Health Studies,6,2,3,1,0,0,0,0
Suffolk,124818,Stowmarket High School,Community School,OCR Cambridge Technical Subsidiary Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Suffolk,124819,Alde Valley School,Community School,OCR Cambridge Technical Diploma at Level 3,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Suffolk,124853,Stowupland High School,Community School,OCR Cambridge Technical Diploma at Level 3,Health Studies,7,5,2,0,0,0,0,0
Lewisham,130416,Christ The King Sixth Form College,Further Education Sector Institution,OCR Cambridge Technical Subsidiary Diploma at Level 3,Multimedia,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wirral,130493,Wirral Metropolitan College,General Further Education College,OCR Cambridge Technical Subsidiary Diploma at Level 3,Health Studies,28,8,3,1,3,6,4,3
Manchester,130504,Xaverian College,Further Education Sector Institution,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,20,2,0,4,12,0,2,0
Oldham,130506,Oldham Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Subsidiary Diploma at Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Stockport,130514,Aquinas College,Further Education Sector Institution,OCR Cambridge Technical Diploma at Level 3,Sports Studies,23,11,5,4,0,1,2,0
Kirklees,130539,Huddersfield New College,Sixth Form Centre / Consortia,OCR Cambridge Technical Diploma at Level 3,Art & Design,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bath and North East Somerset,130559,Norton Radstock College,General Further Education College,OCR Cambridge Technical Diploma at Level 3,Health Studies,7,2,3,0,1,0,1,0
Bath and North East Somerset,130559,Norton Radstock College,General Further Education College,OCR Cambridge Technical Subsidiary Diploma at Level 3,Health Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
York,130594,York College,General Further Education College,OCR Cambridge Technical Subsidiary Diploma at Level 3,Health Studies,17,3,0,0,1,2,1,10
Bedford,130597,Bedford College,General Further Education College,OCR Cambridge Technical Subsidiary Diploma at Level 3,Business Studies,6,3,1,2,0,0,0,0
Bedford,130597,Bedford College,General Further Education College,OCR Cambridge Technical Subsidiary Diploma at Level 3,Health Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,130610,Cambridge Regional College,General Further Education College,OCR Cambridge Technical Diploma at Level 3,Health Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,130616,Long Road Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,6,0,0,0,3,0,1,2
Warrington,130624,Priestley College,Sixth Form Centre / Consortia,OCR Cambridge Technical Diploma at Level 3,Film / Video / Television Production,12,0,0,2,0,6,3,1
Cumbria,130637,Barrow-in-Furness Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Diploma at Level 3,Health Studies,6,1,0,2,1,1,0,1
Plymouth,130649,City College Plymouth,General Further Education College,OCR Cambridge Technical Diploma at Level 3,Film / Video / Television Production,23,4,4,4,3,3,3,2
Dorset,130655,Kingston Maurward College,Agriculture and Horticulture College,OCR Cambridge Technical Subsidiary Diploma at Level 3,Business Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Darlington,130662,Queen Elizabeth Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Diploma at Level 3,Sports Studies,22,1,4,6,4,7,0,0
Brighton and Hove,130669,Brighton Hove and Sussex Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Diploma at Level 3,Business Studies,7,2,2,1,2,0,0,0
Hampshire,130699,Totton College,Sixth Form Centre / Consortia,OCR Cambridge Technical Diploma at Level 3,Art & Design,9,0,0,0,0,2,2,5
Hampshire,130701,Barton Peveril Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Diploma at Level 3,Film / Video / Television Production,13,1,2,2,4,2,1,1
Hampshire,130701,Barton Peveril Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Subsidiary Diploma at Level 3,Multimedia,6,0,0,0,0,1,3,2
Hampshire,130701,Barton Peveril Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Diploma at Level 3,Sports Studies,8,5,2,1,0,0,0,0
Hampshire,130701,Barton Peveril Sixth Form College,Sixth Form Centre / Consortia,OCR Cambridge Technical Subsidiary Diploma at Level 3,Sports Studies,32,19,8,0,3,2,0,0
Blackburn with Darwen,130746,St Mary's College,Further Education Sector Institution,OCR Cambridge Technical Diploma at Level 3,Business Studies,6,0,2,1,2,0,1,0
Blackburn with Darwen,130746,St Mary's College,Further Education Sector Institution,OCR Cambridge Technical Diploma at Level 3,Sports Studies,8,0,0,1,1,4,2,0
Leicestershire,130750,South Leicestershire College,General Further Education College,OCR Cambridge Technical Diploma at Level 3,Film / Video / Television Production,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leicestershire,130750,South Leicestershire College,General Further Education College,OCR Cambridge Technical Subsidiary Diploma at Level 3,Multimedia,12,0,0,0,2,2,4,4
Norfolk,130763,The College of West Anglia,General Further Education College,OCR Cambridge Technical Diploma at Level 3,Health Studies,54,16,11,10,1,3,5,8
Norfolk,130763,The College of West Anglia,General Further Education College,OCR Cambridge Technical Subsidiary Diploma at Level 3,Health Studies,54,18,7,6,6,4,5,8
Nottinghamshire,130779,North Nottinghamshire College,General Further Education College,OCR Cambridge Technical Subsidiary Diploma at Level 3,Health Studies,9,0,0,0,2,0,2,5
Sheffield,131895,Sheffield Park Academy,Sponsored Academy,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,9,3,0,3,3,0,0,0
Sheffield,131895,Sheffield Park Academy,Sponsored Academy,OCR Cambridge Technical Subsidiary Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sheffield,131896,Sheffield Springs Academy,Sponsored Academy,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bradford,132217,Parkside School,Foundation School,OCR Cambridge Technical Diploma at Level 3,Health Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Southend-on-Sea,132762,Futures Community College,Foundation School,OCR Cambridge Technical Subsidiary Diploma at Level 3,Business Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
"Bristol, City of",134221,The City Academy Bristol,Sponsored Academy,OCR Cambridge Technical Diploma at Level 3,Health Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Lancashire,135000,Thomas Whitham Sixth Form,Community School,OCR Cambridge Technical Diploma at Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Southwark,135315,Walworth Academy,Sponsored Academy,OCR Cambridge Technical Diploma at Level 3,Health Studies,8,1,1,0,1,2,1,2
Northamptonshire,135317,Brooke Weston Academy,Sponsored Academy,OCR Cambridge Technical Diploma at Level 3,Computer Appreciation / Introduction,7,0,0,7,0,0,0,0
Oxfordshire,135365,North Oxfordshire Academy,Sponsored Academy,OCR Cambridge Technical Diploma at Level 3,Film / Video / Television Production,7,4,1,2,0,0,0,0
Southwark,135401,Bacon's College,Sponsored Academy,OCR Cambridge Technical Diploma at Level 3,Film / Video / Television Production,7,1,2,2,2,0,0,0
Essex,135653,Maltings Academy,Sponsored Academy,OCR Cambridge Technical Diploma at Level 3,Business Studies,13,3,4,1,2,0,1,2
Nottingham,135881,Nottingham Academy,Sponsored Academy,OCR Cambridge Technical Diploma at Level 3,Sports Studies,6,3,0,0,1,2,0,0
