"Number of students passing an OCR Cambridge technical certificate or technical introductory diploma level 3 by institution, subject and grade achieved",,,,,,,,,,
,,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction*,Distinction,Merit,Pass
"Bristol, City of",134221,The City Academy Bristol,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,8,7,0,0,1
"Bristol, City of",134221,The City Academy Bristol,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
"Bristol, City of",134221,The City Academy Bristol,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,13,5,3,3,2
"Bristol, City of",134221,The City Academy Bristol,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Sefton,134710,St Michael's Church of England High School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,18,0,3,12,3
Barnet,134798,London Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,8,0,0,3,5
Lancashire,135000,Thomas Whitham Sixth Form,Community School,OCR Cambridge Technical Certificate at Level 3,Sports Studies,1,Supp,Supp,Supp,Supp
Lancashire,135000,Thomas Whitham Sixth Form,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,2,Supp,Supp,Supp,Supp
Hillingdon,135004,The Harefield Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
Hillingdon,135004,The Harefield Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Peterborough,135263,Thomas Deacon Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Peterborough,135263,Thomas Deacon Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,19,5,4,7,3
Northamptonshire,135317,Brooke Weston Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Art & Design,7,3,1,2,1
Northamptonshire,135317,Brooke Weston Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,12,7,5,0,0
Northamptonshire,135317,Brooke Weston Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,11,9,2,0,0
Luton,135337,Barnfield West Academy Luton,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Luton,135338,Barnfield South Academy Luton,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Oxfordshire,135365,North Oxfordshire Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
Oxfordshire,135365,North Oxfordshire Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,4,Supp,Supp,Supp,Supp
Bradford,135367,Bradford Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Southwark,135401,Bacon's College,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp,Supp
Lincolnshire,135564,The Priory City of Lincoln Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Lincolnshire,135564,The Priory City of Lincoln Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,9,1,2,3,3
Blackburn with Darwen,135580,Darwen Aldridge Community Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,22,19,1,2,0
Sandwell,135599,RSA Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Essex,135653,Maltings Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Essex,135653,Maltings Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,4,Supp,Supp,Supp,Supp
Wandsworth,135762,Saint John Bosco College,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,6,3,1,2,0
Bradford,135865,Appleton Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,5,Supp,Supp,Supp,Supp
Bradford,135866,Dixons Allerton Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,7,4,2,0,1
Nottingham,135881,Nottingham Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,9,5,2,2,0
Birmingham,135911,Shenley Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,14,4,4,6,0
Lancashire,135936,Fulwood Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Cheshire West and Chester,135941,University of Chester CE Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Central Bedfordshire,135946,All Saints Academy Dunstable,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,10,0,0,2,8
West Sussex,135962,Shoreham Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,10,0,1,1,8
Doncaster,135963,Outwood Academy Adwick,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Medway,135964,Strood Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,6,0,0,1,5
Medway,135964,Strood Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,6,0,0,5,1
Leeds,135969,South Leeds Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Leeds,135969,South Leeds Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Solihull,135971,Park Hall Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,19,7,5,3,4
Brent,135973,The Crest Academies,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Brent,135974,The Crest Boys' Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Isle of Wight,136010,Medina College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,7,1,4,1,1
Isle of Wight,136012,Carisbrooke College,Foundation School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Isle of Wight,136012,Carisbrooke College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Lincolnshire,136044,St George's Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Lincolnshire,136044,St George's Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Calderdale,136094,"Trinity Academy, Halifax",Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,30,16,6,8,0
Calderdale,136094,"Trinity Academy, Halifax",Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,21,20,1,0,0
St. Helens,136141,The Sutton Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
St. Helens,136141,The Sutton Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,22,0,9,7,6
Plymouth,136142,The All Saints Church of England Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,10,0,0,4,6
Plymouth,136142,The All Saints Church of England Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,5,Supp,Supp,Supp,Supp
Enfield,136157,Nightingale Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,11,0,0,1,10
Plymouth,136166,Marine Academy Plymouth,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,14,10,0,1,3
Plymouth,136166,Marine Academy Plymouth,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Manchester,136174,The Co-operative Academy of Manchester,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,2,Supp,Supp,Supp,Supp
Manchester,136174,The Co-operative Academy of Manchester,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,6,0,0,1,5
Manchester,136174,The Co-operative Academy of Manchester,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,9,0,1,1,7
Manchester,136174,The Co-operative Academy of Manchester,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Kent,136175,Dover Christ Church Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Wolverhampton,136182,North East Wolverhampton Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Wolverhampton,136182,North East Wolverhampton Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp,Supp
Wolverhampton,136182,North East Wolverhampton Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,3,Supp,Supp,Supp,Supp
Cheshire West and Chester,136184,The Winsford Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,7,4,0,1,2
Norfolk,136204,The Thetford Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
Norfolk,136204,The Thetford Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Kent,136300,Castle Community College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Kent,136300,Castle Community College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,10,3,4,1,2
Kent,136300,Castle Community College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Kent,136300,Castle Community College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,24,11,2,5,6
Kent,136300,Castle Community College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Kent,136300,Castle Community College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,8,0,4,3,1
Kent,136324,Fulston Manor School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,17,4,4,5,4
Bexley,136330,Erith Secondary School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,9,3,5,1,0
Rotherham,136331,Wales High School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Rotherham,136331,Wales High School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Leeds,136343,Garforth Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,6,0,2,0,4
Leeds,136343,Garforth Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Kent,136349,The Hayesbrook School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,10,1,2,6,1
Newcastle upon Tyne,136352,Gosforth Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,5,Supp,Supp,Supp,Supp
Kent,136382,Chatham & Clarendon Grammar School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,19,18,0,1,0
Kent,136382,Chatham & Clarendon Grammar School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,3,Supp,Supp,Supp,Supp
Wakefield,136462,Ossett Academy and Sixth Form College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,2,Supp,Supp,Supp,Supp
Wakefield,136462,Ossett Academy and Sixth Form College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
Bromley,136464,Coopers School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,14,4,3,7,0
Kent,136465,Herne Bay High School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
Kent,136465,Herne Bay High School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
Bromley,136467,Chislehurst School for Girls,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,3,Supp,Supp,Supp,Supp
Derbyshire,136485,Kirk Hallam Community Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
Northamptonshire,136488,Sponne School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Northamptonshire,136488,Sponne School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Devon,136495,"Teignmouth Community School, Exeter Road",Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Devon,136495,"Teignmouth Community School, Exeter Road",Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Norfolk,136515,Springwood High School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,10,6,1,2,1
Norfolk,136515,Springwood High School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,11,8,2,1,0
Cornwall,136524,Camborne Science and International Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,8,3,2,0,3
Cornwall,136524,Camborne Science and International Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,5,Supp,Supp,Supp,Supp
Cornwall,136524,Camborne Science and International Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,8,1,0,6,1
Cornwall,136524,Camborne Science and International Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,9,1,1,6,1
Cornwall,136524,Camborne Science and International Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,10,7,1,2,0
Cornwall,136533,Newquay Tretherras,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Cornwall,136533,Newquay Tretherras,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Bexley,136538,"Trinity Church of England School, Belvedere",Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,1,Supp,Supp,Supp,Supp
Bromley,136545,Charles Darwin School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,5,Supp,Supp,Supp,Supp
Bromley,136545,Charles Darwin School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,5,Supp,Supp,Supp,Supp
Bromley,136545,Charles Darwin School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,2,Supp,Supp,Supp,Supp
Bromley,136545,Charles Darwin School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Health Studies,9,1,1,5,2
Bromley,136545,Charles Darwin School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,11,3,4,3,1
Plymouth,136568,Plymstock School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Sports Studies,9,4,3,0,2
Plymouth,136568,Plymstock School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,8,4,3,0,1
Devon,136569,South Dartmoor Community College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,6,3,1,2,0
Kent,136571,Hartsdown Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,10,0,1,2,7
Kent,136571,Hartsdown Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,4,Supp,Supp,Supp,Supp
Essex,136577,The King John School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,2,Supp,Supp,Supp,Supp
Kent,136581,Valley Park School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,11,10,1,0,0
Kent,136581,Valley Park School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,10,8,2,0,0
Hertfordshire,136609,Sandringham School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Hertfordshire,136609,Sandringham School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,12,6,1,3,2
Sandwell,136616,Wood Green Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Sandwell,136616,Wood Green Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,6,5,0,1,0
Gloucestershire,136623,Chosen Hill School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,9,0,2,5,2
Gloucestershire,136623,Chosen Hill School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,7,0,2,2,3
Plymouth,136626,Stoke Damerel Community College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Film / Video / Television Production,5,Supp,Supp,Supp,Supp
Plymouth,136626,Stoke Damerel Community College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,4,Supp,Supp,Supp,Supp
Plymouth,136626,Stoke Damerel Community College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Plymouth,136626,Stoke Damerel Community College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,3,Supp,Supp,Supp,Supp
Bromley,136644,Hayes School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Bromley,136644,Hayes School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,24,3,7,13,1
East Riding of Yorkshire,136667,South Hunsley School and Sixth Form College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,4,Supp,Supp,Supp,Supp
East Riding of Yorkshire,136667,South Hunsley School and Sixth Form College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,5,Supp,Supp,Supp,Supp
East Riding of Yorkshire,136667,South Hunsley School and Sixth Form College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,18,6,7,3,2
County Durham,136683,The Hermitage Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,14,9,4,1,0
Bromley,136709,Bullers Wood School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Bexley,136720,Welling School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,15,11,2,1,1
Bexley,136720,Welling School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,16,12,2,2,0
Bexley,136720,Welling School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,15,8,2,3,2
Bexley,136720,Welling School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,15,9,4,0,2
Bexley,136720,Welling School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Health Studies,4,Supp,Supp,Supp,Supp
North Somerset,136722,Backwell School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp,Supp
North Somerset,136722,Backwell School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,4,Supp,Supp,Supp,Supp
Isle of Wight,136751,Sandown Bay Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Isle of Wight,136751,Sandown Bay Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,4,Supp,Supp,Supp,Supp
Isle of Wight,136753,Ryde Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,12,1,2,7,2
Isle of Wight,136753,Ryde Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,11,2,3,4,2
Hillingdon,136768,Uxbridge High School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Hillingdon,136768,Uxbridge High School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,16,3,2,6,5
County Durham,136770,King James I Academy Bishop Auckland,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Sutton,136799,Carshalton Boys Sports College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,13,4,2,6,1
Sutton,136799,Carshalton Boys Sports College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,25,9,10,4,2
Leeds,136826,Leeds East Academy,Sponsored Academy,OCR Cambridge Technical Certificate at Level 3,Health Studies,12,0,1,8,3
Leeds,136826,Leeds East Academy,Sponsored Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,7,0,0,4,3
Suffolk,136827,Copleston High School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Suffolk,136827,Copleston High School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,7,0,2,4,1
Thurrock,136854,Gable Hall School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,6,0,2,2,2
North Somerset,136856,Gordano School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,7,0,1,4,2
North Somerset,136856,Gordano School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,17,0,2,11,4
Lincolnshire,136871,North Kesteven School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Lincolnshire,136871,North Kesteven School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Film / Video / Television Production,15,9,1,3,2
Lincolnshire,136871,North Kesteven School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,14,8,2,1,3
Birmingham,136882,Aston Manor Academy,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Birmingham,136882,Aston Manor Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,19,7,12,0,0
North Yorkshire,136896,Rossett School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Essex,136904,Great Baddow High School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,9,2,1,3,3
Devon,136912,Honiton Community College,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,6,2,0,3,1
Devon,136912,Honiton Community College,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,10,3,4,1,2
Sutton,136914,Glenthorne High School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,8,3,1,3,1
Coventry,136963,Finham Park School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
County Durham,136971,Park View School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Art & Design,4,Supp,Supp,Supp,Supp
County Durham,136971,Park View School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Art & Design,6,1,3,1,1
County Durham,136971,Park View School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,13,6,4,3,0
County Durham,136971,Park View School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,13,8,4,1,0
County Durham,136971,Park View School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,21,10,4,6,1
County Durham,136971,Park View School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Sports Studies,3,Supp,Supp,Supp,Supp
Northamptonshire,136976,Southfield School for Girls,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Suffolk,136990,Bury St Edmunds County Upper School,Converter Academy,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Cambridgeshire,136992,Longsands Academy,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,31,15,9,6,1
Suffolk,136998,Bungay High School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Suffolk,136998,Bungay High School,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,1,Supp,Supp,Supp,Supp
Hounslow,137009,Rivers Academy West London,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,12,6,2,4,0
Hounslow,137009,Rivers Academy West London,Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,13,10,3,0,0
Wakefield,137011,"Minsthorpe Community College, A Specialist Science College",Converter Academy,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
