"Number of students passing an OCR Cambridge technical certificate or technical introductory diploma level 3 by institution, subject and grade achieved",,,,,,,,,,
,,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction*,Distinction,Merit,Pass
Bradford,107395,Titus Salt School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,40,20,18,2,0
Bradford,107413,Carlton Bolling College,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,14,9,3,2,0
Bradford,107440,Hanson School,Foundation School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Bradford,107440,Hanson School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,10,4,2,2,2
Bradford,107440,Hanson School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,6,2,3,1,0
Bradford,107443,Laisterdyke Business and Enterprise College,Foundation School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Bradford,107443,Laisterdyke Business and Enterprise College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,19,12,5,2,0
Calderdale,107565,Ryburn Valley High School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,4,Supp,Supp,Supp,Supp
Calderdale,107565,Ryburn Valley High School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,2,Supp,Supp,Supp,Supp
Leeds,108057,Allerton High School,Community School,OCR Cambridge Technical Certificate at Level 3,Health Studies,6,5,0,0,1
Leeds,108057,Allerton High School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,6,4,1,0,1
Leeds,108079,Pudsey Grangefield School,Foundation School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Leeds,108079,Pudsey Grangefield School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,25,12,0,8,5
Leeds,108081,Royds School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp
Leeds,108081,Royds School,Foundation School,OCR Cambridge Technical Certificate at Level 3,Health Studies,5,Supp,Supp,Supp,Supp
Leeds,108081,Royds School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,2,Supp,Supp,Supp,Supp
Leeds,108086,Bruntcliffe School,Foundation School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Leeds,108086,Bruntcliffe School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,7,0,0,1,6
Gateshead,108405,Charles Thorp Comprehensive School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Newcastle upon Tyne,108526,Benfield School,Community School,OCR Cambridge Technical Certificate at Level 3,Business Studies,8,0,0,5,3
Newcastle upon Tyne,108526,Benfield School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,8,1,2,5,0
Newcastle upon Tyne,108526,Benfield School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Newcastle upon Tyne,108526,Benfield School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,7,1,0,6,0
North Tyneside,108639,George Stephenson High School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,13,8,2,2,1
North Tyneside,108639,George Stephenson High School,Foundation School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
North Tyneside,108639,George Stephenson High School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
North Tyneside,108640,Burnside Business and Enterprise College,Community School,OCR Cambridge Technical Certificate at Level 3,Health Studies,2,Supp,Supp,Supp,Supp
North Tyneside,108640,Burnside Business and Enterprise College,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,9,4,1,4,0
North Tyneside,108640,Burnside Business and Enterprise College,Community School,OCR Cambridge Technical Certificate at Level 3,Sports Studies,1,Supp,Supp,Supp,Supp
North Tyneside,108640,Burnside Business and Enterprise College,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,6,2,2,2,0
North Tyneside,108641,Churchill Community College,Foundation School,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
North Tyneside,108641,Churchill Community College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,18,4,3,6,5
North Tyneside,108641,Churchill Community College,Foundation School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,10,0,1,6,3
North Tyneside,108641,Churchill Community College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,15,2,6,3,4
North Tyneside,108647,"Seaton Burn College, A Specialist Business and Enterprise School",Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,10,1,4,4,1
South Gloucestershire,109324,Chipping Sodbury School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Bedford,109665,Hastingsbury Business & Enterprise College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Film / Video / Television Production,13,5,5,3,0
Bedford,109665,Hastingsbury Business & Enterprise College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,5,Supp,Supp,Supp,Supp
Central Bedfordshire,109705,Manshead School,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,10,4,2,3,1
Wokingham,110062,The Bulmershe School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Wokingham,110062,The Bulmershe School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,8,2,5,0,1
Bracknell Forest,110159,LVS Ascot,Independent School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp,Supp
Milton Keynes,110517,St Paul's Catholic School,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Cheshire West and Chester,111429,The Whitby High School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,10,2,1,6,1
Hartlepool,111756,The English Martyrs School and Sixth Form College,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,15,6,1,2,6
Hartlepool,111756,The English Martyrs School and Sixth Form College,Voluntary Aided School,OCR Cambridge Technical Certificate at Level 3,Film / Video / Television Production,15,3,1,2,9
Cornwall,112038,Treviglas Community College,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,6,0,0,3,3
Cornwall,112038,Treviglas Community College,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,14,0,3,6,5
Cornwall,112045,Budehaven Community School,Foundation School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Cornwall,112045,Budehaven Community School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,16,9,2,4,1
Cornwall,112054,Redruth School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Health Studies,4,Supp,Supp,Supp,Supp
Cumbria,112379,The Lakes School,Community School,OCR Cambridge Technical Certificate at Level 3,Business Studies,7,1,3,1,2
Cumbria,112379,The Lakes School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,7,0,4,2,1
Cumbria,112396,Whitehaven School,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Cumbria,112396,Whitehaven School,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,6,1,1,2,2
Derbyshire,112968,Anthony Gell School,Voluntary Controlled School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,12,1,6,2,3
Derby,112992,Noel-Baker School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,7,0,2,0,5
Derbyshire,112994,Friesland School,Foundation School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
Derbyshire,112994,Friesland School,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Plymouth,113533,Sir John Hunt Community Sports College,Community School,OCR Cambridge Technical Certificate at Level 3,Art & Design,1,Supp,Supp,Supp,Supp
Plymouth,113558,St Boniface's RC College,Voluntary Aided School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Devon,113604,Kingsley School,Independent School,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,7,4,3,0,0
Devon,113623,Magdalen Court School,Independent School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Dorset,113888,The Blandford School,Voluntary Controlled School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,9,3,2,4,0
Dorset,113902,Budmouth College,Foundation School,OCR Cambridge Technical Certificate at Level 3,Business Studies,4,Supp,Supp,Supp,Supp
Dorset,113902,Budmouth College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,10,0,2,6,2
County Durham,114287,Roseberry College & Sixth Form,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,7,5,1,1,0
County Durham,114297,Wolsingham School and Community College,Community School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,20,5,1,9,5
County Durham,114297,Wolsingham School and Community College,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,16,13,2,1,0
County Durham,114311,Durham Community Business College for Technology and Enterprise,Community School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp,Supp
Brighton and Hove,114606,Blatchington Mill School and Sixth Form College,Community School,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Brighton and Hove,114606,Blatchington Mill School and Sixth Form College,Community School,OCR Cambridge Technical Certificate at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Southend-on-Sea,115368,Cecil Jones College,Foundation School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Southend-on-Sea,115368,Cecil Jones College,Foundation School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Worcestershire,117032,Bredon School,Independent School,OCR Cambridge Technical Certificate at Level 3,Business Studies,1,Supp,Supp,Supp,Supp
Worcestershire,117032,Bredon School,Independent School,OCR Cambridge Technical Introductory Diploma at Level 3,Business Studies,2,Supp,Supp,Supp,Supp
Worcestershire,117032,Bredon School,Independent School,OCR Cambridge Technical Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp
Worcestershire,117032,Bredon School,Independent School,OCR Cambridge Technical Introductory Diploma at Level 3,Computer Appreciation / Introduction,3,Supp,Supp,Supp,Supp
Worcestershire,117032,Bredon School,Independent School,OCR Cambridge Technical Certificate at Level 3,Health Studies,1,Supp,Supp,Supp,Supp
Worcestershire,117032,Bredon School,Independent School,OCR Cambridge Technical Certificate at Level 3,Sports Studies,1,Supp,Supp,Supp,Supp
Worcestershire,117032,Bredon School,Independent School,OCR Cambridge Technical Introductory Diploma at Level 3,Sports Studies,2,Supp,Supp,Supp,Supp
