"Number of students passing a BTEC 90 credit diploma by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Double Distinction Star,Distinction star Distinction,Double Distinction,Distinction Merit,Double Merit,Merit Pass,Double pass
Solihull,104118,Smith's Wood Sports College,Community School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,7,0,3,2,1,1,0,0
Solihull,104118,Smith's Wood Sports College,Community School,Pearson BTEC Level 3 90-credit Diploma,Sports Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Walsall,104248,Brownhills School,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104387,"Deansfield Community School, Specialists In Media Arts",Community School,Pearson BTEC Level 3 90-credit Diploma,Art & Design,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104392,"Wednesfield High School, A Specialist Engineering College",Community School,Pearson BTEC Level 3 90-credit Diploma,Public Services,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wolverhampton,104397,Moreton Community School,Community School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,7,2,1,1,1,2,0,0
Wolverhampton,104401,Our Lady and St Chad Catholic Sports College,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Applied Sciences,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104688,Holly Lodge Girls' College,Community School,Pearson BTEC Level 3 90-credit Diploma,Art & Design,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104688,Holly Lodge Girls' College,Community School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,6,3,0,1,1,1,0,0
Liverpool,104696,"Broadgreen International School, A Technology College",Foundation School,Pearson BTEC Level 3 90-credit Diploma,Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104702,Parklands High School,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104713,"Broughton Hall High School, A Technology College",Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Speech & Drama,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104714,Cardinal Heenan Catholic High School,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Speech & Drama,7,3,0,3,1,0,0,0
Liverpool,104715,St John Bosco Arts College,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Art & Design,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Liverpool,104715,St John Bosco Arts College,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Speech & Drama,9,5,4,0,0,0,0,0
St. Helens,104829,Cowley International College,Community School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
St. Helens,104829,Cowley International College,Community School,Pearson BTEC Level 3 90-credit Diploma,Speech & Drama,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
St. Helens,104829,Cowley International College,Community School,Pearson BTEC Level 3 90-credit Diploma,Sports Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sefton,104964,Christ The King Catholic High School and Sixth Form Centre,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sefton,104964,Christ The King Catholic High School and Sixth Form Centre,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Tourism,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wirral,105100,Pensby High School for Boys: A Specialist Sports College,Community School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wirral,105101,Pensby High School for Girls,Community School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wirral,105106,Bebington High Sports College,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wirral,105107,South Wirral High School,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bolton,105253,Turton School,Community School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bury,105366,St Monica's RC High School and Sixth Form Centre,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Art & Design,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bury,105366,St Monica's RC High School and Sixth Form Centre,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Multimedia,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bury,105366,St Monica's RC High School and Sixth Form Centre,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Sports / Movement Science,10,3,1,2,2,1,1,0
Wigan,106538,St Mary's Catholic High School,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Doncaster,106788,Mexborough School,Community School,Pearson BTEC Level 3 90-credit Diploma,Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Rotherham,106959,Swinton Community School,Community School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bradford,107361,Belle Vue Boys' School,Community School,Pearson BTEC Level 3 90-credit Diploma,Applied Sciences,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bradford,107361,Belle Vue Boys' School,Community School,Pearson BTEC Level 3 90-credit Diploma,Art & Design,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bradford,107395,Titus Salt School,Community School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bradford,107423,St Bede's Catholic Grammar School,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Applied Sciences,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bradford,107423,St Bede's Catholic Grammar School,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Multimedia,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bradford,107429,St Joseph's Catholic College,Voluntary Aided School,Pearson BTEC Level 3 90-credit Diploma,Multimedia,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bradford,107440,Hanson School,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bradford,107440,Hanson School,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kirklees,107756,Nether Hall Learning Campus High School,Community School,Pearson BTEC Level 3 90-credit Diploma,Art & Design,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,108059,"Carr Manor Community School, Specialist Sports College",Community School,Pearson BTEC Level 3 90-credit Diploma,Sports / Movement Science,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,108063,John Smeaton Community College,Community School,Pearson BTEC Level 3 90-credit Diploma,Business Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,108063,John Smeaton Community College,Community School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,108091,Boston Spa School,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,108091,Boston Spa School,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Music Studies (General),1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,108091,Boston Spa School,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,108531,Heaton Manor School,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Engineering Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Tyneside,108641,Churchill Community College,Foundation School,Pearson BTEC Level 3 90-credit Diploma,Health Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
