"Number of students entered for the AQA Baccalaureate by institution, subject and grade achieved",,,,,,,,,
,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution type,Qualification,Number entered,Distinction,Merit,Pass,No results
Bradford,130909,Dixons City Academy,Sponsored Academy,AQA Baccalaureate Core,8,2,3,2,1
Bolton,131867,Bolton Sixth Form College,Sixth Form Centre / Consortia,AQA Baccalaureate Core,32,3,18,4,7
Redbridge,133405,Oaks Park High School,Community School,AQA Baccalaureate Core,5,Supp,Supp,Supp,Supp
Oxfordshire,134153,Activate Learning,General Further Education College,AQA Baccalaureate Core,1,Supp,Supp,Supp,Supp
Lancashire,135000,Thomas Whitham Sixth Form,Community School,AQA Baccalaureate Core,3,Supp,Supp,Supp,Supp
Liverpool,135174,The Belvedere Academy,Sponsored Academy,AQA Baccalaureate Core,11,0,9,2,0
Leeds,135771,Leeds City  College,General Further Education College,AQA Baccalaureate Core,1,Supp,Supp,Supp,Supp
Wirral,135877,Birkenhead High School Academy,Sponsored Academy,AQA Baccalaureate Core,1,Supp,Supp,Supp,Supp
Kirklees,136283,Heckmondwike Grammar School,Academy,AQA Baccalaureate Core,69,16,29,22,2
Devon,136366,Colyton Grammar School,Academy,AQA Baccalaureate Core,107,22,38,36,11
Kent,136379,Highworth Grammar School,Academy,AQA Baccalaureate Core,27,11,11,4,1
Lancashire,136381,Lancaster Girls' Grammar School,Academy,AQA Baccalaureate Core,19,9,10,0,0
Torbay,136388,Churston Ferrers Grammar School Academy,Academy,AQA Baccalaureate Core,15,4,7,4,0
Lancashire,136390,Clitheroe Royal Grammar School,Academy,AQA Baccalaureate Core,17,11,5,1,0
Kent,136455,Weald of Kent Grammar School,Academy,AQA Baccalaureate Core,7,0,3,1,3
Cambridgeshire,136463,Comberton Village College,Academy,AQA Baccalaureate Core,12,1,8,3,0
Bromley,136466,Bishop Justus CofE School,Academy,AQA Baccalaureate Core,1,Supp,Supp,Supp,Supp
Gloucestershire,136474,Balcarras School,Academy,AQA Baccalaureate Core,17,8,7,2,0
