"Number of students entered for a Pre-U principal subject by institution, subject and grade achieved ",,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction 1,Distinction 2,Distinction 3,Merit 1,Merit 2,Merit 3,Pass 1,Pass 2,Pass 3,No results
West Berkshire,110123,Downe House,Independent School,Pre-U Principal Subject,Mathematics (Further),9,0,1,5,0,1,1,0,1,0,0
West Berkshire,110123,Downe House,Independent School,Pre-U Principal Subject,Music,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Berkshire,110123,Downe House,Independent School,Pre-U Principal Subject,Philosophy & Theology,12,7,5,0,0,0,0,0,0,0,0
West Berkshire,110123,Downe House,Independent School,Pre-U Principal Subject,Russian,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Berkshire,110123,Downe House,Independent School,Pre-U Principal Subject,Spanish,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110158,Eton College,Independent School,Pre-U Principal Subject,Biology,38,10,14,7,4,1,0,2,0,0,0
Windsor and Maidenhead,110158,Eton College,Independent School,Pre-U Principal Subject,Chinese,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Windsor and Maidenhead,110158,Eton College,Independent School,Pre-U Principal Subject,French,33,2,10,12,6,1,1,0,1,0,0
Windsor and Maidenhead,110158,Eton College,Independent School,Pre-U Principal Subject,German,10,6,3,0,1,0,0,0,0,0,0
Windsor and Maidenhead,110158,Eton College,Independent School,Pre-U Principal Subject,History of Art,16,1,4,9,2,0,0,0,0,0,0
Windsor and Maidenhead,110158,Eton College,Independent School,Pre-U Principal Subject,Italian,10,4,3,3,0,0,0,0,0,0,0
Windsor and Maidenhead,110158,Eton College,Independent School,Pre-U Principal Subject,Music,12,3,5,4,0,0,0,0,0,0,0
Windsor and Maidenhead,110158,Eton College,Independent School,Pre-U Principal Subject,Russian,13,5,5,1,1,1,0,0,0,0,0
Windsor and Maidenhead,110158,Eton College,Independent School,Pre-U Principal Subject,Spanish,35,5,16,14,0,0,0,0,0,0,0
Buckinghamshire,110547,Wycombe Abbey School,Independent School,Pre-U Principal Subject,French,6,5,1,0,0,0,0,0,0,0,0
Cambridgeshire,110923,The Perse School,Independent School,Pre-U Principal Subject,Music,6,0,1,4,1,0,0,0,0,0,0
Cambridgeshire,110923,The Perse School,Independent School,Pre-U Principal Subject,Physics,11,9,1,0,0,1,0,0,0,0,0
Cambridgeshire,110923,The Perse School,Independent School,Pre-U Principal Subject,Psychology,15,6,5,3,0,1,0,0,0,0,0
Cambridgeshire,110924,The Stephen Perse Foundation,Independent School,Pre-U Principal Subject,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110935,Cambridge Arts and Sciences Sixth Form and Tutorial College,Independent School,Pre-U Principal Subject,Economics,7,0,0,3,0,3,1,0,0,0,0
Cambridgeshire,110935,Cambridge Arts and Sciences Sixth Form and Tutorial College,Independent School,Pre-U Principal Subject,General Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cambridgeshire,110935,Cambridge Arts and Sciences Sixth Form and Tutorial College,Independent School,Pre-U Principal Subject,Physics,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire East,111478,Alderley Edge School for Girls,Independent School,Pre-U Principal Subject,English Literature,7,0,0,1,2,1,2,1,0,0,0
Cheshire West and Chester,111486,The Queen's School,Independent School,Pre-U Principal Subject,Art & Design (Fine Art),7,3,1,2,1,0,0,0,0,0,0
Stockton-on-Tees,111769,Yarm School,Independent School,Pre-U Principal Subject,Philosophy & Theology,6,3,0,2,0,0,0,1,0,0,0
Dorset,113920,Leweston School,Independent School,Pre-U Principal Subject,English Literature,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113920,Leweston School,Independent School,Pre-U Principal Subject,History,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Dorset,113920,Leweston School,Independent School,Pre-U Principal Subject,History of Art,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Poole,113922,Canford School,Independent School,Pre-U Principal Subject,Art & Design (Fine Art),15,2,2,6,2,2,1,0,0,0,0
Poole,113922,Canford School,Independent School,Pre-U Principal Subject,French,17,1,0,3,4,3,2,2,2,0,0
Poole,113922,Canford School,Independent School,Pre-U Principal Subject,German,6,1,1,3,1,0,0,0,0,0,0
Poole,113922,Canford School,Independent School,Pre-U Principal Subject,Spanish,8,1,0,1,3,1,2,0,0,0,0
County Durham,114336,Barnard Castle School,Independent School,Pre-U Principal Subject,History,21,0,0,2,6,4,6,1,1,1,0
County Durham,114336,Barnard Castle School,Independent School,Pre-U Principal Subject,Physics,8,1,2,3,0,0,2,0,0,0,0
East Sussex,114657,Bede's Senior School,Independent School,Pre-U Principal Subject,English Literature,20,0,1,7,4,5,2,1,0,0,0
Essex,115375,Brentwood County High School,Foundation School,Pre-U Principal Subject,General Studies,13,0,0,0,0,3,0,2,0,0,8
Gloucestershire,115798,Cheltenham Ladies' College,Independent School,Pre-U Principal Subject,Chinese,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hampshire,116527,Bedales School,Independent School,Pre-U Principal Subject,Music,10,1,2,2,2,1,0,1,0,1,0
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,Art & Design (Fine Art),4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,Biology,33,7,5,7,3,6,1,1,1,0,2
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,Chemistry,55,14,15,12,4,4,2,2,1,1,0
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,Classical Greek,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,Economics,25,7,4,9,3,1,1,0,0,0,0
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,English Literature,34,5,13,8,5,2,1,0,0,0,0
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,French,24,5,7,7,3,2,0,0,0,0,0
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,Geography,10,3,1,5,1,0,0,0,0,0,0
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,German,6,3,3,0,0,0,0,0,0,0,0
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,History,33,2,8,15,7,0,1,0,0,0,0
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,History of Art,15,3,5,5,1,1,0,0,0,0,0
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,Latin,10,1,5,3,1,0,0,0,0,0,0
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,Mathematics,103,20,41,23,10,6,1,1,1,0,0
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,Mathematics (Further),41,9,11,13,2,4,2,0,0,0,0
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,Music,8,0,6,1,1,0,0,0,0,0,0
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,Philosophy & Theology,30,10,10,6,2,0,2,0,0,0,0
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,Physics,49,17,14,11,4,0,1,1,1,0,0
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,Russian,13,6,3,3,1,0,0,0,0,0,0
Hampshire,116532,Winchester College,Independent School,Pre-U Principal Subject,Spanish,7,4,1,2,0,0,0,0,0,0,0
Hampshire,116534,St Swithun's School,Independent School,Pre-U Principal Subject,Music,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117592,The Hertfordshire & Essex High School and Science College,Foundation School,Pre-U Principal Subject,Classical Civilisation,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117592,The Hertfordshire & Essex High School and Science College,Foundation School,Pre-U Principal Subject,General Studies,6,0,2,3,1,0,0,0,0,0,0
Hertfordshire,117609,Queenswood School,Independent School,Pre-U Principal Subject,English Literature,7,1,1,4,0,1,0,0,0,0,0
Hertfordshire,117609,Queenswood School,Independent School,Pre-U Principal Subject,History of Art,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117649,Haberdashers' Aske's School for Girls,Independent School,Pre-U Principal Subject,Chinese,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118959,Tonbridge School,Independent School,Pre-U Principal Subject,Chinese,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,118996,The King's School Canterbury,Independent School,Pre-U Principal Subject,Chinese,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,119002,Walthamstow Hall,Independent School,Pre-U Principal Subject,English Literature,15,3,4,6,2,0,0,0,0,0,0
Kent,119002,Walthamstow Hall,Independent School,Pre-U Principal Subject,General Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Kent,119002,Walthamstow Hall,Independent School,Pre-U Principal Subject,History,9,2,7,0,0,0,0,0,0,0,0
Kent,119002,Walthamstow Hall,Independent School,Pre-U Principal Subject,Mathematics,8,2,2,0,4,0,0,0,0,0,0
Rutland,120322,Oakham School,Independent School,Pre-U Principal Subject,Music,6,0,0,2,3,0,1,0,0,0,0
Lincolnshire,120701,"The King Edward VI Grammar School, Louth",Foundation School,Pre-U Principal Subject,General Studies,70,0,0,8,15,26,8,8,4,1,0
Northamptonshire,122129,Oundle School,Independent School,Pre-U Principal Subject,Chemistry,24,8,3,5,3,4,0,0,1,0,0
Northamptonshire,122129,Oundle School,Independent School,Pre-U Principal Subject,Chinese,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Northamptonshire,122129,Oundle School,Independent School,Pre-U Principal Subject,Economics,9,4,2,1,0,2,0,0,0,0,0
Northamptonshire,122129,Oundle School,Independent School,Pre-U Principal Subject,English Literature,49,4,9,18,8,7,2,1,0,0,0
Northamptonshire,122129,Oundle School,Independent School,Pre-U Principal Subject,German,8,0,1,4,3,0,0,0,0,0,0
Northamptonshire,122129,Oundle School,Independent School,Pre-U Principal Subject,Government & Politics,15,0,1,7,4,1,0,2,0,0,0
Northamptonshire,122129,Oundle School,Independent School,Pre-U Principal Subject,History,52,0,15,17,6,5,6,2,0,1,0
Northamptonshire,122129,Oundle School,Independent School,Pre-U Principal Subject,History of Art,6,0,1,1,3,1,0,0,0,0,0
Northamptonshire,122129,Oundle School,Independent School,Pre-U Principal Subject,Italian,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Northamptonshire,122129,Oundle School,Independent School,Pre-U Principal Subject,Physics,26,6,6,3,5,1,2,0,1,2,0
Oxfordshire,123282,The Oratory School,Independent School,Pre-U Principal Subject,Art & Design,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Oxfordshire,123282,The Oratory School,Independent School,Pre-U Principal Subject,Art & Design (Photography),3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Oxfordshire,123283,Cokethorpe School,Independent School,Pre-U Principal Subject,History,13,0,2,2,4,4,1,0,0,0,0
Shropshire,123608,Shrewsbury School,Independent School,Pre-U Principal Subject,French,26,2,4,6,4,5,1,2,2,0,0
Shropshire,123608,Shrewsbury School,Independent School,Pre-U Principal Subject,General Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Shropshire,123608,Shrewsbury School,Independent School,Pre-U Principal Subject,History,26,1,3,11,5,2,4,0,0,0,0
Shropshire,123608,Shrewsbury School,Independent School,Pre-U Principal Subject,Physics,17,5,3,3,0,2,2,1,0,1,0
Somerset,123911,Millfield School,Independent School,Pre-U Principal Subject,History,8,1,0,1,2,1,3,0,0,0,0
Surrey,125323,Cranleigh School,Independent School,Pre-U Principal Subject,Art & Design (Fine Art),15,0,2,5,2,1,4,1,0,0,0
Surrey,125323,Cranleigh School,Independent School,Pre-U Principal Subject,Russian,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,125340,Charterhouse,Independent School,Pre-U Principal Subject,Art & Design (Fine Art),17,2,6,5,3,1,0,0,0,0,0
Surrey,125340,Charterhouse,Independent School,Pre-U Principal Subject,Business  Studies:Single,8,0,0,2,5,0,0,0,0,0,1
Surrey,125340,Charterhouse,Independent School,Pre-U Principal Subject,Chemistry,51,6,9,12,8,5,3,3,2,3,0
Surrey,125340,Charterhouse,Independent School,Pre-U Principal Subject,Classical Greek,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,125340,Charterhouse,Independent School,Pre-U Principal Subject,Economics,73,5,16,25,12,9,4,1,1,0,0
Surrey,125340,Charterhouse,Independent School,Pre-U Principal Subject,English Literature,34,5,9,11,3,1,3,1,0,0,1
Surrey,125340,Charterhouse,Independent School,Pre-U Principal Subject,French,19,1,1,3,5,6,0,1,1,0,1
Surrey,125340,Charterhouse,Independent School,Pre-U Principal Subject,Geography,25,0,3,12,2,4,4,0,0,0,0
Surrey,125340,Charterhouse,Independent School,Pre-U Principal Subject,German,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,125340,Charterhouse,Independent School,Pre-U Principal Subject,History,78,1,24,27,15,5,3,2,1,0,0
Surrey,125340,Charterhouse,Independent School,Pre-U Principal Subject,Latin,14,2,3,6,2,1,0,0,0,0,0
Surrey,125340,Charterhouse,Independent School,Pre-U Principal Subject,Mathematics,105,21,24,21,10,10,10,3,4,2,0
Surrey,125340,Charterhouse,Independent School,Pre-U Principal Subject,Mathematics (Further),44,5,15,11,3,1,2,2,2,2,1
Surrey,125340,Charterhouse,Independent School,Pre-U Principal Subject,Music,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,125340,Charterhouse,Independent School,Pre-U Principal Subject,Physics,30,5,9,5,6,0,3,0,1,0,1
Surrey,125340,Charterhouse,Independent School,Pre-U Principal Subject,Spanish,15,2,6,2,2,2,0,0,0,0,1
Surrey,125349,City of London Freemen's School,Independent School,Pre-U Principal Subject,Art & Design,6,0,0,5,1,0,0,0,0,0,0
Surrey,125349,City of London Freemen's School,Independent School,Pre-U Principal Subject,Biology,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,125349,City of London Freemen's School,Independent School,Pre-U Principal Subject,English Literature,8,0,3,4,1,0,0,0,0,0,0
Surrey,125349,City of London Freemen's School,Independent School,Pre-U Principal Subject,History,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Surrey,125424,Royal Grammar School,Independent School,Pre-U Principal Subject,Chemistry,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
