"Number of students passing a BTEC national diploma by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,Grade achieved,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Triple Distinction,Double Distinction Merit,Distinction Double Merit,Triple Merit,Double Merit Pass,Merit Double Pass,Triple Pass
Surrey,130822,North East Surrey College of Technology,General Further Education College,BTEC National Diploma,Childcare Skills,35,16,1,4,5,0,1,8
Surrey,130824,East Surrey College,General Further Education College,BTEC National Diploma,Airport Management / Ground Services,18,5,3,2,5,0,0,3
Warwickshire,130835,Warwickshire College,General Further Education College,BTEC National Diploma,Childcare Skills,34,12,3,1,2,4,4,8
Warwickshire,130836,North Warwickshire and Hinckley College,General Further Education College,BTEC National Diploma,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Warwickshire,130837,Stratford-upon-Avon College,General Further Education College,BTEC National Diploma,Childcare Skills,23,17,1,1,1,1,2,0
"Bristol, City of",131094,City of Bristol College,General Further Education College,BTEC National Diploma,Childcare Skills,14,10,1,2,0,0,0,1
Sunderland,131347,City of Sunderland College,General Further Education College,BTEC National Diploma,Childcare Skills,67,43,5,6,2,3,4,4
Leicester,131863,Leicester College co Freemen's Park Campus,General Further Education College,BTEC National Diploma,Childcare Skills,58,23,2,11,3,6,3,10
Bolton,131867,Bolton Sixth Form College,Sixth Form Centre / Consortia,BTEC National Diploma,Childcare Skills,24,8,3,4,4,2,1,2
Hackney,133608,The Brooke House Sixth Form College,Sixth Form Centre / Consortia,BTEC National Diploma,Childcare Skills,11,1,1,4,3,0,0,2
Oxfordshire,134153,Activate Learning,General Further Education College,BTEC National Diploma,Childcare Skills,27,13,1,2,1,1,1,8
Manchester,135524,The Manchester College,General Further Education College,BTEC National Diploma,Childcare Skills,19,6,2,5,2,0,0,4
Sandwell,135599,RSA Academy,Sponsored Academy,BTEC National Diploma,Childcare Skills,11,3,0,0,0,0,0,8
Lancashire,135649,Accrington Academy,Sponsored Academy,BTEC National Diploma,Childcare Skills,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Solihull,135684,CTC Kingshurst Academy,Sponsored Academy,BTEC National Diploma,Childcare Skills,8,8,0,0,0,0,0,0
Kent,135721,Oasis Academy Isle of Sheppey,Sponsored Academy,BTEC National Diploma,Childcare Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,135771,Leeds City  College,General Further Education College,BTEC National Diploma,Childcare Skills,7,0,0,0,0,0,0,7
West Sussex,135962,Shoreham Academy,Sponsored Academy,BTEC National Diploma,Childcare Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,135969,South Leeds Academy,Sponsored Academy,BTEC National Diploma,Childcare Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Solihull,135971,Park Hall Academy,Sponsored Academy,BTEC National Diploma,Childcare Skills,10,10,0,0,0,0,0,0
