"Number of students entered for an extended project (diploma) by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade A*,Grade A,Grade B,Grade C,Grade D,Grade E,No results
Birmingham,103585,King Edward VI High School for Girls,Independent School,Extended Project (Diploma),Study Skills,9,6,1,1,0,0,0,1
Birmingham,103587,Mander Portman Woodward Independent College,Independent School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Coventry,103728,Stoke Park School and Community Technology College,Foundation School,Extended Project (Diploma),Study Skills,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Coventry,103732,Foxford School and Community Arts College,Foundation School,Extended Project (Diploma),Study Skills,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Coventry,103733,Lyng Hall School,Foundation School,Extended Project (Diploma),Study Skills,8,5,1,2,0,0,0,0
Coventry,103736,President Kennedy School and Community College,Community School,Extended Project (Diploma),Study Skills,19,5,2,4,3,3,0,2
Coventry,103740,Ernesford Grange Community School,Community School,Extended Project (Diploma),Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Coventry,103743,Cardinal Newman Catholic School A Specialist Arts and Community College,Voluntary Aided School,Extended Project (Diploma),Study Skills,53,0,2,1,11,12,14,13
Coventry,103744,Cardinal Wiseman Catholic School and Language College,Voluntary Aided School,Extended Project (Diploma),Study Skills,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Coventry,103750,King Henry VIII School,Independent School,Extended Project (Diploma),Study Skills,23,3,9,5,1,4,1,0
Coventry,103751,Bablake School,Independent School,Extended Project (Diploma),Study Skills,8,1,2,4,0,1,0,0
Dudley,103870,Old Swinford Hospital,Voluntary Aided School,Extended Project (Diploma),Study Skills,8,0,1,3,0,2,0,2
Solihull,104119,St Peter's Catholic School and Specialist Science College,Voluntary Aided School,Extended Project (Diploma),Study Skills,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Solihull,104123,Saint Martin's School,Independent School,Extended Project (Diploma),Study Skills,12,7,2,3,0,0,0,0
