"Number of students entered for applied AS level double awards by institution, subject and grade achieved",,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade AA,Grade AB,Grade BB,Grade BC,Grade CC,Grade CD,Grade DD,Grade DE,Grade EE,No results
South Gloucestershire,109324,Chipping Sodbury School,Foundation School,Applied GCE AS level Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,109325,Marlwood School,Voluntary Controlled School,Applied GCE AS level Double Award,Health & Social Care,8,0,0,0,0,2,3,1,2,0,0
Luton,109699,Cardinal Newman Catholic School A Specialist Science College,Voluntary Aided School,Applied GCE AS level Double Award,Applied Business,9,0,0,0,1,4,3,0,1,0,0
Luton,109699,Cardinal Newman Catholic School A Specialist Science College,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Central Bedfordshire,109705,Manshead School,Voluntary Aided School,Applied GCE AS level Double Award,Applied Art & Design,11,1,4,4,0,0,0,2,0,0,0
West Berkshire,110063,Little Heath School,Voluntary Aided School,Applied GCE AS level Double Award,Applied Business,6,1,1,0,1,1,1,0,1,0,0
West Berkshire,110063,Little Heath School,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,14,0,3,6,1,3,1,0,0,0,0
Buckinghamshire,110488,The Grange School,Foundation School,Applied GCE AS level Double Award,Applied Business,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,110488,The Grange School,Foundation School,Applied GCE AS level Double Award,Health & Social Care,6,0,0,3,0,0,1,2,0,0,0
Milton Keynes,110517,St Paul's Catholic School,Voluntary Aided School,Applied GCE AS level Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,110526,Stantonbury Campus,Foundation School,Applied GCE AS level Double Award,Applied Business,7,1,0,0,0,2,0,2,0,2,0
