"Number of students passing an OCR Cambridge national diploma or certificate by institution, subject and grade achieved",,,,,,,,,
,,,,,,,Grade achieved,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number passed,Distinction,Merit,Pass
Staffordshire,124449,Abbot Beyne School,Voluntary Controlled School,OCR National Diploma at Level 3,Art & Design,9,4,5,0
Staffordshire,124467,Stafford Sports College,Foundation School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp
Suffolk,124797,Thomas Gainsborough School,Foundation School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Warwickshire,125734,Kineton High School,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,7,3,1,3
Warwickshire,125738,Southam College,Community School,OCR National Certificate at Level 3,Computer Appreciation / Introduction,7,3,3,1
Islington,130409,City and Islington College,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Birmingham,130466,Birmingham Metropolitan College,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Dudley,130475,Dudley College of Technology,General Further Education College,OCR National Diploma at Level 3,Business Studies,1,Supp,Supp,Supp
Dudley,130475,Dudley College of Technology,General Further Education College,OCR National Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Solihull,130481,Solihull College,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Solihull,130481,Solihull College,General Further Education College,OCR National Diploma at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Walsall,130483,Walsall College,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,7,1,2,4
Knowsley,130486,Knowsley Community College,Tertiary College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,OCR National Diploma at Level 3,Business Studies,1,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,OCR National Diploma at Level 3,Sports Studies,1,Supp,Supp,Supp
Liverpool,130487,The City of Liverpool College,General Further Education College,OCR National Certificate at Level 3,Tourism,1,Supp,Supp,Supp
Wirral,130493,Wirral Metropolitan College,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Oldham,130506,Oldham Sixth Form College,Sixth Form Centre / Consortia,OCR National Certificate at Level 3,Sports Studies,37,26,10,1
Oldham,130506,Oldham Sixth Form College,Sixth Form Centre / Consortia,OCR National Diploma at Level 3,Sports Studies,37,25,12,0
Oldham,130506,Oldham Sixth Form College,Sixth Form Centre / Consortia,OCR National Extended Diploma at Level 3,Sports Studies,7,7,0,0
Stockport,130512,Stockport College,General Further Education College,OCR National Extended Diploma at Level 3,Learning theory,1,Supp,Supp,Supp
Stockport,130512,Stockport College,General Further Education College,OCR National Diploma at Level 3,Sports Studies,1,Supp,Supp,Supp
Stockport,130515,Cheadle and Marple Sixth Form College,Sixth Form Centre / Consortia,OCR National Certificate at Level 3,Learning theory,1,Supp,Supp,Supp
Stockport,130515,Cheadle and Marple Sixth Form College,Sixth Form Centre / Consortia,OCR National Diploma at Level 3,Learning theory,1,Supp,Supp,Supp
Doncaster,130526,Doncaster College,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Rotherham,130527,Rotherham College of Arts and Technology,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Rotherham,130530,Thomas Rotherham College,Further Education Sector Institution,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Bradford,130532,Bradford College,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,4,Supp,Supp,Supp
Bradford,130532,Bradford College,General Further Education College,OCR National Certificate at Level 3,Learning theory,2,Supp,Supp,Supp
Kirklees,130537,Kirklees College,General Further Education College,OCR National Certificate at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp
Leeds,130548,Notre Dame Catholic Sixth Form College,Further Education Sector Institution,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Gateshead,130551,Gateshead College,Tertiary College,OCR National Certificate at Level 3,Sports Studies,1,Supp,Supp,Supp
Newcastle upon Tyne,130552,NCG,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Redcar and Cleveland,130575,Prior Pursglove College,Further Education Sector Institution,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Redcar and Cleveland,130575,Prior Pursglove College,Further Education Sector Institution,OCR National Diploma at Level 3,Film / Video / Television Production,10,7,3,0
"Kingston upon Hull, City of",130579,Hull College,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
York,130594,York College,General Further Education College,OCR National Diploma at Level 3,Art & Design,1,Supp,Supp,Supp
York,130595,Askham Bryan College,Agriculture and Horticulture College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Peterborough,130613,Peterborough Regional College,General Further Education College,OCR National Certificate at Level 3,Learning theory,1,Supp,Supp,Supp
Cambridgeshire,130616,Long Road Sixth Form College,Sixth Form Centre / Consortia,OCR National Diploma at Level 3,Business Studies,23,13,7,3
Cambridgeshire,130616,Long Road Sixth Form College,Sixth Form Centre / Consortia,OCR National Certificate at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp
Cambridgeshire,130616,Long Road Sixth Form College,Sixth Form Centre / Consortia,OCR National Diploma at Level 3,Film / Video / Television Production,30,20,5,5
Cambridgeshire,130616,Long Road Sixth Form College,Sixth Form Centre / Consortia,OCR National Diploma at Level 3,Learning theory,45,16,16,13
Cambridgeshire,130616,Long Road Sixth Form College,Sixth Form Centre / Consortia,OCR National Diploma at Level 3,Sports Studies,31,13,15,3
Cambridgeshire,130616,Long Road Sixth Form College,Sixth Form Centre / Consortia,OCR National Extended Diploma at Level 3,Sports Studies,20,9,6,5
Cumbria,130632,Lakes College - West Cumbria,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Plymouth,130649,City College Plymouth,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Devon,130651,Bicton College,Agriculture and Horticulture College,OCR National Certificate at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp
County Durham,130657,Bishop Auckland College,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Brighton and Hove,130663,City College Brighton and Hove,General Further Education College,OCR National Diploma at Level 3,Business Studies,2,Supp,Supp,Supp
Brighton and Hove,130663,City College Brighton and Hove,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Hampshire,130688,Basingstoke College of Technology,General Further Education College,OCR National Diploma at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp
Hampshire,130701,Barton Peveril Sixth Form College,Sixth Form Centre / Consortia,OCR National Certificate at Level 3,Business Studies,12,4,4,4
Hampshire,130701,Barton Peveril Sixth Form College,Sixth Form Centre / Consortia,OCR National Diploma at Level 3,Business Studies,12,4,5,3
"Herefordshire, County of",130710,Herefordshire & Ludlow College,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp
Worcestershire,130713,Heart of Worcestershire College,General Further Education College,OCR National Diploma at Level 3,Tourism,1,Supp,Supp,Supp
Hertfordshire,130723,Oaklands College,General Further Education College,OCR National Certificate at Level 3,Film / Video / Television Production,1,Supp,Supp,Supp
Kent,130725,North West Kent College of Technology,General Further Education College,OCR National Certificate at Level 3,Computer Appreciation / Introduction,2,Supp,Supp,Supp
Kent,130725,North West Kent College of Technology,General Further Education College,OCR National Certificate at Level 3,Learning theory,1,Supp,Supp,Supp
Kent,130725,North West Kent College of Technology,General Further Education College,OCR National Diploma at Level 3,Learning theory,1,Supp,Supp,Supp
