"Number of students entered for applied A level double awards by institution, subject and grade achieved",,,,,,,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade A*A*,Grade A*A,Grade AA,Grade AB,Grade BB,Grade BC,Grade CC,Grade CD,Grade DD,Grade DE,Grade EE,No results
Sefton,104964,Christ The King Catholic High School and Sixth Form Centre,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Manchester,105556,Parrs Wood High School,Community School,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Oldham,105737,North Chadderton School,Foundation School,Applied GCE Double Award,Applied Business,10,0,1,0,1,2,4,2,0,0,0,0,0
Rotherham,106955,Wickersley School and Sports College,Community School,Applied GCE Double Award,Health & Social Care,7,0,0,0,0,3,1,2,1,0,0,0,0
Sheffield,107139,High Storrs School,Community School,Applied GCE Double Award,Health & Social Care,12,0,0,0,1,2,1,4,3,0,1,0,0
Sheffield,107140,King Edward VII School,Community School,Applied GCE Double Award,Health & Social Care,13,1,0,1,1,4,2,1,1,2,0,0,0
Bradford,107366,Tong High School,Foundation School,Applied GCE Double Award,Applied ICT,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Bradford,107441,Oakbank School,Foundation School,Applied GCE Double Award,Health & Social Care,7,0,0,0,0,0,0,1,2,2,1,1,0
Kirklees,107783,St John Fisher Catholic High School,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,6,0,0,0,1,1,1,1,0,1,1,0,0
Leeds,108076,Roundhay School,Community School,Applied GCE Double Award,Applied ICT,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,108076,Roundhay School,Community School,Applied GCE Double Award,Applied Science,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,108076,Roundhay School,Community School,Applied GCE Double Award,Health & Social Care,6,0,0,0,1,0,2,2,1,0,0,0,0
Leeds,108079,Pudsey Grangefield School,Foundation School,Applied GCE Double Award,Applied Art & Design,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,108079,Pudsey Grangefield School,Foundation School,Applied GCE Double Award,Health & Social Care,6,0,1,1,0,0,0,0,0,4,0,0,0
Leeds,108083,Benton Park School,Community School,Applied GCE Double Award,Health & Social Care,9,0,0,0,0,0,3,3,0,1,1,1,0
Leeds,108086,Bruntcliffe School,Foundation School,Applied GCE Double Award,Applied Art & Design,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Leeds,108087,Priesthorpe School,Foundation School,Applied GCE Double Award,Health & Social Care,8,0,0,0,0,0,0,2,2,2,1,1,0
Newcastle upon Tyne,108531,Heaton Manor School,Foundation School,Applied GCE Double Award,Applied ICT,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Newcastle upon Tyne,108531,Heaton Manor School,Foundation School,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
North Tyneside,108639,George Stephenson High School,Foundation School,Applied GCE Double Award,Health & Social Care,6,0,0,0,0,0,1,0,3,1,1,0,0
North Tyneside,108647,"Seaton Burn College, A Specialist Business and Enterprise School",Foundation School,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Sunderland,108870,St Robert of Newminster Roman Catholic School,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,9,0,0,2,1,1,3,1,1,0,0,0,0
South Gloucestershire,109319,Brimsham Green School,Community School,Applied GCE Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,109324,Chipping Sodbury School,Foundation School,Applied GCE Double Award,Health & Social Care,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
South Gloucestershire,109325,Marlwood School,Voluntary Controlled School,Applied GCE Double Award,Health & Social Care,7,0,0,0,0,0,0,1,2,1,1,1,1
Luton,109699,Cardinal Newman Catholic School A Specialist Science College,Voluntary Aided School,Applied GCE Double Award,Applied Business,8,0,0,0,0,0,2,1,3,2,0,0,0
Luton,109699,Cardinal Newman Catholic School A Specialist Science College,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Central Bedfordshire,109705,Manshead School,Voluntary Aided School,Applied GCE Double Award,Applied Art & Design,11,1,1,0,1,5,0,0,1,1,1,0,0
West Berkshire,110063,Little Heath School,Voluntary Aided School,Applied GCE Double Award,Applied Business,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
West Berkshire,110063,Little Heath School,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,15,0,0,0,0,6,3,2,2,1,1,0,0
Buckinghamshire,110488,The Grange School,Foundation School,Applied GCE Double Award,Applied Business,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Buckinghamshire,110488,The Grange School,Foundation School,Applied GCE Double Award,Health & Social Care,6,0,0,0,1,2,0,1,0,1,1,0,0
Milton Keynes,110517,St Paul's Catholic School,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Milton Keynes,110526,Stantonbury Campus,Foundation School,Applied GCE Double Award,Applied Business,7,0,1,0,0,1,1,0,2,1,1,0,0
Milton Keynes,110526,Stantonbury Campus,Foundation School,Applied GCE Double Award,Health & Social Care,6,0,0,0,0,1,0,1,0,3,0,1,0
Peterborough,110899,Jack Hunt School,Foundation School,Applied GCE Double Award,Applied Business,12,0,0,0,0,2,0,1,0,2,3,3,1
Cheshire East,111402,Tytherington High School,Foundation School,Applied GCE Double Award,Applied Business,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire East,111402,Tytherington High School,Foundation School,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cheshire West and Chester,111424,Bishop Heber High School,Foundation School,Applied GCE Double Award,Applied Business,8,0,1,0,1,2,1,1,1,1,0,0,0
Cheshire West and Chester,111440,Helsby High School,Community School,Applied GCE Double Award,Health & Social Care,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Hartlepool,111756,The English Martyrs School and Sixth Form College,Voluntary Aided School,Applied GCE Double Award,Health & Social Care,14,0,0,0,0,3,2,5,2,1,1,0,0
Cumbria,112394,Southfield Technology College,Community School,Applied GCE Double Award,Health & Social Care,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112395,Stainburn School and Science College,Community School,Applied GCE Double Award,Health & Social Care,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Cumbria,112396,Whitehaven School,Community School,Applied GCE Double Award,Applied Science,8,0,0,0,0,0,2,0,1,0,1,1,3
