"Number of students entered for an International Baccalaureate diploma programme core by institution, subject and grade achieved",,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Grade A,Grade B,Grade C,Grade D,Grade E,No results
Oxfordshire,130789,The Henley College,Sixth Form Centre / Consortia,IBO Diploma Programme Core,Study Skills,23,1,6,11,5,0,0
Somerset,130803,Bridgwater College,Tertiary College,IBO Diploma Programme Core,Study Skills,16,3,8,4,1,0,0
Liverpool,131065,North Liverpool Academy,Sponsored Academy,IBO Diploma Programme Core,Study Skills,2,Supp,Supp,Supp,Supp,Supp,Supp
Westminster,131262,Westminster Academy,Sponsored Academy,IBO Diploma Programme Core,Study Skills,4,Supp,Supp,Supp,Supp,Supp,Supp
Kent,131411,CATS Canterbury,Independent School,IBO Diploma Programme Core,Study Skills,21,0,2,10,9,0,0
Leeds,131898,David Young Community Academy,Sponsored Academy,IBO Diploma Programme Core,Study Skills,17,0,3,5,6,0,3
Oxfordshire,133430,"St Clare's, Oxford",Independent School,IBO Diploma Programme Core,Study Skills,116,24,27,54,11,0,0
Islington,134314,St Mary Magdalene Academy,Sponsored Academy,IBO Diploma Programme Core,Study Skills,31,5,10,11,5,0,0
Wandsworth,135316,Ashcroft Technology Academy,Sponsored Academy,IBO Diploma Programme Core,Study Skills,7,4,2,0,1,0,0
Oxfordshire,135365,North Oxfordshire Academy,Sponsored Academy,IBO Diploma Programme Core,Study Skills,3,Supp,Supp,Supp,Supp,Supp,Supp
Sandwell,135599,RSA Academy,Sponsored Academy,IBO Diploma Programme Core,Study Skills,18,3,10,1,3,0,1
Solihull,135684,CTC Kingshurst Academy,Sponsored Academy,IBO Diploma Programme Core,Study Skills,38,1,5,19,11,0,2
South Gloucestershire,135944,The Ridings Federation Winterbourne International Academy,Sponsored Academy,IBO Diploma Programme Core,Study Skills,16,1,7,8,0,0,0
Medway,136313,The Rochester Grammar School,Converter Academy,IBO Diploma Programme Core,Study Skills,20,10,5,5,0,0,0
Torbay,136321,Torquay Boys' Grammar School,Converter Academy,IBO Diploma Programme Core,Study Skills,27,3,12,7,5,0,0
Kent,136359,Dartford Grammar School,Converter Academy,IBO Diploma Programme Core,Study Skills,260,49,108,82,18,3,0
Bexley,136369,Bexley Grammar School,Converter Academy,IBO Diploma Programme Core,Study Skills,45,11,13,14,7,0,0
Essex,136412,Chelmsford County High School for Girls,Converter Academy,IBO Diploma Programme Core,Study Skills,12,2,5,5,0,0,0
Kent,136417,Tonbridge Grammar School,Converter Academy,IBO Diploma Programme Core,Study Skills,104,28,27,38,11,0,0
Hertfordshire,136482,Hockerill Anglo-European College,Converter Academy,IBO Diploma Programme Core,Study Skills,102,17,23,51,11,0,0
Bromley,136551,Newstead Wood School,Converter Academy,IBO Diploma Programme Core,Study Skills,10,2,3,4,1,0,0
Kent,136585,Dane Court Grammar School,Converter Academy,IBO Diploma Programme Core,Study Skills,87,14,23,37,11,1,1
Cambridgeshire,136636,Parkside Community College,Converter Academy,IBO Diploma Programme Core,Study Skills,49,3,16,20,7,0,3
Torbay,136738,EF Academy Torbay,Independent School,IBO Diploma Programme Core,Study Skills,10,0,2,6,2,0,0
Milton Keynes,136844,The Hazeley Academy,Converter Academy,IBO Diploma Programme Core,Study Skills,24,3,4,9,8,0,0
Buckinghamshire,136845,Sir Henry Floyd Grammar School,Converter Academy,IBO Diploma Programme Core,Study Skills,17,2,9,5,1,0,0
Coventry,136963,Finham Park School,Converter Academy,IBO Diploma Programme Core,Study Skills,1,Supp,Supp,Supp,Supp,Supp,Supp
Essex,137013,Notley High School and Braintree Sixth Form,Converter Academy,IBO Diploma Programme Core,Study Skills,15,0,3,11,1,0,0
Birmingham,137046,King Edward VI Five Ways School,Converter Academy,IBO Diploma Programme Core,Study Skills,7,1,5,0,1,0,0
Dorset,137163,The Thomas Hardye School,Converter Academy,IBO Diploma Programme Core,Study Skills,14,4,4,3,3,0,0
Cumbria,137205,Dallam School,Converter Academy,IBO Diploma Programme Core,Study Skills,23,4,5,8,5,0,1
Kent,137474,Barton Court Grammar School,Converter Academy,IBO Diploma Programme Core,Study Skills,29,5,10,11,3,0,0
Essex,137727,Anglo European School,Converter Academy,IBO Diploma Programme Core,Study Skills,26,7,3,14,1,1,0
Cambridgeshire,137826,Impington Village College,Converter Academy,IBO Diploma Programme Core,Study Skills,56,4,6,23,17,0,6
Kent,138019,The Norton Knatchbull School,Converter Academy,IBO Diploma Programme Core,Study Skills,22,6,5,7,4,0,0
Wiltshire,138623,St John's Marlborough,Converter Academy,IBO Diploma Programme Core,Study Skills,23,2,8,10,3,0,0
