Number of students passing a BTEC certificate by institution subject and grade achieved,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,
Croydon,101821,Thomas More Catholic School,Voluntary Aided School,BTEC Certificate Level 3,Applied Sciences,25,3,8,14,0,,
Croydon,101821,Thomas More Catholic School,Voluntary Aided School,BTEC Certificate Level 3,Business Studies,11,10,0,0,1,,
Croydon,101821,Thomas More Catholic School,Voluntary Aided School,BTEC Certificate Level 3,Sports Studies,2,Supp,Supp,Supp,Supp,,
Croydon,101837,Whitgift School,Independent School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Croydon,101849,BRIT School for Performing Arts and Technology,City Technology College,BTEC Certificate Level 3,Fashion / Textiles Design,8,3,1,0,4,,
Croydon,101849,BRIT School for Performing Arts and Technology,City Technology College,BTEC Certificate Level 3,Multimedia,1,Supp,Supp,Supp,Supp,,
Croydon,101849,BRIT School for Performing Arts and Technology,City Technology College,BTEC Certificate Level 3,Photography,17,6,5,3,3,,
Croydon,101849,BRIT School for Performing Arts and Technology,City Technology College,BTEC Certificate Level 3,Sports Studies,4,Supp,Supp,Supp,Supp,,
Croydon,101849,BRIT School for Performing Arts and Technology,City Technology College,BTEC Certificate Level 3,Theatrical Makeup,28,11,8,6,3,,
Ealing,101932,Acton High School,Community School,BTEC Certificate Level 3,Multimedia,1,Supp,Supp,Supp,Supp,,
Enfield,102043,Edmonton County School,Community School,BTEC Certificate Level 3,Applied Sciences,3,Supp,Supp,Supp,Supp,,
Enfield,102043,Edmonton County School,Community School,BTEC Certificate Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,,
Enfield,102045,Winchmore School,Community School,BTEC Certificate Level 3,Sports / Movement Science,2,Supp,Supp,Supp,Supp,,
Enfield,102052,Bishop Stopford's School,Voluntary Aided School,BTEC Certificate Level 3,Applied Sciences,1,Supp,Supp,Supp,Supp,,
Enfield,102052,Bishop Stopford's School,Voluntary Aided School,BTEC Certificate Level 3,Music Studies (General),1,Supp,Supp,Supp,Supp,,
Enfield,102052,Bishop Stopford's School,Voluntary Aided School,BTEC Certificate Level 3,Speech & Drama,1,Supp,Supp,Supp,Supp,,
Enfield,102056,Broomfield School,Foundation School,BTEC Certificate Level 3,Health Studies,8,1,0,2,5,,
Enfield,102056,Broomfield School,Foundation School,BTEC Certificate Level 3,Sports Studies,2,Supp,Supp,Supp,Supp,,
Enfield,102058,St Ignatius College,Voluntary Aided School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Harrow,102245,Harrow School,Independent School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Hounslow,102545,Gunnersbury Catholic School,Voluntary Aided School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Kingston upon Thames,102599,Chessington Community College,Community School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Kingston upon Thames,102619,Kingston Grammar School,Independent School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Merton,102673,Ricards Lodge High School,Community School,BTEC Certificate Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,,
Merton,102673,Ricards Lodge High School,Community School,BTEC Certificate Level 3,Health Studies,1,Supp,Supp,Supp,Supp,,
Merton,102673,Ricards Lodge High School,Community School,BTEC Certificate Level 3,Stage Management,2,Supp,Supp,Supp,Supp,,
Merton,102674,Raynes Park High School,Community School,BTEC Certificate Level 3,Computer Appreciation / Introduction,11,2,1,5,3,,
Merton,102674,Raynes Park High School,Community School,BTEC Certificate Level 3,Speech & Drama,5,Supp,Supp,Supp,Supp,,
Merton,102674,Raynes Park High School,Community School,BTEC Certificate Level 3,Sports Studies,7,2,1,3,1,,
Merton,102679,Rutlish School,Voluntary Controlled School,BTEC Certificate Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,,
Merton,102679,Rutlish School,Voluntary Controlled School,BTEC Certificate Level 3,Stage Management,1,Supp,Supp,Supp,Supp,,
Merton,102681,Wimbledon College,Voluntary Aided School,BTEC Certificate Level 3,Applied Sciences,1,Supp,Supp,Supp,Supp,,
Newham,102787,St Bonaventure's RC School,Voluntary Aided School,BTEC Certificate Level 3,Music Technology (Electronic),1,Supp,Supp,Supp,Supp,,
Redbridge,102853,Loxford School of Science and Technology,Community School,BTEC Certificate Level 3,Finance / Accounting (General),2,Supp,Supp,Supp,Supp,,
Redbridge,102855,Beal High School,Community School,BTEC Certificate Level 3,Art & Design,1,Supp,Supp,Supp,Supp,,
Redbridge,102855,Beal High School,Community School,BTEC Certificate Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,,
Redbridge,102861,King Solomon High School,Voluntary Aided School,BTEC Certificate Level 3,Multimedia,2,Supp,Supp,Supp,Supp,,
Richmond upon Thames,102932,The Lady Eleanor Holles School,Independent School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Sutton,103003,Stanley Park High School,Community School,BTEC Certificate Level 3,Computer Appreciation / Introduction,20,8,3,6,3,,
Sutton,103003,Stanley Park High School,Community School,BTEC Certificate Level 3,Hospitality / Catering Studies,1,Supp,Supp,Supp,Supp,,
Sutton,103003,Stanley Park High School,Community School,BTEC Certificate Level 3,Multimedia,11,1,0,8,2,,
Sutton,103003,Stanley Park High School,Community School,BTEC Certificate Level 3,Photography,5,Supp,Supp,Supp,Supp,,
Sutton,103003,Stanley Park High School,Community School,BTEC Certificate Level 3,Public Services,3,Supp,Supp,Supp,Supp,,
Sutton,103003,Stanley Park High School,Community School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Birmingham,103494,Dame Elizabeth Cadbury Technology College,Foundation School,BTEC Certificate Level 3,Business Studies,9,5,2,2,0,,
Birmingham,103494,Dame Elizabeth Cadbury Technology College,Foundation School,BTEC Certificate Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,,
Birmingham,103494,Dame Elizabeth Cadbury Technology College,Foundation School,BTEC Certificate Level 3,Multimedia,1,Supp,Supp,Supp,Supp,,
Birmingham,103494,Dame Elizabeth Cadbury Technology College,Foundation School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Birmingham,103509,Holte School,Community School,BTEC Certificate Level 3,Computer Appreciation / Introduction,6,2,0,2,2,,
Birmingham,103513,Cockshut Hill Technology College,Community School,BTEC Certificate Level 3,Business Studies,1,Supp,Supp,Supp,Supp,,
Birmingham,103514,Swanshurst School,Community School,BTEC Certificate Level 3,Applied Sciences,16,0,3,1,12,,
Birmingham,103514,Swanshurst School,Community School,BTEC Certificate Level 3,Business Studies,10,1,2,7,0,,
Birmingham,103514,Swanshurst School,Community School,BTEC Certificate Level 3,Computer Appreciation / Introduction,8,2,0,4,2,,
Birmingham,103514,Swanshurst School,Community School,BTEC Certificate Level 3,Health Studies,7,1,2,3,1,,
Birmingham,103514,Swanshurst School,Community School,BTEC Certificate Level 3,Tourism,6,0,0,4,2,,
Birmingham,103515,Bournville School and Sixth Form Centre,Foundation School,BTEC Certificate Level 3,Applied Sciences,1,Supp,Supp,Supp,Supp,,
Birmingham,103522,John Willmott School,Community School,BTEC Certificate Level 3,Applied Sciences,1,Supp,Supp,Supp,Supp,,
Birmingham,103522,John Willmott School,Community School,BTEC Certificate Level 3,Health Studies,3,Supp,Supp,Supp,Supp,,
Birmingham,103522,John Willmott School,Community School,BTEC Certificate Level 3,Speech & Drama,1,Supp,Supp,Supp,Supp,,
Birmingham,103533,St Thomas Aquinas Catholic School,Voluntary Aided School,BTEC Certificate Level 3,Tourism,2,Supp,Supp,Supp,Supp,,
Birmingham,103537,St Edmund Campion Catholic School & Sixth Form Centre,Voluntary Aided School,BTEC Certificate Level 3,Applied Sciences,1,Supp,Supp,Supp,Supp,,
Birmingham,103537,St Edmund Campion Catholic School & Sixth Form Centre,Voluntary Aided School,BTEC Certificate Level 3,Business Studies,5,Supp,Supp,Supp,Supp,,
Birmingham,103537,St Edmund Campion Catholic School & Sixth Form Centre,Voluntary Aided School,BTEC Certificate Level 3,Computer Appreciation / Introduction,23,19,1,1,2,,
Birmingham,103537,St Edmund Campion Catholic School & Sixth Form Centre,Voluntary Aided School,BTEC Certificate Level 3,Sports Studies,15,7,2,4,2,,
Birmingham,103550,Great Barr School,Foundation School,BTEC Certificate Level 3,Dance: General,7,3,2,2,0,,
Birmingham,103550,Great Barr School,Foundation School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Birmingham,103560,Bishop Challoner Catholic College,Voluntary Aided School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Birmingham,103562,King's Norton Boys' School,Foundation School,BTEC Certificate Level 3,Sports Studies,2,Supp,Supp,Supp,Supp,,
Birmingham,103562,King's Norton Boys' School,Foundation School,BTEC Certificate Level 3,Tourism,1,Supp,Supp,Supp,Supp,,
Coventry,103727,Barr's Hill School and Community College,Foundation School,BTEC Certificate Level 3,Acting Skills,2,Supp,Supp,Supp,Supp,,
Coventry,103727,Barr's Hill School and Community College,Foundation School,BTEC Certificate Level 3,Applied Sciences,24,2,2,3,17,,
Coventry,103727,Barr's Hill School and Community College,Foundation School,BTEC Certificate Level 3,Business Studies,12,3,1,6,2,,
Coventry,103727,Barr's Hill School and Community College,Foundation School,BTEC Certificate Level 3,Engineering Studies,1,Supp,Supp,Supp,Supp,,
Coventry,103727,Barr's Hill School and Community College,Foundation School,BTEC Certificate Level 3,Health Studies,1,Supp,Supp,Supp,Supp,,
Coventry,103727,Barr's Hill School and Community College,Foundation School,BTEC Certificate Level 3,Multimedia,11,4,2,3,2,,
Coventry,103727,Barr's Hill School and Community College,Foundation School,BTEC Certificate Level 3,Sports Studies,12,4,1,2,5,,
Coventry,103728,Stoke Park School and Community Technology College,Foundation School,BTEC Certificate Level 3,Applied Sciences,7,5,2,0,0,,
Coventry,103732,Foxford School and Community Arts College,Foundation School,BTEC Certificate Level 3,Health Studies,2,Supp,Supp,Supp,Supp,,
Coventry,103733,Lyng Hall School,Foundation School,BTEC Certificate Level 3,Business Studies,5,Supp,Supp,Supp,Supp,,
Coventry,103733,Lyng Hall School,Foundation School,BTEC Certificate Level 3,Multimedia,4,Supp,Supp,Supp,Supp,,
Coventry,103733,Lyng Hall School,Foundation School,BTEC Certificate Level 3,Sports Studies,5,Supp,Supp,Supp,Supp,,
Coventry,103743,Cardinal Newman Catholic School A Specialist Arts and Community College,Voluntary Aided School,BTEC Certificate Level 3,Sports Studies,1,Supp,Supp,Supp,Supp,,
Coventry,103743,Cardinal Newman Catholic School A Specialist Arts and Community College,Voluntary Aided School,BTEC Certificate Level 3,Tourism,4,Supp,Supp,Supp,Supp,,
Coventry,103744,Cardinal Wiseman Catholic School and Language College,Voluntary Aided School,BTEC Certificate Level 3,Animal Husbandry: Specific Animals,4,Supp,Supp,Supp,Supp,,
Coventry,103744,Cardinal Wiseman Catholic School and Language College,Voluntary Aided School,BTEC Certificate Level 3,Applied Sciences,13,3,0,1,9,,
Coventry,103744,Cardinal Wiseman Catholic School and Language College,Voluntary Aided School,BTEC Certificate Level 3,Business Studies,12,6,1,5,0,,
Coventry,103744,Cardinal Wiseman Catholic School and Language College,Voluntary Aided School,BTEC Certificate Level 3,Computer Appreciation / Introduction,17,14,0,2,1,,
Coventry,103744,Cardinal Wiseman Catholic School and Language College,Voluntary Aided School,BTEC Certificate Level 3,Fashion / Textiles Design,6,1,0,1,4,,
Coventry,103744,Cardinal Wiseman Catholic School and Language College,Voluntary Aided School,BTEC Certificate Level 3,Health Studies,8,3,0,2,3,,
Coventry,103744,Cardinal Wiseman Catholic School and Language College,Voluntary Aided School,BTEC Certificate Level 3,Music Studies (General),3,Supp,Supp,Supp,Supp,,
Coventry,103744,Cardinal Wiseman Catholic School and Language College,Voluntary Aided School,BTEC Certificate Level 3,Speech & Drama,10,6,2,2,0,,
Coventry,103744,Cardinal Wiseman Catholic School and Language College,Voluntary Aided School,BTEC Certificate Level 3,Sports Studies,8,1,2,1,4,,
Coventry,103744,Cardinal Wiseman Catholic School and Language College,Voluntary Aided School,BTEC Certificate Level 3,Tourism,11,2,1,4,4,,
Dudley,103871,Ellowes Hall Sports College,Foundation School,BTEC Certificate Level 3,Health Studies,5,Supp,Supp,Supp,Supp,,
Dudley,103871,Ellowes Hall Sports College,Foundation School,BTEC Certificate Level 3,Tourism,3,Supp,Supp,Supp,Supp,,
Sandwell,104018,Holly Lodge Foundation High School College of Science,Foundation School,BTEC Certificate Level 3,Computer Appreciation / Introduction,17,10,1,3,3,,
Sandwell,104018,Holly Lodge Foundation High School College of Science,Foundation School,BTEC Certificate Level 3,Health Studies,15,5,0,3,7,,
Sandwell,104018,Holly Lodge Foundation High School College of Science,Foundation School,BTEC Certificate Level 3,Public Services,3,Supp,Supp,Supp,Supp,,
Sandwell,104018,Holly Lodge Foundation High School College of Science,Foundation School,BTEC Certificate Level 3,Sports Studies,3,Supp,Supp,Supp,Supp,,
Sandwell,104018,Holly Lodge Foundation High School College of Science,Foundation School,BTEC Certificate Level 3,Tourism,15,0,0,3,12,,
Sandwell,104020,Stuart Bathurst Catholic High School College of Performing Arts,Voluntary Aided School,BTEC Certificate Level 3,Art & Design,1,Supp,Supp,Supp,Supp,,
Sandwell,104020,Stuart Bathurst Catholic High School College of Performing Arts,Voluntary Aided School,BTEC Certificate Level 3,Music Studies (General),3,Supp,Supp,Supp,Supp,,
Sandwell,104020,Stuart Bathurst Catholic High School College of Performing Arts,Voluntary Aided School,BTEC Certificate Level 3,Music Technology (Electronic),3,Supp,Supp,Supp,Supp,,
Sandwell,104020,Stuart Bathurst Catholic High School College of Performing Arts,Voluntary Aided School,BTEC Certificate Level 3,Public Services,1,Supp,Supp,Supp,Supp,,
Solihull,104118,Smith's Wood Sports College,Community School,BTEC Certificate Level 3,Business Studies,2,Supp,Supp,Supp,Supp,,
Solihull,104118,Smith's Wood Sports College,Community School,BTEC Certificate Level 3,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,,
Solihull,104118,Smith's Wood Sports College,Community School,BTEC Certificate Level 3,Sports Studies,2,Supp,Supp,Supp,Supp,,
