"Number of students passing a BTEC diploma by institution, subject and grade achieved",,,,,,,,,,,,,
,,,,,,,Grade achieved,,,,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Double Distinction Star,Distinction star Distinction,Double Distinction,Distinction Merit,Double Merit,Merit Pass,Double pass
Tower Hamlets,100978,Bishop Challoner Catholic Collegiate Girls School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Business Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100978,Bishop Challoner Catholic Collegiate Girls School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100978,Bishop Challoner Catholic Collegiate Girls School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Health Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Tower Hamlets,100979,Raine's Foundation School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Sports Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wandsworth,101053,Ernest Bevin College,Community School,Pearson BTEC Level 3 Diploma,Applied Sciences,9,4,0,2,0,1,2,0
Wandsworth,101053,Ernest Bevin College,Community School,Pearson BTEC Level 3 Diploma,Business Studies,16,7,3,2,2,1,1,0
Wandsworth,101053,Ernest Bevin College,Community School,Pearson BTEC Level 3 Diploma,Computer Appreciation / Introduction,10,5,2,1,0,1,1,0
Wandsworth,101053,Ernest Bevin College,Community School,Pearson BTEC Level 3 Diploma,Engineering Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wandsworth,101053,Ernest Bevin College,Community School,Pearson BTEC Level 3 Diploma,Sports Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wandsworth,101053,Ernest Bevin College,Community School,Pearson BTEC Level 3 Diploma,Tourism,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wandsworth,101055,Battersea Park School,Foundation School,Pearson BTEC Level 3 Diploma,Business Studies,10,4,1,3,2,0,0,0
Wandsworth,101055,Battersea Park School,Foundation School,Pearson BTEC Level 3 Diploma,Computer Appreciation / Introduction,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Wandsworth,101055,Battersea Park School,Foundation School,Pearson BTEC Level 3 Diploma,Sports Studies,5,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101240,The Warren Comprehensive School,Community School,Pearson BTEC Level 3 Diploma,Business Studies,12,1,2,0,2,5,0,2
Barking and Dagenham,101240,The Warren Comprehensive School,Community School,Pearson BTEC Level 3 Diploma,Sports / Movement Science,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,Pearson BTEC Level 3 Diploma,Applied Sciences,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,Pearson BTEC Level 3 Diploma,Business Studies,6,1,0,1,3,1,0,0
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,Pearson BTEC Level 3 Diploma,Dance: General,7,2,0,0,5,0,0,0
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,Pearson BTEC Level 3 Diploma,Sports / Movement Science,9,3,3,1,0,2,0,0
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,Pearson BTEC Level 3 Diploma,Computer Appreciation / Introduction,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,Pearson BTEC Level 3 Diploma,Engineering Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 Diploma,Applied Sciences,11,0,1,0,4,4,2,0
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 Diploma,Art & Design,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 Diploma,Health Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101245,Robert Clack School,Community School,Pearson BTEC Level 3 Diploma,Hospitality / Catering Studies,3,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101247,All Saints Catholic School and Technology College,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Applied Sciences,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101247,All Saints Catholic School and Technology College,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Health Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barking and Dagenham,101247,All Saints Catholic School and Technology College,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Hospitality / Catering Studies,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Barnet,101364,St James' Catholic High School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Applied Sciences,2,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Brent,101558,Copland Community School,Foundation School,Pearson BTEC Level 3 Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Brent,101563,St Gregory RC High School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Business Studies,6,1,0,3,2,0,0,0
Brent,101563,St Gregory RC High School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Speech & Drama,7,3,0,2,1,1,0,0
Croydon,101819,Edenham High School,Foundation School,Pearson BTEC Level 3 Diploma,Sports Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Croydon,101849,BRIT School for Performing Arts and Technology,City Technology College,Pearson BTEC Level 3 Diploma,Acting Skills,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101928,Villiers High School,Foundation School,Pearson BTEC Level 3 Diploma,Business Studies,4,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101932,Acton High School,Community School,Pearson BTEC Level 3 Diploma,Business Studies,1,Supp,Supp,Supp,Supp,Supp,Supp,Supp
Ealing,101934,The Cardinal Wiseman Catholic School,Voluntary Aided School,Pearson BTEC Level 3 Diploma,Business Studies,8,0,0,2,3,3,0,0
Ealing,101939,Brentside High School,Foundation School,Pearson BTEC Level 3 Diploma,Art & Design,6,0,1,0,2,3,0,0
Ealing,101940,Greenford High School,Foundation School,Pearson BTEC Level 3 Diploma,Business Studies,16,5,7,1,1,2,0,0
Ealing,101940,Greenford High School,Foundation School,Pearson BTEC Level 3 Diploma,Health Studies,9,0,3,2,0,2,1,1
Enfield,102043,Edmonton County School,Community School,Pearson BTEC Level 3 Diploma,Applied Sciences,7,1,0,4,0,1,0,1
Enfield,102045,Winchmore School,Community School,Pearson BTEC Level 3 Diploma,Art & Design,8,1,2,3,2,0,0,0
Enfield,102045,Winchmore School,Community School,Pearson BTEC Level 3 Diploma,Business Studies,13,3,0,3,1,1,4,1
Enfield,102045,Winchmore School,Community School,Pearson BTEC Level 3 Diploma,Health Studies,6,2,1,0,0,2,1,0
