Information on the schools and colleges which are eligible to be included in the 2014 performance tables underlying data,,,,,,,,
,,,,,,,,
NA: not applicable,,,,,,,,
Local Authority number,Local Authority name,LAESTAB: local authority establishment number,URN: Unique Reference Number,School or college name,Institution Type,Admissions policy (state-funded institutions only),Gender of Sixth Form,Number of students at the end of KS5
205,Hammersmith and Fulham,2056906,136172,Hammersmith Academy,Academy sponsor led,COMP,MIXED,61
205,Hammersmith and Fulham,2055400,137157,The London Oratory School,Academy - converter mainstream,COMP,MIXED,163
205,Hammersmith and Fulham,2054632,138607,Lady Margaret School,Academy - converter mainstream,COMP,GIRLS,101
205,Hammersmith and Fulham,2054106,139364,Fulham College Boys' School,Academy - converter mainstream,COMP,MIXED,6
206,Islington,2064108,100452,Highbury Grove School,Community school,COMP,MIXED,60
206,Islington,2064307,100455,Highbury Fields School,Community school,COMP,GIRLS,22
206,Islington,2064614,100458,Central Foundation Boys' School,Voluntary aided school,COMP,MIXED,65
206,Islington,2064651,100459,St Aloysius RC College,Voluntary aided school,COMP,BOYS,59
206,Islington,2068033,130409,City and Islington College,General Further Education College,NA,MIXED,1002
206,Islington,2066905,134314,St Mary Magdalene Academy,Academy sponsor led,COMP,MIXED,41
206,Islington,2066906,135587,City of London Academy - Islington,Academy sponsor led,COMP,MIXED,31
206,Islington,2064900,136138,Islington Sixth Form Consortium,,,,206
206,Islington,2064000,139793,Stem Academy,Free school – 16-19,NA,MIXED,0
207,Kensington and Chelsea,2075402,100506,The Cardinal Vaughan Memorial RC School,Voluntary aided school,COMP,MIXED,166
207,Kensington and Chelsea,2076026,100511,Queen's Gate School,Independent,,GIRLS,32
207,Kensington and Chelsea,2076202,100521,More House School,Independent,,GIRLS,24
207,Kensington and Chelsea,2076262,100526,Duff Miller College,Independent,,MIXED,82
207,Kensington and Chelsea,2076348,100537,Ashbourne Independent School,Independent,,MIXED,70
207,Kensington and Chelsea,2076362,100539,Collingham,Independent,,MIXED,60
207,Kensington and Chelsea,2076363,100540,Mander Portman Woodward School,Independent,,MIXED,168
207,Kensington and Chelsea,2076386,100544,David Game College,Independent,,MIXED,29
207,Kensington and Chelsea,2076391,100547,Lycee Francais Charles de Gaulle,Independent,,MIXED,33
207,Kensington and Chelsea,2078001,130410,Kensington and Chelsea College,General Further Education College,NA,MIXED,31
207,Kensington and Chelsea,2078600,130411,St Charles Catholic Sixth Form College,Sixth Form College,NA,MIXED,371
207,Kensington and Chelsea,2076905,135531,Chelsea Academy,Academy sponsor led,COMP,MIXED,84
207,Kensington and Chelsea,2074320,140134,Holland Park School,Academy - converter mainstream,COMP,MIXED,61
208,Lambeth,2084223,100624,Norwood School,Community school,COMP,MIXED,32
208,Lambeth,2084321,100625,Lilian Baylis Technology School,Community school,COMP,MIXED,64
208,Lambeth,2085400,100637,La Retraite Roman Catholic Girls' School,Voluntary aided school,COMP,GIRLS,76
208,Lambeth,2085401,100638,Bishop Thomas Grant Catholic Secondary School,Voluntary aided school,COMP,MIXED,106
208,Lambeth,2085403,100640,Archbishop Tenison's School,Voluntary aided school,COMP,MIXED,26
208,Lambeth,2085405,100642,London Nautical School,Foundation school,COMP,BOYS,30
208,Lambeth,2086311,100648,Streatham and Clapham High School,Independent,,GIRLS,17
208,Lambeth,2084731,129649,The Elmgreen School,Voluntary controlled school,COMP,MIXED,32
208,Lambeth,2088027,130413,Lambeth College,Tertiary College,NA,MIXED,97
