Information on the schools and colleges which are eligible to be included in the 2014 performance tables underlying data,,,,,,,,
,,,,,,,,
NA: not applicable,,,,,,,,
Local Authority number,Local Authority name,LAESTAB: local authority establishment number,URN: Unique Reference Number,School or college name,Institution Type,Admissions policy (state-funded institutions only),Gender of Sixth Form,Number of students at the end of KS5
356,Stockport,3566019,106157,Cheadle Hulme School,Independent,,MIXED,135
356,Stockport,3568000,130512,Stockport College,General Further Education College,NA,MIXED,482
356,Stockport,3568603,130514,Aquinas College,Sixth Form College,NA,MIXED,765
356,Stockport,3568604,130515,Cheadle and Marple Sixth Form College,Sixth Form College,NA,MIXED,826
356,Stockport,3566030,134493,Focus School - Stockport Campus,Independent,,MIXED,14
356,Stockport,3566905,135262,Stockport Academy,Academy sponsor led,COMP,MIXED,33
356,Stockport,3564039,137843,Cheadle Hulme High School,Academy - converter mainstream,COMP,MIXED,0
356,Stockport,3564036,137923,Hazel Grove High School,Academy - converter mainstream,COMP,MIXED,0
356,Stockport,3564000,139593,Stockport Technical School,Free school – mainstream,COMP,BOYS,0
357,Tameside,3574025,106268,Hyde Community College,Community school,COMP,MIXED,21
357,Tameside,3578002,130516,Tameside College,General Further Education College,NA,MIXED,505
357,Tameside,3578601,130518,Ashton Sixth Form College,Sixth Form College,NA,MIXED,727
357,Tameside,3576905,135508,New Charter Academy,Academy sponsor led,COMP,MIXED,25
357,Tameside,3576906,135864,Droylsden Academy,Academy sponsor led,COMP,MIXED,7
357,Tameside,3575400,136273,Audenshaw School Academy Trust,Academy - converter mainstream,COMP,MIXED,95
357,Tameside,3574604,139735,All Saints Catholic College,Academy - converter mainstream,COMP,MIXED,25
358,Trafford,3584025,106368,Stretford Grammar School,Foundation school,SEL,MIXED,60
358,Trafford,3585403,106376,Blessed Thomas Holford Catholic College,Voluntary aided school,MOD,MIXED,49
358,Trafford,3586003,106380,North Cestrian Grammar School,Independent,,MIXED,14
358,Trafford,3588000,130519,Trafford College,General Further Education College,NA,MIXED,695
358,Trafford,3585405,136297,Urmston Grammar Academy,Academy - converter mainstream,SEL,MIXED,118
358,Trafford,3585400,136377,Wellington School,Academy - converter mainstream,MOD,MIXED,76
358,Trafford,3584016,136378,Wellacre Technology Academy,Academy - converter mainstream,MOD,BOYS,35
358,Trafford,3585404,136458,Altrincham Grammar School for Boys,Academy - converter mainstream,SEL,BOYS,155
358,Trafford,3584029,136498,Sale Grammar School,Academy - converter mainstream,SEL,MIXED,157
358,Trafford,3585407,137289,Altrincham Grammar School for Girls,Academy - converter mainstream,SEL,GIRLS,162
358,Trafford,3585401,138123,Ashton-on-Mersey School,Academy - converter mainstream,MOD,MIXED,77
358,Trafford,3585900,138134,St Ambrose College,Academy - converter mainstream,SEL,BOYS,95
358,Trafford,3585901,138464,Loreto Grammar School,Academy - converter mainstream,SEL,GIRLS,136
358,Trafford,3584024,138614,Altrincham College of Arts,Academy - converter mainstream,MOD,MIXED,39
359,Wigan,3594608,106534,The Deanery Church of England High School and Sixth Form College,Voluntary aided school,COMP,MIXED,63
359,Wigan,3594615,106538,St Mary's Catholic High School,Voluntary aided school,COMP,MIXED,125
359,Wigan,3598003,130521,Wigan and Leigh College,General Further Education College,NA,MIXED,572
359,Wigan,3598600,130522,Winstanley College,Sixth Form College,NA,MIXED,877
359,Wigan,3598601,130523,St John Rigby RC Sixth Form College,Sixth Form College,NA,MIXED,509
359,Wigan,3594006,138229,Wigan UTC,Free school – UTC,COMP,BOYS,0
359,Wigan,3594005,138233,Atherton Community School,Free school – mainstream,COMP,MIXED,0
370,Barnsley,3704027,106653,Penistone Grammar School,Community school,COMP,MIXED,104
370,Barnsley,3708001,130524,Barnsley College,Tertiary College,NA,MIXED,1234
370,Barnsley,3706905,131749,Barnsley Academy,Academy sponsor led,COMP,MIXED,32
371,Doncaster,3714032,106788,Mexborough School,Community school,COMP,MIXED,32
371,Doncaster,3714056,106802,Balby Carr Community Sports and Science College,Foundation school,COMP,MIXED,118
371,Doncaster,3714606,106810,The McAuley Catholic High School,Voluntary aided school,COMP,MIXED,149
371,Doncaster,3716000,106812,Hill House School,Independent,,MIXED,30
371,Doncaster,3718000,130526,Doncaster College,General Further Education College,NA,MIXED,498
371,Doncaster,3716905,135007,Trinity Academy,Academy sponsor led,COMP,MIXED,118
371,Doncaster,3716906,135942,De Warenne Academy,Academy sponsor led,COMP,MIXED,30
371,Doncaster,3716907,135963,Outwood Academy Adwick,Academy sponsor led,COMP,MIXED,65
371,Doncaster,3715400,136672,The Hayfield School,Academy - converter mainstream,COMP,MIXED,80
371,Doncaster,3714608,136675,Rossington All Saints Academy,Academy sponsor led,COMP,MIXED,50
371,Doncaster,3714000,137066,Ash Hill Academy,Academy sponsor led,COMP,MIXED,23
371,Doncaster,3714029,137472,Don Valley Academy,Academy - converter mainstream,COMP,MIXED,72
371,Doncaster,3714014,137524,Danum Academy,Academy - converter mainstream,COMP,MIXED,178
371,Doncaster,3714033,137603,Ridgewood School,Academy - converter mainstream,COMP,MIXED,84
371,Doncaster,3714062,137842,Hall Cross Academy,Academy - converter mainstream,COMP,MIXED,221
371,Doncaster,3714036,138116,Campsmount (A Co-Operative Academy),Academy - converter mainstream,COMP,MIXED,20
371,Doncaster,3714021,138314,Armthorpe Academy,Academy - converter mainstream,COMP,MIXED,40
371,Doncaster,3714031,139301,Sir Thomas Wharton Community College,Academy - converter mainstream,COMP,MIXED,53
372,Rotherham,3724017,106954,Wath Comprehensive School : A Language College,Community school,COMP,MIXED,157
372,Rotherham,3724018,106955,Wickersley School and Sports College,Community school,COMP,MIXED,189
372,Rotherham,3724022,106958,Dinnington Comprehensive Specialising in Science and Engineering,Community school,COMP,MIXED,57
372,Rotherham,3724023,106959,Swinton Community School,Community school,COMP,MIXED,64
372,Rotherham,3728000,130527,Rotherham College of Arts and Technology,General Further Education College,NA,MIXED,352
372,Rotherham,3728004,130529,Dearne Valley College,General Further Education College,NA,MIXED,175
372,Rotherham,3728600,130530,Thomas Rotherham College,Sixth Form College,NA,MIXED,641
372,Rotherham,3726003,134466,Focus School - Bramley Campus,Independent,,MIXED,2
372,Rotherham,3726905,136042,Maltby Academy,Academy sponsor led,COMP,MIXED,76
372,Rotherham,3724024,136301,Brinsworth Comprehensive School,Academy - converter mainstream,COMP,MIXED,93
372,Rotherham,3724025,136331,Wales High School,Academy - converter mainstream,COMP,MIXED,122
372,Rotherham,3724021,136718,Aston Academy,Academy - converter mainstream,COMP,MIXED,90
373,Sheffield,3734257,107139,High Storrs School,Community school,COMP,MIXED,160
373,Sheffield,3734259,107140,King Edward VII School,Community school,COMP,MIXED,244
373,Sheffield,3736005,107163,Birkdale School,Independent,,MIXED,99
373,Sheffield,3736021,107166,Sheffield High School,Independent,,GIRLS,96
373,Sheffield,3738022,130531,The Sheffield College,Tertiary College,NA,MIXED,1265
373,Sheffield,3736905,131895,Sheffield Park Academy,Academy sponsor led,COMP,MIXED,51
373,Sheffield,3736906,131896,Sheffield Springs Academy,Academy sponsor led,COMP,MIXED,23
373,Sheffield,3738023,133991,Longley Park Sixth Form College,Sixth Form College,NA,MIXED,430
373,Sheffield,3734605,135503,Forge Valley Community School,Foundation school,COMP,MIXED,53
373,Sheffield,3734234,138069,Tapton School,Academy - converter mainstream,COMP,MIXED,191
373,Sheffield,3735401,138337,All Saints' Catholic High School,Academy - converter mainstream,COMP,MIXED,172
373,Sheffield,3735400,138361,Notre Dame High School,Academy - converter mainstream,COMP,MIXED,154
373,Sheffield,3734279,138545,Meadowhead School Academy Trust,Academy - converter mainstream,COMP,MIXED,0
373,Sheffield,3734230,138841,King Ecgbert School,Academy - converter mainstream,COMP,MIXED,120
373,Sheffield,3734272,139101,Bradfield School,Academy - converter mainstream,COMP,MIXED,0
373,Sheffield,3734229,139167,Silverdale School,Academy - converter mainstream,COMP,MIXED,168
373,Sheffield,3734004,139695,UTC Sheffield,Free school – UTC,COMP,BOYS,0
380,Bradford,3804001,107350,Buttershaw Business and Enterprise College,Foundation school,COMP,MIXED,49
380,Bradford,3804022,107361,Belle Vue Boys' School,Community school,COMP,BOYS,35
380,Bradford,3804036,107366,Tong High School,Foundation school,COMP,MIXED,71
380,Bradford,3804069,107391,Queensbury School,Community school,COMP,MIXED,54
380,Bradford,3804074,107395,Titus Salt School,Community school,COMP,MIXED,121
380,Bradford,3804100,107413,Carlton Bolling College,Community school,COMP,MIXED,105
380,Bradford,3804600,107423,St Bede's Catholic Grammar School,Voluntary aided school,COMP,BOYS,77
380,Bradford,3804610,107428,The Holy Family Catholic School,Voluntary aided school,COMP,MIXED,54
380,Bradford,3804611,107429,St Joseph's Catholic College,Voluntary aided school,COMP,GIRLS,94
380,Bradford,3805400,107439,Bingley Grammar School,Voluntary aided school,COMP,MIXED,130
380,Bradford,3805401,107440,Hanson School,Foundation school,COMP,MIXED,151
380,Bradford,3805402,107441,Oakbank School,Foundation school,COMP,MIXED,91
380,Bradford,3805403,107442,Thornton Grammar School,Foundation school,COMP,MIXED,74
380,Bradford,3805404,107443,Laisterdyke Business and Enterprise College,Foundation school,COMP,MIXED,40
380,Bradford,3806103,107455,Bradford Grammar School,Independent,,MIXED,131
380,Bradford,3806119,130245,Olive Secondary,Independent,,GIRLS,1
380,Bradford,3808004,130532,Bradford College,General Further Education College,NA,MIXED,720
380,Bradford,3808011,130534,Shipley College,General Further Education College,NA,MIXED,109
380,Bradford,3806905,130909,Dixons City Academy,Academy sponsor led,COMP,MIXED,108
380,Bradford,3804112,132217,Parkside School,Foundation school,COMP,MIXED,43
380,Bradford,3804616,132219,Immanuel College,Voluntary aided school,COMP,MIXED,68
380,Bradford,3806114,134140,Darul Uloom Dawatul Imaan,Independent,,BOYS,4
380,Bradford,3806906,135367,Bradford Academy,Academy sponsor led,COMP,MIXED,84
380,Bradford,3806907,135865,Appleton Academy,Academy sponsor led,COMP,MIXED,16
380,Bradford,3806908,135866,Dixons Allerton Academy,Academy sponsor led,COMP,MIXED,59
380,Bradford,3806909,136198,University Academy Keighley,Academy sponsor led,COMP,MIXED,38
380,Bradford,3804502,136905,Ilkley Grammar School,Academy - converter mainstream,COMP,MIXED,149
380,Bradford,3804613,136962,Feversham College,Academy - converter mainstream,COMP,GIRLS,80
380,Bradford,3804006,137576,The Samuel Lister Academy,Academy sponsor led,COMP,MIXED,51
380,Bradford,3804041,138087,Belle Vue Girls' School,Academy - converter mainstream,COMP,GIRLS,85
380,Bradford,3804007,138566,Bradford Studio School,Free school –studio school,COMP,MIXED,3
380,Bradford,3804064,139975,Beckfoot School,Academy - converter mainstream,COMP,MIXED,128
380,Bradford,3804101,139982,Grange Technology College,Academy - converter mainstream,COMP,MIXED,145
380,Bradford,3804019,139995,Oasis Academy Lister Park,Academy sponsor led,COMP,MIXED,88
380,Bradford,3806102,140204,Bradford Girls' Grammar School,Free school – mainstream,COMP,GIRLS,27
381,Calderdale,3814022,107562,"Calder High School, A Specialist Technology College",Foundation school,COMP,MIXED,68
381,Calderdale,3814024,107563,Sowerby Bridge High School,Community school,COMP,MIXED,61
381,Calderdale,3814026,107564,Todmorden High School,Community school,COMP,MIXED,49
381,Calderdale,3815408,107565,Ryburn Valley High School,Foundation school,COMP,MIXED,85
381,Calderdale,3816001,107583,Rishworth School,Independent,,MIXED,28
381,Calderdale,3816006,107585,"The Grammar School, Hipperholme",Independent,,MIXED,18
381,Calderdale,3818000,130535,Calderdale College,General Further Education College,NA,MIXED,242
381,Calderdale,3816905,136094,"Trinity Academy, Halifax",Academy sponsor led,COMP,MIXED,96
381,Calderdale,3815406,136604,Brighouse High School,Academy - converter mainstream,COMP,MIXED,154
381,Calderdale,3815400,136788,The North Halifax Grammar School,Academy - converter mainstream,SEL,MIXED,160
381,Calderdale,3815404,137036,Hipperholme and Lightcliffe High School,Academy - converter mainstream,COMP,MIXED,100
381,Calderdale,3815402,137444,Rastrick High School,Academy - converter mainstream,COMP,MIXED,99
381,Calderdale,3815405,137521,The Brooksbank School,Academy - converter mainstream,COMP,MIXED,117
381,Calderdale,3815401,139182,The Crossley Heath School,Academy - converter mainstream,SEL,MIXED,150
381,Calderdale,3814003,139433,The Maltings College,Free school – 16-19,NA,MIXED,3
382,Kirklees,3824009,107756,Nether Hall Learning Campus High School,Community school,COMP,MIXED,17
382,Kirklees,3824800,107783,St John Fisher Catholic High School,Voluntary aided school,COMP,MIXED,73
382,Kirklees,3828001,130537,Kirklees College,General Further Education College,NA,MIXED,817
382,Kirklees,3828600,130538,Greenhead College,Sixth Form College,NA,MIXED,1031
382,Kirklees,3828601,130539,Huddersfield New College,Sixth Form College,NA,MIXED,878
382,Kirklees,3825401,136283,Heckmondwike Grammar School,Academy - converter mainstream,SEL,MIXED,282
382,Kirklees,3824040,136674,The Mirfield Free Grammar and Sixth Form,Academy - converter mainstream,COMP,MIXED,172
382,Kirklees,3824049,137352,Shelley College,Academy - converter mainstream,COMP,MIXED,134
382,Kirklees,3824048,137424,Batley Girls' High School - Visual Arts College,Academy - converter mainstream,COMP,GIRLS,97
382,Kirklees,3826012,137487,Batley Grammar School,Free school – mainstream,COMP,MIXED,34
383,Leeds,3834006,108055,Lawnswood School,Community school,COMP,MIXED,65
383,Leeds,3834032,108057,Allerton High School,Community school,COMP,MIXED,85
383,Leeds,3834040,108058,Allerton Grange School,Community school,COMP,MIXED,96
383,Leeds,3834041,108059,"Carr Manor Community School, Specialist Sports College",Community school,COMP,MIXED,14
383,Leeds,3834045,108063,John Smeaton Community College,Community school,COMP,MIXED,18
383,Leeds,3834046,108064,Temple Moor High School Science College,Foundation school,COMP,MIXED,79
383,Leeds,3834062,108075,Ralph Thoresby School,Foundation school,COMP,MIXED,61
383,Leeds,3834063,108076,Roundhay School,Community school,COMP,MIXED,152
383,Leeds,3834102,108079,Pudsey Grangefield School,Foundation school,COMP,MIXED,76
383,Leeds,3834104,108081,Royds School Specialist Language College,Foundation school,COMP,MIXED,58
383,Leeds,3834106,108083,Benton Park School,Community school,COMP,MIXED,125
383,Leeds,3834108,108085,Guiseley School,Community school,COMP,MIXED,90
383,Leeds,3834109,108086,Bruntcliffe School,Foundation school,COMP,MIXED,73
383,Leeds,3834110,108087,Priesthorpe School,Foundation school,COMP,MIXED,80
383,Leeds,3834111,108088,Wetherby High School,Foundation school,COMP,MIXED,113
383,Leeds,3834113,108090,Brigshaw High School and Language College,Foundation school,COMP,MIXED,80
383,Leeds,3834114,108091,Boston Spa School,Foundation school,COMP,MIXED,105
383,Leeds,3836007,108104,Gateways School,Independent,,GIRLS,19
383,Leeds,3836112,108113,The Grammar School At Leeds,Independent,,MIXED,207
383,Leeds,3836113,108114,Woodhouse Grove School,Independent,,MIXED,90
383,Leeds,3836117,108117,Fulneck School,Independent,,MIXED,18
383,Leeds,3837016,108120,St John's Catholic School for the Deaf (Boston Spa),Non-maintained special school,,MIXED,5
383,Leeds,3838008,130542,Leeds College of Building,General Further Education College,NA,BOYS,84
383,Leeds,3838600,130548,Notre Dame Catholic Sixth Form College,Sixth Form College,NA,MIXED,622
383,Leeds,3836905,131898,David Young Community Academy,Academy sponsor led,COMP,MIXED,49
383,Leeds,3836122,134432,Focus School - Boston Spa Campus,Independent,,MIXED,1
383,Leeds,3838025,135771,Leeds City College,General Further Education College,NA,MIXED,1246
383,Leeds,3836906,135935,Leeds West Academy,Academy sponsor led,COMP,MIXED,61
383,Leeds,3836907,135969,South Leeds Academy,Academy sponsor led,COMP,MIXED,36
383,Leeds,3834112,136343,Garforth Academy,Academy - converter mainstream,COMP,MIXED,145
383,Leeds,3834101,136392,The Morley Academy,Academy - converter mainstream,COMP,MIXED,120
383,Leeds,3834000,136826,Leeds East Academy,Academy sponsor led,COMP,GIRLS,35
383,Leeds,3834065,137065,The Co-operative Academy of Leeds,Academy sponsor led,COMP,MIXED,28
383,Leeds,3835400,137083,Abbey Grange Church of England Academy,Academy - converter mainstream,COMP,MIXED,80
383,Leeds,3834105,137383,Woodkirk Academy,Academy - converter mainstream,COMP,MIXED,130
383,Leeds,3834026,137577,The Farnley Academy,Academy sponsor led,COMP,MIXED,39
383,Leeds,3834501,137704,Otley Prince Henry's Grammar School Specialist Language College,Academy - converter mainstream,COMP,MIXED,138
383,Leeds,3834115,137775,Horsforth School,Academy - converter mainstream,COMP,MIXED,96
383,Leeds,3834107,138304,Crawshaw School,Academy - converter mainstream,COMP,MIXED,39
383,Leeds,3834103,138336,Rodillian Academy,Academy - converter mainstream,COMP,MIXED,64
383,Leeds,3834037,139054,Swallow Hill Community College,Academy sponsor led,COMP,MIXED,40
383,Leeds,3834601,139351,"St. Mary's Menston, a Catholic Voluntary Academy",Academy - converter mainstream,COMP,MIXED,124
384,Wakefield,3846000,108300,Ackworth School,Independent,,MIXED,38
384,Wakefield,3846027,108303,Silcoates School,Independent,,MIXED,58
384,Wakefield,3846114,108305,Wakefield Girls' High School,Independent,,GIRLS,86
384,Wakefield,3846115,108306,Queen Elizabeth Grammar School,Independent,,BOYS,86
384,Wakefield,3848000,130549,Wakefield College,General Further Education College,NA,MIXED,801
384,Wakefield,3848600,130550,New College Pontefract,Sixth Form College,NA,MIXED,803
384,Wakefield,3846905,135961,Outwood Grange Academy,Academy sponsor led,COMP,MIXED,129
384,Wakefield,3844023,136462,Ossett Academy and Sixth Form College,Academy - converter mainstream,COMP,MIXED,194
384,Wakefield,3844015,136633,Castleford Academy,Academy - converter mainstream,COMP,MIXED,0
384,Wakefield,3844030,137011,"Minsthorpe Community College, A Specialist Science College",Academy - converter mainstream,COMP,MIXED,73
384,Wakefield,3844506,137764,Cathedral Academy,Academy - converter mainstream,COMP,MIXED,24
384,Wakefield,3844031,138006,De Lacy Academy,Academy - converter mainstream,COMP,MIXED,1
384,Wakefield,3844604,138951,St Wilfrid's Catholic High School & Sixth Form College: A Voluntary Academy,Academy - converter mainstream,COMP,MIXED,178
384,Wakefield,3844003,139335,Hemsworth Arts and Community Academy,Academy sponsor led,COMP,MIXED,54
390,Gateshead,3904031,108405,Charles Thorp Comprehensive School,Community school,COMP,MIXED,78
390,Gateshead,3904036,108407,Heworth Grange Comprehensive School,Community school,COMP,MIXED,48
390,Gateshead,3906900,108420,Emmanuel College,City technology college,COMP,MIXED,138
390,Gateshead,3908001,130551,Gateshead College,Tertiary College,NA,MIXED,695
390,Gateshead,3904029,137360,Whickham School,Academy - converter mainstream,COMP,MIXED,168
390,Gateshead,3904606,137851,St Thomas More Catholic School,Academy - converter mainstream,COMP,MIXED,111
390,Gateshead,3904605,137852,Cardinal Hume Catholic School,Academy - converter mainstream,COMP,MIXED,145
390,Gateshead,3904043,137898,Joseph Swan Academy,Academy - converter mainstream,COMP,MIXED,49
390,Gateshead,3904027,137942,Lord Lawson of Beamish Academy,Academy - converter mainstream,COMP,MIXED,96
391,Newcastle upon Tyne,3914430,108524,Walbottle Campus,Community school,COMP,MIXED,86
391,Newcastle upon Tyne,3914450,108525,Walker Technology College,Community school,COMP,MIXED,32
391,Newcastle upon Tyne,3914480,108526,Benfield School,Community school,COMP,MIXED,38
391,Newcastle upon Tyne,3914494,108531,Heaton Manor School,Foundation school,COMP,MIXED,115
391,Newcastle upon Tyne,3916001,108538,Newcastle High School for Girls,Independent,,GIRLS,35
391,Newcastle upon Tyne,3916012,108542,Westfield School,Independent,,GIRLS,20
391,Newcastle upon Tyne,3916014,108544,Newcastle School for Boys,Independent,,BOYS,15
391,Newcastle upon Tyne,3916035,108547,Dame Allan's Senior School,Independent,,MIXED,91
391,Newcastle upon Tyne,3916037,108549,Royal Grammar School,Independent,,MIXED,169
391,Newcastle upon Tyne,3918005,130552,NCG,General Further Education College,NA,MIXED,1623
391,Newcastle upon Tyne,3914500,133302,All Saints College,Foundation school,COMP,MIXED,20
391,Newcastle upon Tyne,3916905,135423,Excelsior Academy,Academy sponsor led,COMP,MIXED,36
391,Newcastle upon Tyne,3914429,136352,Gosforth Academy,Academy - converter mainstream,COMP,MIXED,226
391,Newcastle upon Tyne,3914716,137708,Sacred Heart Catholic High School,Academy - converter mainstream,COMP,GIRLS,137
391,Newcastle upon Tyne,3914715,137900,St Cuthbert's High School,Academy - converter mainstream,COMP,BOYS,100
391,Newcastle upon Tyne,3914485,138120,Kenton School,Academy - converter mainstream,COMP,MIXED,101
391,Newcastle upon Tyne,3914714,140081,St Mary's Catholic School,Academy - converter mainstream,COMP,MIXED,46
392,North Tyneside,3924029,108638,Whitley Bay High School,Foundation school,COMP,MIXED,203
392,North Tyneside,3924030,108639,George Stephenson High School,Foundation school,COMP,MIXED,58
392,North Tyneside,3924032,108640,Burnside Business and Enterprise College,Community school,COMP,MIXED,76
392,North Tyneside,3924033,108641,Churchill Community College,Foundation school,COMP,MIXED,63
392,North Tyneside,3924034,108642,Monkseaton High School,Foundation school,COMP,MIXED,54
392,North Tyneside,3924039,108645,Longbenton Community College,Foundation school,COMP,MIXED,50
392,North Tyneside,3924041,108647,"Seaton Burn College, A Specialist Business and Enterprise School",Foundation school,COMP,MIXED,40
392,North Tyneside,3928601,134916,Tyne Metropolitan College,General Further Education College,NA,MIXED,399
392,North Tyneside,3924605,137734,St Thomas More Roman Catholic Academy,Academy - converter mainstream,COMP,MIXED,154
392,North Tyneside,3924000,139658,Kings Priory School,Academy sponsor led,COMP,MIXED,61
393,South Tyneside,3934004,108726,Harton Technology College,Community school,COMP,MIXED,89
393,South Tyneside,3934604,108736,St Wilfrid's RC College,Voluntary aided school,COMP,MIXED,0
393,South Tyneside,3938000,130555,South Tyneside College,Tertiary College,NA,MIXED,248
393,South Tyneside,3934603,139878,St Joseph's Catholic Academy,Academy - converter mainstream,COMP,MIXED,174
394,Sunderland,3944609,108870,St Robert of Newminster Roman Catholic School,Voluntary aided school,COMP,MIXED,214
394,Sunderland,3946008,108874,Sunderland High School,Independent,,MIXED,16
394,Sunderland,3948003,131347,City of Sunderland College,General Further Education College,NA,MIXED,1230
394,Sunderland,3944610,138054,St Anthony's Girls' Catholic Academy,Academy - converter mainstream,COMP,GIRLS,128
394,Sunderland,3946010,138567,Grindon Hall Christian School,Free school – mainstream,COMP,MIXED,14
394,Sunderland,3944607,139538,St Aidan's Catholic Academy,Academy - converter mainstream,COMP,BOYS,75
800,Bath and North East Somerset,8004130,109306,Chew Valley School,Foundation school,COMP,MIXED,77
800,Bath and North East Somerset,8004607,109328,St Mark's CofE School,Voluntary aided school,COMP,MIXED,0
800,Bath and North East Somerset,8004608,109329,Saint Gregory's Catholic College,Voluntary aided school,COMP,MIXED,0
800,Bath and North East Somerset,8006000,109346,Kingswood School,Independent,,MIXED,103
800,Bath and North East Somerset,8006001,109347,Prior Park College,Independent,,MIXED,81
800,Bath and North East Somerset,8006002,109348,Royal High School GDST,Independent,,GIRLS,73
800,Bath and North East Somerset,8006008,109360,Monkton Senior School,Independent,,MIXED,77
800,Bath and North East Somerset,8006010,109374,King Edward's School,Independent,,MIXED,108
800,Bath and North East Somerset,8008009,130558,City of Bath College,General Further Education College,NA,MIXED,419
800,Bath and North East Somerset,8008015,130559,Norton Radstock College,General Further Education College,NA,MIXED,70
800,Bath and North East Somerset,8004133,136311,Somervale School Specialist Media Arts College,Academy - converter mainstream,COMP,MIXED,12
800,Bath and North East Somerset,8004128,136335,Norton Hill Academy,Academy - converter mainstream,COMP,MIXED,104
800,Bath and North East Somerset,8005401,136483,Oldfield School,Academy - converter mainstream,COMP,GIRLS,21
800,Bath and North East Somerset,8005400,136520,Beechen Cliff School,Academy - converter mainstream,COMP,MIXED,126
800,Bath and North East Somerset,8004107,136966,Hayesfield Girls School,Academy - converter mainstream,COMP,MIXED,74
800,Bath and North East Somerset,8004138,137523,Wellsway School,Academy - converter mainstream,COMP,MIXED,116
800,Bath and North East Somerset,8004134,137548,Writhlington School,Academy - converter mainstream,COMP,MIXED,135
800,Bath and North East Somerset,8006015,138147,Bath Academy,Independent,,MIXED,13
800,Bath and North East Somerset,8004000,138394,Bath Community Academy,Academy sponsor led,COMP,MIXED,1
800,Bath and North East Somerset,8004132,138522,Ralph Allen School,Academy - converter mainstream,COMP,MIXED,106
801,"Bristol, City of",8014030,109278,Ashton Park School,Foundation school,COMP,MIXED,55
801,"Bristol, City of",8014032,109280,Brislington Enterprise College,Foundation school,COMP,MIXED,14
801,"Bristol, City of",8014603,109327,St Mary Redcliffe and Temple School,Voluntary aided school,COMP,MIXED,226
801,"Bristol, City of",8016000,109334,Clifton College,Independent,,MIXED,155
801,"Bristol, City of",8016001,109335,Clifton High School,Independent,,MIXED,30
801,"Bristol, City of",8016002,109336,Colston's School,Independent,,MIXED,50
801,"Bristol, City of",8016003,109337,Badminton School,Independent,,GIRLS,41
801,"Bristol, City of",8016013,109369,Bristol Grammar School,Independent,,MIXED,156
801,"Bristol, City of",8016014,109370,Queen Elizabeth's Hospital,Independent,,BOYS,78
801,"Bristol, City of",8016015,109371,The Red Maids' School,Independent,,GIRLS,68
801,"Bristol, City of",8016016,109372,Redland High School for Girls,Independent,,GIRLS,53
801,"Bristol, City of",8018600,130563,St Brendan's Sixth Form College,Sixth Form College,NA,MIXED,647
801,"Bristol, City of",8018008,131094,City of Bristol College,General Further Education College,NA,MIXED,592
801,"Bristol, City of",8016905,134221,The City Academy Bristol,Academy sponsor led,COMP,MIXED,64
801,"Bristol, City of",8016907,135300,Bristol Brunel Academy,Academy sponsor led,COMP,MIXED,13
801,"Bristol, City of",8016908,135575,Bristol Cathedral Choir School,Academy sponsor led,COMP,MIXED,50
801,"Bristol, City of",8016909,135581,Colston's Girls' School,Academy sponsor led,COMP,GIRLS,49
801,"Bristol, City of",8014900,135589,North Bristol Post 16 Centre,,,,320
801,"Bristol, City of",8016910,135597,Merchants' Academy,Academy sponsor led,COMP,MIXED,21
801,"Bristol, City of",8016911,135663,Oasis Academy John Williams,Academy sponsor led,COMP,MIXED,16
801,"Bristol, City of",8016913,135959,Bristol Metropolitan Academy,Academy sponsor led,COMP,MIXED,4
801,"Bristol, City of",8014100,137440,Cotham School,Academy - converter mainstream,COMP,MIXED,148
801,"Bristol, City of",8014602,137627,St Bede's Catholic College,Academy - converter mainstream,COMP,MIXED,0
801,"Bristol, City of",8014627,138855,Redland Green School,Academy - converter mainstream,COMP,MIXED,172
802,North Somerset,8024144,109317,St Katherine's School,Community school,COMP,MIXED,50
802,North Somerset,8026002,109362,Sidcot School,Independent,,MIXED,73
802,North Somerset,8028014,130564,Weston College,General Further Education College,NA,MIXED,725
802,North Somerset,8024129,136722,Backwell School,Academy - converter mainstream,COMP,MIXED,173
802,North Somerset,8024135,136856,Gordano School,Academy - converter mainstream,COMP,MIXED,163
802,North Somerset,8024139,137000,Churchill Academy,Academy - converter mainstream,COMP,MIXED,115
802,North Somerset,8024136,137884,Clevedon School,Academy - converter mainstream,COMP,MIXED,75
802,North Somerset,8024137,138466,Nailsea School,Academy - converter mainstream,COMP,MIXED,87
803,South Gloucestershire,8034117,109296,Patchway Community College,Community school,COMP,MIXED,44
803,South Gloucestershire,8034124,109300,Sir Bernard Lovell School,Foundation school,COMP,MIXED,59
803,South Gloucestershire,8034145,109318,Hanham High School,Community school,COMP,MIXED,62
803,South Gloucestershire,8034146,109319,Brimsham Green School,Community school,COMP,MIXED,72
803,South Gloucestershire,8034147,109320,Mangotsfield School,Community school,COMP,MIXED,62
803,South Gloucestershire,8034149,109322,The Grange School and Sports College,Community school,COMP,MIXED,37
803,South Gloucestershire,8034502,109324,Chipping Sodbury School,Foundation school,COMP,MIXED,56
803,South Gloucestershire,8034511,109325,Marlwood School,Voluntary controlled school,COMP,MIXED,64
803,South Gloucestershire,8036906,135295,John Cabot Academy,Academy sponsor led,COMP,MIXED,108
803,South Gloucestershire,8036907,135943,The Ridings Federation Yate International Academy,Academy sponsor led,COMP,MIXED,38
