"Number of students passing key skill at level 3 by institution, subject and grade achieved",,,,,,,
,,,,,,,
,,,,,,,Grade achieved
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Pass
Torbay,130648,South Devon College,General Further Education College,Key Skill at Level 3,Learning Skills,6,6
Torbay,130648,South Devon College,General Further Education College,Key Skill at Level 3,Problem Solving,5,Supp
Torbay,130648,South Devon College,General Further Education College,Key Skill at Level 3,Teamworking,6,6
Plymouth,130649,City College Plymouth,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Plymouth,130649,City College Plymouth,General Further Education College,Key Skill at Level 3,Problem Solving,1,Supp
Plymouth,130649,City College Plymouth,General Further Education College,Key Skill at Level 3,Teamworking,1,Supp
Darlington,130656,Darlington College,General Further Education College,Key Skill at Level 3,Learning Skills,3,Supp
County Durham,130657,Bishop Auckland College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Darlington,130662,Queen Elizabeth Sixth Form College,Sixth Form Centre / Consortia,Key Skill at Level 3,Learning Skills,5,Supp
Gloucestershire,130686,Cirencester Tertiary College,Tertiary College,Key Skill at Level 3,Learning Skills,1,Supp
Gloucestershire,130686,Cirencester Tertiary College,Tertiary College,Key Skill at Level 3,Teamworking,1,Supp
Hampshire,130700,Queen Mary's College,Sixth Form Centre / Consortia,Key Skill at Level 3,Teamworking,1,Supp
Worcestershire,130713,Heart of Worcestershire College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Worcestershire,130713,Heart of Worcestershire College,General Further Education College,Key Skill at Level 3,Problem Solving,1,Supp
Worcestershire,130713,Heart of Worcestershire College,General Further Education College,Key Skill at Level 3,Teamworking,1,Supp
Hertfordshire,130721,North Hertfordshire College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Hertfordshire,130722,Hertford Regional College,General Further Education College,Key Skill at Level 3,Teamworking,1,Supp
Blackburn with Darwen,130736,Blackburn College,General Further Education College,Key Skill at Level 3,Learning Skills,106,106
Lincolnshire,130759,Grantham College,General Further Education College,Key Skill at Level 3,Teamworking,1,Supp
Northamptonshire,130769,Northampton College,General Further Education College,Key Skill at Level 3,Learning Skills,5,Supp
Northamptonshire,130769,Northampton College,General Further Education College,Key Skill at Level 3,Teamworking,1,Supp
Warwickshire,130835,Warwickshire College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Warwickshire,130836,North Warwickshire and Hinckley College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Warwickshire,130836,North Warwickshire and Hinckley College,General Further Education College,Key Skill at Level 3,Problem Solving,1,Supp
Warwickshire,130836,North Warwickshire and Hinckley College,General Further Education College,Key Skill at Level 3,Teamworking,3,Supp
Warwickshire,130840,King Edward VI College Nuneaton,Further Education Sector Institution,Key Skill at Level 3,Teamworking,2,Supp
Westminster,131262,Westminster Academy,Sponsored Academy,Key Skill at Level 3,Learning Skills,16,16
County Durham,131859,East Durham College,General Further Education College,Key Skill at Level 3,Learning Skills,2,Supp
Leicester,131863,Leicester College co Freemen's Park Campus,General Further Education College,Key Skill at Level 3,Teamworking,1,Supp
Harrow,131864,Harrow College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
Worcestershire,132823,Kingsley College,Foundation School,Key Skill at Level 3,Learning Skills,27,27
Worcestershire,132823,Kingsley College,Foundation School,Key Skill at Level 3,Problem Solving,27,27
Worcestershire,132823,Kingsley College,Foundation School,Key Skill at Level 3,Teamworking,27,27
Derby,133585,Derby College,Tertiary College,Key Skill at Level 3,Basic Communication Skills,1,Supp
Hackney,133608,The Brooke House Sixth Form College,Sixth Form Centre / Consortia,Key Skill at Level 3,Learning Skills,1,Supp
Oxfordshire,134153,Activate Learning,General Further Education College,Key Skill at Level 3,Teamworking,1,Supp
North Tyneside,134916,Tyne Metropolitan College,General Further Education College,Key Skill at Level 3,Learning Skills,1,Supp
North Tyneside,134916,Tyne Metropolitan College,General Further Education College,Key Skill at Level 3,Problem Solving,1,Supp
North Tyneside,134916,Tyne Metropolitan College,General Further Education College,Key Skill at Level 3,Teamworking,1,Supp
Blackburn with Darwen,135580,Darwen Aldridge Community Academy,Sponsored Academy,Key Skill at Level 3,Problem Solving,1,Supp
Cumbria,135632,West Lakes Academy,Sponsored Academy,Key Skill at Level 3,Learning Skills,13,13
Cumbria,135632,West Lakes Academy,Sponsored Academy,Key Skill at Level 3,Problem Solving,13,13
Cumbria,135632,West Lakes Academy,Sponsored Academy,Key Skill at Level 3,Teamworking,13,13
Wirral,135877,Birkenhead High School Academy,Sponsored Academy,Key Skill at Level 3,Learning Skills,1,Supp
Wirral,135877,Birkenhead High School Academy,Sponsored Academy,Key Skill at Level 3,Problem Solving,1,Supp
