"Number of students entering a BTEC award by institution, subject and grade achieved",,,,,,,,
,,,,,,,Grade achieved,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Pass,No results
Gloucestershire,130683,Gloucestershire College,General Further Education College,BTEC Award Level 3,Fashion / Textiles Design,15,15,0
Gloucestershire,130683,Gloucestershire College,General Further Education College,BTEC Award Level 3,Fine Art,41,41,0
Gloucestershire,130683,Gloucestershire College,General Further Education College,BTEC Award Level 3,Graphic Design,5,Supp,Supp
Gloucestershire,130683,Gloucestershire College,General Further Education College,BTEC Award Level 3,Photography,13,13,0
Hampshire,130691,Alton College,Sixth Form Centre / Consortia,BTEC Award Level 3,Childcare Skills,9,0,1
Hampshire,130692,Eastleigh College,General Further Education College,BTEC Award Level 3,Management Studies / Science,1,Supp,Supp
Portsmouth,130697,Highbury College,General Further Education College,BTEC Award Level 3,Personal Fitness,5,Supp,Supp
Hampshire,130698,Sparsholt College Hampshire,Agriculture and Horticulture College,BTEC Award Level 3,Childcare Skills,1,Supp,Supp
Southampton,130704,Itchen College,Sixth Form Centre / Consortia,BTEC Award Level 3,Computer Appreciation / Introduction,2,Supp,Supp
Hampshire,130705,St Vincent College,Sixth Form Centre / Consortia,BTEC Award Level 3,Computer Appreciation / Introduction,16,16,0
Worcestershire,130713,Heart of Worcestershire College,General Further Education College,BTEC Award Level 3,Preparation for Work,74,74,0
Worcestershire,130719,Worcester Sixth Form College,Sixth Form Centre / Consortia,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
Isle of Wight,130724,The Isle of Wight College,General Further Education College,BTEC Award Level 3,Fine Art,7,7,0
Isle of Wight,130724,The Isle of Wight College,General Further Education College,BTEC Award Level 3,Graphic Design,6,6,0
Isle of Wight,130724,The Isle of Wight College,General Further Education College,BTEC Award Level 3,Interactive Video,40,40,0
Isle of Wight,130724,The Isle of Wight College,General Further Education College,BTEC Award Level 3,Photography,23,23,0
Kent,130728,East Kent College,General Further Education College,BTEC Award Level 3,Voluntary Organisations: Management,1,Supp,Supp
Kent,130730,Canterbury College,General Further Education College,BTEC Award Level 3,Preparation for Work,143,143,0
Lancashire,130740,Preston College,Tertiary College,BTEC Award Level 3,Management Studies / Science,3,Supp,Supp
Lancashire,130740,Preston College,Tertiary College,BTEC Award Level 3,Preparation for Work,4,Supp,Supp
Lancashire,130741,Runshaw College,Tertiary College,BTEC Award Level 3,Preparation for Work,6,6,0
Lincolnshire,130762,Lincoln College,General Further Education College,BTEC Award Level 3,Graphic Design,16,16,0
Lincolnshire,130762,Lincoln College,General Further Education College,BTEC Award Level 3,Interactive Video,7,7,0
Lincolnshire,130762,Lincoln College,General Further Education College,BTEC Award Level 3,Photography,5,Supp,Supp
Norfolk,130763,The College of West Anglia,General Further Education College,BTEC Award Level 3,Art: Specific Techniques,10,10,0
Norfolk,130763,The College of West Anglia,General Further Education College,BTEC Award Level 3,Design (General),1,Supp,Supp
Norfolk,130763,The College of West Anglia,General Further Education College,BTEC Award Level 3,Fashion / Textiles Design,9,9,0
Norfolk,130763,The College of West Anglia,General Further Education College,BTEC Award Level 3,Fine Art,26,26,0
Norfolk,130763,The College of West Anglia,General Further Education College,BTEC Award Level 3,Interactive Video,13,13,0
Norfolk,130763,The College of West Anglia,General Further Education College,BTEC Award Level 3,Photography,22,22,0
Norfolk,130764,Norwich City College of Further and Higher Education,General Further Education College,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
Norfolk,130764,Norwich City College of Further and Higher Education,General Further Education College,BTEC Award Level 3,Sports Organisation,29,29,0
Northamptonshire,130769,Northampton College,General Further Education College,BTEC Award Level 3,Art: Specific Techniques,20,20,0
Northamptonshire,130769,Northampton College,General Further Education College,BTEC Award Level 3,Fine Art,2,Supp,Supp
Northamptonshire,130769,Northampton College,General Further Education College,BTEC Award Level 3,Graphic Design,11,11,0
Northamptonshire,130769,Northampton College,General Further Education College,BTEC Award Level 3,Interactive Video,44,44,0
Northamptonshire,130769,Northampton College,General Further Education College,BTEC Award Level 3,Photography,16,16,0
Nottingham,130776,New College Nottingham,General Further Education College,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
Telford and Wrekin,130796,Telford College of Arts and Technology,General Further Education College,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
Telford and Wrekin,130801,New College Telford,Sixth Form Centre / Consortia,BTEC Award Level 3,Childcare Skills,15,6,8
Somerset,130803,Bridgwater College,Tertiary College,BTEC Award Level 3,Preparation for Work,1,Supp,Supp
Staffordshire,130809,Burton and South Derbyshire College,General Further Education College,BTEC Award Level 3,Preparation for Work,2,Supp,Supp
Staffordshire,130813,Stafford College,General Further Education College,BTEC Award Level 3,Preparation for Work,59,59,0
Suffolk,130820,Suffolk New College,General Further Education College,BTEC Award Level 3,Interactive Video,50,50,0
Warwickshire,130835,Warwickshire College,General Further Education College,BTEC Award Level 3,Administrative Management,5,Supp,Supp
Warwickshire,130835,Warwickshire College,General Further Education College,BTEC Award Level 3,Fashion / Textiles Design,2,Supp,Supp
Warwickshire,130835,Warwickshire College,General Further Education College,BTEC Award Level 3,Fine Art,2,Supp,Supp
