"Number of students entered for an advanced extension award by institution, subject and grade achieved",,,,,,,,,,,
,,,,,,,Grade achieved,,,,
Local Authority,URN,School or college name,Institution type,Qualification,Subject,Number entered,Distinction,Merit,Pass,Unclassified,No results
Derbyshire,112989,Belper School and Sixth Form Centre,Foundation School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Derbyshire,113009,Repton School,Independent School,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Devon,113574,Trinity School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Devon,113607,Exeter School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Dorset,113901,The Woodroffe School,Foundation School,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
County Durham,114310,Durham Sixth Form Centre,Community School,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
East Sussex,114590,Uckfield Community Technology College,Community School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Brighton and Hove,114611,Cardinal Newman Catholic School,Voluntary Aided School,Advanced Extension Award,Mathematics,11,1,3,0,7,0
Brighton and Hove,114614,Brighton College,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
East Sussex,114650,Eastbourne College,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
East Sussex,114657,Bede's Senior School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Brighton and Hove,114664,Bellerbys College Brighton,Independent School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Essex,115392,Chigwell School,Independent School,Advanced Extension Award,Mathematics,9,1,1,0,4,3
Essex,115429,Brentwood School,Independent School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Hampshire,116517,Farnborough Hill,Independent School,Advanced Extension Award,Mathematics,3,Supp,Supp,Supp,Supp,Supp
Worcestershire,116997,St Augustine's Catholic High School: A Specialist Science College,Voluntary Aided School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
"Herefordshire, County of",117045,Lucton School,Independent School,Advanced Extension Award,Mathematics,1,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117499,The Priory School,Community School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117591,Chancellor's School,Foundation School,Advanced Extension Award,Mathematics,2,Supp,Supp,Supp,Supp,Supp
Hertfordshire,117592,The Hertfordshire & Essex High School and Science College,Foundation School,Advanced Extension Award,Mathematics,4,Supp,Supp,Supp,Supp,Supp
