"Number of students passing a BTEC subsidiary diploma (with a single grade structure) by institution, subject and grade achieved",,,,,,,,,,
,,,,,,,Grade achieved,,,
Local Authority,URN,School or college name,Institution Type,Qualification,Subject,Number passed ,Distinction *,Distinction,Merit,Pass
Westminster,101154,St Augustine's CofE High School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Health Studies,4,Supp,Supp,Supp,Supp
Westminster,101154,St Augustine's CofE High School,Voluntary Aided School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,5,Supp,Supp,Supp,Supp
Barking and Dagenham,101240,The Warren Comprehensive School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Animal Husbandry: Specific Animals,1,Supp,Supp,Supp,Supp
Barking and Dagenham,101240,The Warren Comprehensive School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Art & Design,10,4,3,1,2
Barking and Dagenham,101240,The Warren Comprehensive School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,15,4,4,7,0
Barking and Dagenham,101240,The Warren Comprehensive School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Health Studies,1,Supp,Supp,Supp,Supp
Barking and Dagenham,101240,The Warren Comprehensive School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Sports / Movement Science,5,Supp,Supp,Supp,Supp
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,4,Supp,Supp,Supp,Supp
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,Pearson BTEC Level 3 Subsidiary Diploma,Dance: General,1,Supp,Supp,Supp,Supp
Barking and Dagenham,101241,"Barking Abbey School, A Specialist Sports and Humanities College",Community School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,1,Supp,Supp,Supp,Supp
Barking and Dagenham,101243,Eastbrook Comprehensive School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Animal Husbandry: Specific Animals,2,Supp,Supp,Supp,Supp
Barking and Dagenham,101243,Eastbrook Comprehensive School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Business Studies,9,1,2,5,1
Barking and Dagenham,101243,Eastbrook Comprehensive School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Computer Appreciation / Introduction,8,5,0,0,3
Barking and Dagenham,101243,Eastbrook Comprehensive School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Speech & Drama,2,Supp,Supp,Supp,Supp
Barking and Dagenham,101243,Eastbrook Comprehensive School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Sports Studies,1,Supp,Supp,Supp,Supp
Barking and Dagenham,101244,Eastbury Comprehensive School,Community School,Pearson BTEC Level 3 Subsidiary Diploma,Applied Sciences,1,Supp,Supp,Supp,Supp
